date,Norddeich_Mole.in,Norddeich_Mole.out,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-05,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,7.0,7.0,6.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,6.0,11.0,14.0,14.0,14.0,13.0,13.0,13.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,17.0,15.0,13.0,10.0,11.0,10.0,10.0,9.0,9.0,8.0,8.0,6.0,6.0,6.0,6.0,5.0,4.0,11.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,4.0,4.0,7.0,7.0,8.0,7.0,9.0,10.0,13.0,13.0,12.0,12.0,10.0,-1.0
2024-05-03,-1.0,1.0,0.0,0.0,0.0,7.0,6.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,13.0,12.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,10.0,10.0,9.0,9.0,11.0,11.0,7.0,7.0,14.0,14.0,15.0,14.0,15.0,17.0,18.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,4.0,4.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,3.0,8.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,12.0,12.0,11.0,12.0,14.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,10.0,11.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,10.0,10.0,0.0,0.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,12.0,15.0,15.0,33.0,33.0,0.0,0.0,0.0,0.0,32.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,32.0,35.0,34.0,35.0,35.0,36.0,35.0,36.0,35.0,36.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,1.0,18.0,17.0,17.0,40.0,-1.0,-1.0,35.0,35.0,-1.0,-1.0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,120.0,119.0,123.0,123.0,0.0,0.0,0.0,0.0,123.0,123.0,123.0,123.0,123.0,124.0,125.0,125.0,127.0,130.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,11.0,11.0,10.0,10.0,8.0,9.0,8.0,8.0,17.0,17.0,16.0,16.0,17.0,16.0,16.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,2.0,1.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,-1.0
2024-04-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,9.0,20.0,20.0,26.0,25.0,27.0,26.0,29.0,28.0,29.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,1.0,8.0,8.0,24.0,23.0,25.0,25.0,31.0,-1.0
