date,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bünde(Westf).in,Bünde(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Lichtenberg.in,Berlin-Lichtenberg.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-15,-1.0,9.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,21.0,31.0,25.0,25.0,28.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,-1.0
2024-05-11,-1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,2.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,-1.0
2024-05-08,-1.0,2.0,0.0,0.0,14.0,15.0,20.0,19.0,0.0,0.0,0.0,0.0,12.0,10.0,10.0,5.0,9.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,5.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,0.0,1.0,5.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-02,-1.0,1.0,0.0,0.0,7.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-29,-1.0,51.0,47.0,45.0,44.0,45.0,49.0,48.0,0.0,0.0,0.0,0.0,41.0,40.0,36.0,35.0,35.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,2.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-04-26,-1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,0.0,0.0,1.0,3.0,4.0,4.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,-1.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,1.0,0.0,1.0,5.0,7.0,5.0,4.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,0.0,0.0,0.0,2.0,3.0,4.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,11.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,7.0,4.0,5.0,6.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,-1.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,41.0,40.0,34.0,33.0,33.0,-1.0
