date,Basel_Bad_Bf.in,Basel_Bad_Bf.out,Freiburg(Breisgau)_Hbf.in,Freiburg(Breisgau)_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Offenburg.in,Offenburg.out,Baden-Baden.in,Baden-Baden.out,Fulda.in,Fulda.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-20,-1.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,11.0,11.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,-1.0
2024-04-19,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,7.0,13.0,14.0,16.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,23.0,23.0,51.0,-1.0
2024-04-18,-1.0,21.0,19.0,18.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,16.0,15.0,12.0,12.0,21.0,21.0,40.0,41.0,40.0,34.0,31.0,30.0,29.0,30.0,26.0,25.0,26.0,26.0,25.0,26.0,23.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,20.0,20.0,24.0,50.0,31.0,31.0,-1.0,-1.0,140.0,140.0,141.0,142.0,139.0,138.0,136.0,136.0,134.0,135.0,133.0,-1.0
2024-04-16,-1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,33.0,33.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,74.0,77.0,-1.0
2024-04-15,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,9.0,11.0,12.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,11.0,11.0,8.0,9.0,15.0,18.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,16.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,-1.0
2024-04-09,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,0.0,0.0,27.0,27.0,25.0,26.0,31.0,40.0,50.0,49.0,46.0,39.0,34.0,33.0,34.0,34.0,30.0,30.0,30.0,30.0,27.0,27.0,23.0,-1.0
2024-04-08,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,12.0,29.0,36.0,29.0,29.0,29.0,30.0,31.0,27.0,27.0,26.0,26.0,26.0,26.0,36.0,-1.0
2024-04-07,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,6.0,6.0,3.0,3.0,6.0,-1.0
2024-04-06,-1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,7.0,6.0,4.0,6.0,6.0,6.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0,8.0,7.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,11.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,14.0,13.0,12.0,12.0,-1.0
2024-04-03,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,9.0,10.0,56.0,56.0,50.0,42.0,35.0,33.0,33.0,34.0,32.0,31.0,32.0,31.0,28.0,28.0,25.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-01,-1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,14.0,20.0,26.0,26.0,22.0,21.0,19.0,19.0,16.0,17.0,14.0,-1.0
