date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Steinach(b_Rothenburg_ob_der_Tauber).in,Steinach(b_Rothenburg_ob_der_Tauber).out,Ansbach.in,Ansbach.out,Treuchtlingen.in,Treuchtlingen.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Buchloe.in,Buchloe.out,Kaufbeuren.in,Kaufbeuren.out,Kempten(Allgäu)Hbf.in,Kempten(Allgäu)Hbf.out,Immenstadt.in,Immenstadt.out,Sonthofen.in,Sonthofen.out,Fischen.in,Fischen.out,Oberstdorf_Busbahnhof.in,Oberstdorf_Busbahnhof.out,Oberstdorf.in,Oberstdorf.out
2024-05-06,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,25.0,18.0,19.0,21.0,20.0,19.0,19.0,19.0,19.0,19.0,20.0,19.0,21.0,17.0,19.0,21.0,16.0,13.0,14.0,12.0,13.0,9.0,9.0,7.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,3.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,11.0,9.0,8.0,0.0,1.0,20.0,17.0,13.0,13.0,6.0,6.0,4.0,5.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,9.0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,7.0,6.0,13.0,13.0,12.0,-1.0,12.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,14.0,15.0,13.0,11.0,12.0,11.0,15.0,14.0,14.0,15.0,14.0,15.0,13.0,14.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,6.0,6.0,6.0,-1.0,6.0,-1.0
2024-05-03,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,6.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,5.0,5.0,-1.0,5.0,-1.0
2024-05-02,-1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,4.0,4.0,3.0,3.0,4.0,6.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,11.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,8.0,7.0,-1.0,7.0,-1.0
2024-05-01,-1.0,5.0,5.0,7.0,7.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,6.0,5.0,-1.0,6.0,-1.0
2024-04-12,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,3.0,4.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,-1.0,3.0,-1.0
2024-04-11,-1.0,2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,6.0,6.0,7.0,8.0,7.0,8.0,5.0,6.0,4.0,7.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,7.0,1.0,5.0,9.0,8.0,0.0,0.0,8.0,-1.0
2024-04-10,-1.0,4.0,3.0,2.0,8.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,8.0,4.0,5.0,8.0,9.0,9.0,8.0,7.0,6.0,5.0,7.0,5.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,6.0,5.0,0.0,0.0,5.0,-1.0
2024-04-08,-1.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,17.0,25.0,21.0,20.0,15.0,15.0,16.0,15.0,14.0,13.0,12.0,13.0,10.0,10.0,10.0,10.0,15.0,15.0,13.0,14.0,10.0,11.0,10.0,11.0,11.0,10.0,17.0,16.0,0.0,0.0,16.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,18.0,16.0,18.0,17.0,17.0,17.0,17.0,17.0,14.0,15.0,12.0,12.0,12.0,12.0,10.0,10.0,7.0,8.0,6.0,8.0,7.0,6.0,13.0,12.0,0.0,0.0,13.0,-1.0
2024-04-06,-1.0,8.0,7.0,8.0,8.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,1.0,7.0,9.0,7.0,8.0,4.0,5.0,3.0,7.0,6.0,5.0,7.0,7.0,0.0,0.0,6.0,-1.0
2024-04-05,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,2.0,8.0,16.0,15.0,15.0,11.0,12.0,9.0,9.0,8.0,7.0,10.0,9.0,0.0,0.0,9.0,-1.0
2024-04-04,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,-1.0
2024-04-03,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,15.0,11.0,16.0,17.0,16.0,17.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,5.0,8.0,7.0,0.0,0.0,7.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,10.0,10.0,8.0,15.0,16.0,17.0,19.0,16.0,16.0,18.0,18.0,17.0,17.0,15.0,16.0,14.0,15.0,12.0,7.0,3.0,4.0,2.0,3.0,0.0,6.0,5.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,-1.0
