date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-16,-1.0,0.0,2.0,2.0,0.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-15,-1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,7.0,0.0,0.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,-1.0
2024-05-14,-1.0,4.0,9.0,8.0,2.0,2.0,5.0,8.0,6.0,5.0,2.0,2.0,2.0,16.0,-1.0,-1.0,0.0,0.0,20.0,20.0,0.0,0.0,45.0,44.0,44.0,45.0,44.0,43.0,42.0,43.0,40.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,31.0,29.0,26.0,27.0,22.0,22.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,7.0,5.0,9.0,9.0,3.0,-1.0
2024-05-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,5.0,4.0,4.0,2.0,6.0,3.0,-1.0
2024-05-10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,6.0,6.0,7.0,6.0,6.0,7.0,4.0,6.0,8.0,-1.0
2024-05-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,6.0,23.0,24.0,24.0,25.0,1.0,2.0,26.0,-1.0
2024-05-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,6.0,6.0,0.0,0.0,9.0,9.0,11.0,10.0,0.0,0.0,18.0,19.0,22.0,21.0,23.0,23.0,12.0,14.0,26.0,-1.0
2024-05-05,-1.0,0.0,0.0,3.0,4.0,6.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,7.0,0.0,0.0,12.0,11.0,12.0,11.0,13.0,14.0,12.0,12.0,15.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,-1.0
2024-05-03,-1.0,1.0,0.0,1.0,5.0,5.0,9.0,9.0,7.0,6.0,15.0,16.0,25.0,25.0,0.0,0.0,27.0,27.0,30.0,29.0,0.0,0.0,34.0,34.0,34.0,33.0,33.0,34.0,32.0,33.0,35.0,-1.0
2024-05-02,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,11.0,11.0,0.0,0.0,13.0,13.0,17.0,15.0,0.0,0.0,16.0,17.0,17.0,16.0,15.0,16.0,16.0,16.0,18.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,2.0,3.0,1.0,1.0,15.0,15.0,0.0,0.0,18.0,18.0,19.0,17.0,0.0,0.0,19.0,19.0,19.0,19.0,18.0,19.0,20.0,19.0,20.0,-1.0
2024-04-30,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,2.0,28.0,29.0,0.0,0.0,33.0,33.0,33.0,32.0,0.0,0.0,42.0,41.0,42.0,43.0,44.0,45.0,40.0,40.0,44.0,-1.0
2024-04-29,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,4.0,2.0,9.0,9.0,5.0,4.0,0.0,0.0,5.0,6.0,9.0,7.0,0.0,0.0,6.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,7.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,12.0,11.0,0.0,0.0,16.0,16.0,15.0,14.0,14.0,15.0,13.0,15.0,15.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,-1.0
2024-04-24,-1.0,1.0,2.0,1.0,0.0,0.0,6.0,8.0,7.0,6.0,0.0,1.0,13.0,13.0,0.0,0.0,27.0,26.0,32.0,31.0,0.0,0.0,40.0,40.0,40.0,39.0,39.0,39.0,36.0,35.0,39.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,16.0,18.0,15.0,14.0,14.0,13.0,0.0,0.0,14.0,16.0,20.0,20.0,0.0,0.0,18.0,18.0,17.0,16.0,21.0,22.0,19.0,18.0,21.0,-1.0
2024-04-21,-1.0,0.0,2.0,16.0,-1.0,-1.0,52.0,52.0,55.0,53.0,48.0,48.0,45.0,45.0,0.0,0.0,47.0,47.0,50.0,50.0,0.0,0.0,57.0,57.0,57.0,57.0,56.0,57.0,52.0,55.0,57.0,-1.0
2024-04-14,-1.0,2.0,1.0,3.0,0.0,5.0,8.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,5.0,6.0,3.0,3.0,6.0,-1.0
2024-04-13,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,7.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,35.0,36.0,36.0,39.0,23.0,23.0,40.0,-1.0
2024-04-12,-1.0,0.0,3.0,4.0,0.0,2.0,9.0,9.0,7.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-11,-1.0,0.0,0.0,1.0,1.0,2.0,3.0,8.0,9.0,8.0,3.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,-1.0
2024-04-10,-1.0,2.0,0.0,1.0,0.0,0.0,2.0,10.0,10.0,8.0,4.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,1.0,0.0,1.0,2.0,3.0,12.0,19.0,18.0,16.0,11.0,12.0,10.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,8.0,7.0,7.0,0.0,0.0,10.0,9.0,10.0,9.0,0.0,0.0,13.0,14.0,14.0,57.0,-1.0,-1.0,12.0,12.0,66.0,-1.0
2024-04-07,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,1.0,1.0,4.0,7.0,11.0,11.0,10.0,9.0,9.0,6.0,6.0,0.0,0.0,6.0,6.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,1.0,3.0,2.0,3.0,4.0,12.0,13.0,13.0,11.0,13.0,13.0,11.0,11.0,0.0,0.0,12.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,6.0,6.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,2.0,12.0,17.0,15.0,15.0,36.0,39.0,39.0,39.0,38.0,40.0,40.0,39.0,0.0,0.0,40.0,40.0,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,2.0,8.0,7.0,10.0,10.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
