date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,14.0,14.0,13.0,14.0,13.0,0.0,0.0,7.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,17.0,19.0,18.0,14.0,13.0,5.0,3.0,11.0,-1.0
2024-05-02,-1.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,6.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,4.0,5.0,7.0,7.0,5.0,4.0,6.0,7.0,0.0,0.0,27.0,26.0,6.0,7.0,49.0,48.0,58.0,49.0,56.0,-1.0
2024-05-01,-1.0,2.0,0.0,0.0,0.0,19.0,17.0,18.0,23.0,22.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,18.0,17.0,17.0,16.0,15.0,15.0,16.0,18.0,21.0,21.0,26.0,29.0,0.0,0.0,32.0,33.0,49.0,48.0,49.0,48.0,50.0,49.0,63.0,-1.0
2024-04-30,-1.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,16.0,15.0,15.0,14.0,12.0,12.0,14.0,34.0,31.0,30.0,41.0,40.0,0.0,0.0,31.0,30.0,41.0,40.0,30.0,29.0,28.0,27.0,30.0,-1.0
2024-04-29,-1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,8.0,7.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,19.0,19.0,27.0,35.0,36.0,38.0,41.0,42.0,41.0,41.0,43.0,43.0,0.0,0.0,41.0,42.0,52.0,56.0,57.0,58.0,64.0,63.0,62.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,23.0,24.0,28.0,27.0,19.0,20.0,17.0,16.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,24.0,25.0,7.0,6.0,25.0,-1.0
2024-04-26,-1.0,3.0,3.0,3.0,10.0,10.0,19.0,20.0,19.0,18.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,10.0,9.0,13.0,13.0,0.0,0.0,52.0,52.0,11.0,12.0,70.0,71.0,68.0,67.0,0.0,-1.0
2024-04-25,-1.0,2.0,1.0,1.0,1.0,2.0,6.0,6.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,12.0,11.0,10.0,12.0,12.0,14.0,13.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,19.0,13.0,14.0,14.0,-1.0,0.0,0.0
