date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-03,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,19.0,17.0,20.0,20.0,18.0,18.0,18.0,16.0,24.0,25.0,-1.0,-1.0,11.0,12.0,12.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,11.0,13.0,35.0,-1.0,-1.0,50.0,49.0,55.0,41.0,39.0,39.0,38.0,38.0,37.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,48.0,47.0,0.0,0.0,0.0,0.0,59.0,59.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,67.0,70.0,68.0,75.0,76.0,76.0,77.0,74.0,73.0,73.0,74.0,-1.0,-1.0,58.0,58.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,26.0,26.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,27.0,26.0,25.0,25.0,24.0,25.0,22.0,21.0,24.0,25.0,25.0,25.0,28.0,29.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,15.0,17.0,16.0,16.0,16.0,17.0,17.0,20.0,18.0,19.0,15.0,26.0,31.0,31.0,0.0,0.0,0.0,0.0,38.0,38.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,57.0,55.0,61.0,61.0,60.0,60.0,56.0,53.0,55.0,55.0,57.0,58.0,57.0,57.0,60.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,21.0,23.0,-1.0,-1.0,51.0,51.0,51.0,52.0,56.0,58.0,-1.0,-1.0,42.0,43.0,42.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,10.0,6.0,10.0,10.0,8.0,7.0,7.0,6.0,11.0,11.0,13.0,14.0,9.0,10.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,5.0,8.0,8.0,4.0,4.0,1.0,3.0,6.0,7.0,6.0,7.0,4.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,34.0,30.0,31.0,41.0,52.0,53.0,51.0,52.0,53.0,51.0,55.0,56.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,17.0,19.0,0.0,0.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,34.0,31.0,33.0,34.0,44.0,45.0,42.0,40.0,45.0,49.0,50.0,50.0,48.0,53.0,52.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,5.0,0.0,0.0,19.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,24.0,19.0,25.0,25.0,48.0,49.0,53.0,55.0,58.0,59.0,-1.0,-1.0,44.0,45.0,43.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
