date,Koblenz_Hbf.in,Koblenz_Hbf.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Norden.in,Norden.out,Norddeich.in,Norddeich.out,Norddeich_Mole.in,Norddeich_Mole.out
2024-05-18,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,24.0,24.0,0.0,-1.0,26.0,25.0,25.0,25.0,34.0,21.0,20.0,19.0,21.0,20.0,26.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,-1.0
2024-05-16,-1.0,0.0,2.0,1.0,3.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,11.0,20.0,18.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,16.0,16.0,25.0,25.0,24.0,22.0,16.0,16.0,19.0,18.0,16.0,15.0,15.0,16.0,17.0,7.0,6.0,6.0,5.0,4.0,3.0,-1.0
2024-05-15,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,20.0,18.0,17.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,12.0,11.0,8.0,8.0,1.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,33.0,35.0,35.0,36.0,-1.0,-1.0,64.0,65.0,63.0,63.0,62.0,62.0,63.0,63.0,56.0,55.0,60.0,59.0,57.0,56.0,56.0,58.0,56.0,41.0,40.0,43.0,0.0,0.0,41.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,13.0,0.0,0.0,10.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,4.0,7.0,6.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,29.0,28.0,28.0,27.0,2.0,-1.0
2024-05-07,-1.0,1.0,2.0,2.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,0.0,0.0,7.0,8.0,6.0,2.0,9.0,8.0,15.0,14.0,14.0,-1.0
2024-05-06,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,9.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,19.0,19.0,18.0,17.0,16.0,16.0,18.0,17.0,16.0,15.0,14.0,14.0,14.0,16.0,14.0,14.0,18.0,17.0,14.0,13.0,14.0,15.0,12.0,2.0,3.0,2.0,2.0,1.0,0.0,-1.0
2024-05-02,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,12.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0
2024-05-01,-1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,1.0,1.0,2.0,0.0,0.0,1.0,-1.0
2024-04-30,-1.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,23.0,23.0,28.0,27.0,28.0,28.0,0.0,0.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,25.0,27.0,26.0,29.0,29.0,23.0,22.0,29.0,29.0,29.0,30.0,29.0,32.0,25.0,24.0,23.0,23.0,31.0,-1.0
2024-04-29,-1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,6.0,5.0,6.0,7.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,16.0,16.0,17.0,15.0,14.0,17.0,17.0,17.0,17.0,17.0,19.0,22.0,22.0,26.0,26.0,23.0,22.0,23.0,23.0,22.0,7.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-04-26,-1.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,3.0,3.0,2.0,3.0,13.0,19.0,18.0,0.0,0.0,0.0,0.0,18.0,19.0,19.0,20.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,20.0,20.0,19.0,19.0,20.0,18.0,15.0,15.0,16.0,17.0,15.0,14.0,15.0,16.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,1.0,3.0,2.0,2.0,2.0,9.0,8.0,0.0,0.0,0.0,0.0,23.0,23.0,22.0,26.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,25.0,25.0,24.0,24.0,24.0,24.0,0.0,0.0,22.0,21.0,18.0,18.0,18.0,19.0,18.0,3.0,3.0,3.0,0.0,0.0,2.0,-1.0
2024-04-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,8.0,8.0,8.0,7.0,8.0,8.0,3.0,3.0,6.0,5.0,3.0,2.0,3.0,12.0,18.0,4.0,6.0,5.0,0.0,0.0,1.0,-1.0
2024-04-22,-1.0,2.0,17.0,16.0,16.0,16.0,15.0,14.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,24.0,24.0,24.0,24.0,25.0,24.0,19.0,19.0,21.0,21.0,19.0,19.0,21.0,22.0,21.0,7.0,6.0,5.0,0.0,0.0,4.0,-1.0
2024-04-21,-1.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,3.0,2.0,6.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,14.0,15.0,14.0,13.0,15.0,15.0,9.0,9.0,12.0,12.0,9.0,9.0,8.0,10.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-04-19,-1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,17.0,17.0,17.0,17.0,16.0,15.0,10.0,10.0,14.0,13.0,10.0,9.0,8.0,8.0,19.0,7.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,42.0,43.0,40.0,40.0,43.0,42.0,36.0,36.0,40.0,40.0,37.0,36.0,37.0,38.0,39.0,31.0,30.0,31.0,0.0,0.0,28.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,7.0,7.0,9.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,20.0,20.0,19.0,19.0,20.0,19.0,15.0,15.0,17.0,16.0,15.0,14.0,14.0,15.0,14.0,5.0,5.0,5.0,4.0,3.0,3.0,-1.0
2024-04-15,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,62.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,63.0,61.0,60.0,0.0,0.0,59.0,59.0,54.0,54.0,57.0,56.0,54.0,53.0,52.0,54.0,52.0,37.0,36.0,43.0,0.0,0.0,43.0,-1.0
2024-04-14,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,6.0,-1.0,7.0,6.0,-1.0,0.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,5.0,0.0,0.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,21.0,20.0,24.0,24.0,25.0,23.0,16.0,16.0,21.0,20.0,17.0,16.0,16.0,17.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-11,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,-1.0
2024-04-10,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,6.0,0.0,0.0,10.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,15.0,15.0,0.0,0.0,14.0,13.0,0.0,0.0,11.0,10.0,7.0,6.0,7.0,8.0,8.0,1.0,2.0,3.0,0.0,0.0,1.0,-1.0
2024-04-09,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,13.0,7.0,7.0,10.0,9.0,8.0,7.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,1.0,0.0,0.0,2.0,2.0,12.0,12.0,0.0,0.0,18.0,18.0,14.0,18.0,22.0,22.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,26.0,26.0,26.0,25.0,26.0,25.0,20.0,19.0,22.0,21.0,20.0,19.0,20.0,22.0,22.0,7.0,6.0,6.0,5.0,5.0,5.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,6.0,5.0,5.0,4.0,3.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,10.0,12.0,14.0,6.0,5.0,5.0,5.0,4.0,3.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
