date,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-01,0.0,1.0,5.0,5.0,9.0,9.0,6.0,6.0,7.0,3.0,0.0,0.0,6.0,7.0,10.0,11.0,8.0,8.0,23.0,23.0,12.0,12.0,15.0,15.0,9.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,1.0,7.0,7.0,10.0,10.0,8.0,8.0,10.0,7.0,0.0,0.0,19.0,20.0,17.0,17.0,37.0,36.0,38.0,38.0,38.0,35.0,37.0,37.0,41.0,41.0,38.0,37.0,36.0,35.0,31.0,0.0
2024-04-29,0.0,1.0,4.0,4.0,13.0,14.0,11.0,12.0,10.0,8.0,0.0,0.0,8.0,8.0,5.0,6.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,26.0,26.0,23.0,23.0,37.0,36.0,30.0,0.0
2024-04-28,0.0,1.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
2024-04-27,0.0,0.0,6.0,6.0,10.0,10.0,8.0,8.0,7.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,4.0,2.0,0.0
2024-04-26,0.0,1.0,2.0,2.0,14.0,13.0,20.0,21.0,23.0,19.0,0.0,0.0,23.0,22.0,26.0,27.0,32.0,32.0,32.0,32.0,30.0,27.0,30.0,30.0,32.0,31.0,35.0,34.0,34.0,34.0,28.0,0.0
2024-04-25,0.0,0.0,2.0,4.0,12.0,11.0,13.0,14.0,13.0,9.0,0.0,0.0,10.0,10.0,48.0,48.0,48.0,48.0,52.0,50.0,49.0,51.0,52.0,52.0,56.0,54.0,57.0,56.0,60.0,59.0,60.0,0.0
2024-04-24,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,11.0,11.0,19.0,19.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,20.0,26.0,26.0,30.0,35.0,73.0,73.0,69.0,0.0
2024-04-23,0.0,0.0,3.0,4.0,9.0,9.0,7.0,8.0,12.0,8.0,0.0,0.0,11.0,12.0,9.0,9.0,19.0,19.0,23.0,21.0,21.0,22.0,21.0,22.0,33.0,32.0,35.0,35.0,33.0,33.0,28.0,0.0
2024-04-22,0.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,9.0,11.0,11.0,13.0,12.0,13.0,12.0,10.0,8.0,9.0,9.0,6.0,5.0,3.0,3.0,5.0,4.0,1.0,0.0
2024-04-21,0.0,5.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,3.0,0.0,0.0,3.0,3.0,5.0,5.0,1.0,0.0,2.0,2.0,0.0,8.0,12.0,12.0,39.0,38.0,53.0,53.0,54.0,54.0,54.0,0.0
2024-04-20,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,10.0,10.0,28.0,28.0,28.0,26.0,27.0,26.0,30.0,32.0,25.0,24.0,25.0,25.0,22.0,21.0,16.0,0.0
2024-04-19,0.0,3.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,18.0,18.0,51.0,51.0,54.0,55.0,56.0,56.0,50.0,0.0
2024-04-18,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,7.0,4.0,7.0,7.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0
2024-04-17,0.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,4.0,5.0,5.0,5.0,20.0,19.0,21.0,21.0,22.0,23.0,23.0,23.0,17.0,16.0,10.0,9.0,6.0,6.0,9.0,0.0
2024-04-16,0.0,6.0,7.0,10.0,15.0,14.0,14.0,14.0,12.0,9.0,0.0,0.0,8.0,8.0,45.0,45.0,52.0,50.0,51.0,50.0,49.0,58.0,72.0,74.0,76.0,75.0,78.0,78.0,83.0,83.0,84.0,0.0
2024-04-15,0.0,1.0,4.0,5.0,7.0,7.0,6.0,7.0,6.0,2.0,0.0,0.0,2.0,4.0,8.0,9.0,9.0,9.0,0.0,0.0,3.0,12.0,15.0,16.0,18.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,18.0,17.0,1.0,0.0
2024-04-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,23.0,0.0,0.0,0.0,14.0,13.0,2.0,0.0
2024-04-12,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-11,0.0,1.0,0.0,0.0,5.0,5.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,3.0,4.0,6.0,7.0,12.0,10.0,7.0,11.0,17.0,17.0,11.0,0.0
2024-04-10,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,6.0,8.0,8.0,14.0,12.0,9.0,8.0,7.0,6.0,0.0,0.0
2024-04-09,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,2.0,2.0,2.0,4.0,6.0,8.0,8.0,6.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,0.0,22.0,22.0,21.0,22.0,23.0,22.0,21.0,22.0,21.0,18.0,23.0,23.0,21.0,19.0,17.0,17.0,15.0,15.0,11.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,6.0,18.0,18.0,16.0,16.0,13.0,13.0,14.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,7.0,9.0,10.0,7.0,6.0,3.0,7.0,24.0,24.0,19.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,8.0,7.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,2.0,6.0,8.0,9.0,8.0,5.0,5.0,2.0,1.0,2.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,6.0,3.0,3.0,8.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,15.0,15.0,15.0,14.0,14.0,19.0,11.0,10.0,3.0,10.0,5.0,4.0,2.0,0.0
