date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-05-06,-1.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,66.0,66.0,65.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,11.0,9.0,9.0,9.0,20.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,23.0,72.0,74.0,69.0,67.0,66.0,66.0,65.0,0.0,0.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,-1.0
2024-05-03,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-02,-1.0,5.0,-1.0,5.0,6.0,6.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,16.0,16.0,15.0,8.0,5.0,4.0,1.0,2.0,0.0,0.0,7.0,8.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,0.0,-1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,28.0,28.0,29.0,24.0,25.0,25.0,26.0,26.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,22.0,0.0,0.0,25.0,-1.0
2024-04-27,-1.0,1.0,1.0,3.0,19.0,19.0,15.0,16.0,-1.0,-1.0,24.0,21.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,26.0,27.0,26.0,19.0,18.0,17.0,23.0,22.0,0.0,0.0,20.0,21.0,0.0,0.0,22.0,22.0,0.0,0.0,22.0,-1.0
2024-04-26,-1.0,2.0,-1.0,4.0,2.0,1.0,2.0,71.0,161.0,171.0,171.0,171.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,180.0,198.0,198.0,202.0,195.0,194.0,193.0,197.0,196.0,0.0,0.0,170.0,170.0,0.0,0.0,169.0,172.0,0.0,0.0,197.0,-1.0
