date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,.in,.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Celle.in,Celle.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Uelzen.in,Uelzen.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Hannover_Hbf.in,Hannover_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-04-19,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,12.0,13.0,11.0,10.0,0.0,0.0,13.0,13.0,0.0,0.0,9.0,10.0,12.0,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,1.0,1.0,1.0,0.0
2024-04-18,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,18.0,10.0,10.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,4.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-04-16,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,16.0,14.0,12.0,0.0,0.0,35.0,34.0,0.0,0.0,37.0,40.0,54.0,55.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,43.0,36.0,36.0,30.0,31.0,36.0,0.0
2024-04-15,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,90.0,89.0,0.0,0.0,173.0,0.0,0.0,0.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,268.0,273.0,272.0,267.0,266.0,266.0,0.0
2024-04-14,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0
2024-04-13,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0,15.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-12,0.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,12.0,11.0,0.0,0.0,10.0,10.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,65.0,63.0,63.0,63.0,0.0
2024-04-11,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,8.0,4.0,5.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,8.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,8.0,9.0,9.0,0.0
2024-04-10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0
2024-04-08,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,8.0,6.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,3.0,3.0,5.0,0.0
2024-04-07,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,4.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,23.0,24.0,20.0,21.0,22.0,0.0
2024-04-06,0.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,16.0,17.0,15.0,13.0,0.0,0.0,18.0,17.0,0.0,0.0,40.0,55.0,70.0,71.0,63.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,59.0,58.0,60.0,0.0
2024-04-05,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,14.0,17.0,10.0,9.0,0.0,0.0,32.0,33.0,0.0,0.0,0.0,1.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,4.0,4.0,4.0,0.0
2024-04-04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,3.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0
2024-04-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,3.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,7.0,0.0,9.0,0.0
2024-04-02,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,1.0,3.0,18.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,25.0,25.0,27.0,26.0,31.0,0.0
2024-04-01,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,4.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,3.0,3.0,0.0,1.0,0.0
