date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-05,-1.0,1.0,2.0,3.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
2024-05-04,-1.0,0.0,1.0,2.0,5.0,-1.0,1.0,-1.0,1.0,-1.0
2024-05-03,-1.0,2.0,3.0,4.0,18.0,20.0,23.0,-1.0,27.0,-1.0
2024-05-02,-1.0,1.0,3.0,3.0,0.0,1.0,3.0,-1.0,2.0,-1.0
2024-05-01,-1.0,1.0,4.0,5.0,7.0,6.0,2.0,-1.0,1.0,-1.0
2024-04-30,-1.0,2.0,2.0,4.0,29.0,30.0,32.0,-1.0,31.0,-1.0
2024-04-29,-1.0,0.0,3.0,4.0,1.0,3.0,6.0,-1.0,4.0,-1.0
2024-04-28,-1.0,5.0,7.0,7.0,0.0,-1.0,-1.0,-1.0,3.0,-1.0
2024-04-27,-1.0,3.0,3.0,4.0,1.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-26,-1.0,2.0,6.0,6.0,0.0,0.0,2.0,-1.0,1.0,-1.0
2024-04-25,-1.0,3.0,17.0,17.0,4.0,3.0,3.0,-1.0,1.0,-1.0
2024-04-24,-1.0,2.0,12.0,12.0,6.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-23,-1.0,1.0,0.0,2.0,5.0,4.0,4.0,-1.0,3.0,-1.0
2024-04-22,-1.0,0.0,1.0,2.0,2.0,2.0,1.0,-1.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-20,-1.0,1.0,0.0,2.0,0.0,0.0,3.0,-1.0,1.0,-1.0
2024-04-19,-1.0,5.0,1.0,3.0,3.0,3.0,7.0,-1.0,12.0,-1.0
2024-04-18,-1.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-17,-1.0,4.0,1.0,1.0,3.0,3.0,3.0,-1.0,1.0,-1.0
2024-04-15,-1.0,0.0,1.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
2024-04-12,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,13.0,-1.0
2024-04-11,0.0,0.0,-1.0,0.0,21.0,20.0,20.0,-1.0,20.0,-1.0
2024-04-10,0.0,0.0,-1.0,0.0,1.0,1.0,2.0,-1.0,1.0,-1.0
2024-04-09,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-08,-1.0,4.0,2.0,2.0,23.0,23.0,28.0,-1.0,28.0,-1.0
2024-04-07,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,1.0,2.0,1.0,4.0,-1.0,1.0,-1.0
2024-04-05,-1.0,0.0,3.0,4.0,2.0,3.0,6.0,-1.0,7.0,-1.0
2024-04-04,-1.0,2.0,9.0,9.0,8.0,8.0,8.0,-1.0,7.0,-1.0
2024-04-03,-1.0,1.0,4.0,4.0,11.0,11.0,11.0,-1.0,13.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,-1.0,-1.0,3.0,-1.0,2.0,-1.0
2024-04-01,-1.0,1.0,3.0,4.0,27.0,26.0,26.0,-1.0,33.0,-1.0
