date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-12,-1.0,7.0,21.0,25.0,31.0,31.0,32.0,33.0,68.0,69.0,73.0,74.0,71.0,72.0,69.0,68.0,65.0,59.0,54.0,55.0,52.0,-1.0
2024-05-11,-1.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,5.0,6.0,7.0,7.0,5.0,5.0,2.0,2.0,2.0,4.0,-1.0
2024-05-10,-1.0,8.0,16.0,20.0,25.0,26.0,25.0,26.0,22.0,24.0,24.0,30.0,29.0,31.0,30.0,34.0,31.0,28.0,21.0,22.0,17.0,-1.0
2024-05-09,-1.0,6.0,2.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,4.0,7.0,7.0,3.0,1.0,3.0,3.0,0.0,0.0,5.0,-1.0
2024-05-07,-1.0,8.0,5.0,5.0,10.0,11.0,9.0,10.0,4.0,6.0,8.0,12.0,30.0,31.0,27.0,25.0,20.0,18.0,30.0,30.0,30.0,-1.0
2024-05-06,-1.0,3.0,1.0,2.0,4.0,6.0,4.0,5.0,1.0,3.0,0.0,10.0,30.0,30.0,29.0,27.0,26.0,24.0,36.0,36.0,35.0,-1.0
2024-05-05,-1.0,4.0,2.0,1.0,4.0,4.0,4.0,8.0,4.0,6.0,11.0,16.0,30.0,31.0,28.0,27.0,26.0,20.0,39.0,40.0,42.0,-1.0
2024-05-04,-1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,6.0,6.0,5.0,5.0,26.0,29.0,24.0,23.0,19.0,14.0,5.0,5.0,4.0,-1.0
2024-05-03,-1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,10.0,23.0,24.0,22.0,20.0,19.0,13.0,5.0,5.0,3.0,-1.0
2024-05-02,-1.0,18.0,15.0,15.0,17.0,17.0,17.0,17.0,14.0,16.0,14.0,14.0,12.0,13.0,10.0,21.0,44.0,40.0,33.0,33.0,31.0,-1.0
2024-05-01,-1.0,3.0,0.0,0.0,2.0,5.0,10.0,11.0,4.0,4.0,2.0,3.0,37.0,38.0,34.0,32.0,27.0,22.0,13.0,13.0,14.0,-1.0
2024-04-30,-1.0,12.0,11.0,10.0,13.0,13.0,12.0,26.0,21.0,22.0,18.0,54.0,-1.0,-1.0,94.0,93.0,90.0,85.0,79.0,79.0,86.0,-1.0
2024-04-29,-1.0,9.0,6.0,6.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,5.0,3.0,1.0,5.0,5.0,7.0,6.0,-1.0
2024-04-28,-1.0,22.0,20.0,20.0,20.0,22.0,21.0,22.0,30.0,31.0,31.0,34.0,82.0,85.0,82.0,83.0,102.0,99.0,96.0,98.0,116.0,-1.0
2024-04-27,-1.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,3.0,6.0,6.0,15.0,15.0,13.0,9.0,9.0,9.0,9.0,-1.0
2024-04-26,-1.0,6.0,3.0,3.0,6.0,7.0,5.0,6.0,2.0,2.0,11.0,14.0,12.0,13.0,11.0,10.0,5.0,5.0,18.0,18.0,19.0,-1.0
2024-04-25,-1.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,22.0,23.0,21.0,21.0,20.0,17.0,10.0,11.0,12.0,-1.0
2024-04-24,-1.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0,23.0,23.0,20.0,19.0,18.0,13.0,5.0,5.0,6.0,-1.0
2024-04-23,-1.0,5.0,2.0,3.0,5.0,7.0,11.0,21.0,16.0,16.0,17.0,18.0,35.0,36.0,38.0,36.0,35.0,36.0,30.0,30.0,40.0,-1.0
2024-04-22,-1.0,10.0,7.0,6.0,8.0,8.0,7.0,6.0,6.0,7.0,4.0,8.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,-1.0
2024-04-20,-1.0,4.0,3.0,4.0,6.0,6.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,6.0,4.0,2.0,2.0,5.0,-1.0
2024-04-19,-1.0,2.0,0.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,6.0,28.0,30.0,27.0,26.0,26.0,26.0,26.0,26.0,30.0,-1.0
2024-04-18,-1.0,4.0,0.0,0.0,2.0,2.0,2.0,3.0,6.0,5.0,3.0,6.0,8.0,9.0,11.0,10.0,5.0,4.0,1.0,2.0,3.0,-1.0
2024-04-17,-1.0,7.0,4.0,5.0,6.0,6.0,5.0,5.0,2.0,1.0,4.0,7.0,7.0,8.0,15.0,14.0,15.0,11.0,3.0,2.0,5.0,-1.0
2024-04-16,-1.0,9.0,7.0,7.0,14.0,14.0,13.0,13.0,15.0,16.0,16.0,19.0,22.0,23.0,23.0,22.0,33.0,32.0,25.0,26.0,27.0,-1.0
2024-04-15,-1.0,8.0,5.0,5.0,10.0,10.0,9.0,9.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,3.0,1.0,1.0,3.0,3.0,8.0,9.0,3.0,6.0,4.0,12.0,10.0,11.0,8.0,10.0,9.0,4.0,4.0,4.0,3.0,-1.0
2024-04-13,-1.0,3.0,1.0,2.0,8.0,7.0,7.0,8.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,-1.0
2024-04-12,-1.0,7.0,4.0,5.0,7.0,7.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0
2024-04-11,-1.0,3.0,0.0,1.0,4.0,5.0,7.0,8.0,4.0,7.0,7.0,8.0,13.0,13.0,10.0,11.0,5.0,7.0,1.0,1.0,0.0,-1.0
2024-04-10,-1.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,23.0,23.0,21.0,25.0,31.0,31.0,28.0,27.0,31.0,29.0,21.0,21.0,21.0,-1.0
2024-04-09,-1.0,4.0,1.0,2.0,5.0,5.0,9.0,9.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,2.0,-1.0
2024-04-08,-1.0,12.0,9.0,9.0,8.0,9.0,8.0,9.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,-1.0
2024-04-07,0.0,0.0,0.0,0.0,-1.0,11.0,10.0,10.0,9.0,10.0,6.0,11.0,10.0,11.0,8.0,7.0,6.0,5.0,1.0,3.0,4.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,19.0,43.0,45.0,46.0,47.0,51.0,52.0,60.0,59.0,55.0,54.0,61.0,55.0,53.0,54.0,54.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,15.0,14.0,13.0,12.0,12.0,1.0,2.0,7.0,10.0,6.0,8.0,5.0,2.0,2.0,2.0,2.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,11.0,12.0,16.0,15.0,17.0,14.0,6.0,7.0,4.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,6.0,4.0,6.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,5.0,2.0,2.0,0.0,3.0,1.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,-1.0,6.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,3.0,4.0,6.0,2.0,3.0,2.0,3.0,5.0,5.0,2.0,2.0,0.0,2.0,2.0,-1.0
