date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-20,-1.0,7.0,3.0,4.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,2.0,10.0,9.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,11.0,0.0,0.0,7.0,6.0,6.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,5.0,0.0,0.0,1.0,1.0,6.0,3.0,6.0,7.0,7.0,5.0,-1.0
2024-05-19,-1.0,1.0,0.0,0.0,9.0,9.0,10.0,11.0,13.0,13.0,11.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,10.0,10.0,11.0,11.0,0.0,0.0,6.0,5.0,6.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,2.0,1.0,6.0,6.0,6.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,-1.0
2024-05-18,-1.0,3.0,2.0,2.0,5.0,6.0,4.0,3.0,12.0,13.0,32.0,32.0,43.0,42.0,0.0,0.0,0.0,0.0,42.0,45.0,54.0,54.0,0.0,0.0,82.0,82.0,83.0,83.0,84.0,80.0,86.0,86.0,85.0,85.0,85.0,87.0,84.0,85.0,84.0,85.0,84.0,85.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,87.0,-1.0,-1.0
2024-05-17,-1.0,1.0,0.0,7.0,4.0,7.0,7.0,8.0,13.0,15.0,14.0,14.0,16.0,15.0,0.0,0.0,0.0,0.0,19.0,20.0,27.0,27.0,0.0,0.0,23.0,22.0,23.0,23.0,26.0,22.0,22.0,22.0,27.0,28.0,27.0,28.0,25.0,26.0,26.0,27.0,26.0,27.0,25.0,10.0,13.0,14.0,15.0,12.0,20.0,19.0,21.0,15.0,16.0,18.0,17.0,13.0,15.0,16.0,17.0,16.0,14.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,2.0,4.0,3.0,4.0,5.0,5.0,1.0,1.0,13.0,12.0,0.0,0.0,0.0,0.0,18.0,19.0,27.0,27.0,0.0,0.0,23.0,23.0,24.0,24.0,28.0,24.0,26.0,24.0,25.0,25.0,26.0,27.0,34.0,35.0,34.0,35.0,34.0,38.0,35.0,21.0,18.0,18.0,21.0,21.0,26.0,26.0,31.0,25.0,25.0,27.0,28.0,23.0,23.0,24.0,29.0,28.0,26.0,-1.0
2024-05-14,-1.0,1.0,0.0,2.0,2.0,3.0,5.0,6.0,8.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,-1.0,-1.0,53.0,54.0,57.0,56.0,0.0,0.0,55.0,55.0,55.0,56.0,58.0,58.0,77.0,77.0,81.0,80.0,79.0,79.0,80.0,80.0,83.0,82.0,84.0,85.0,83.0,69.0,65.0,64.0,64.0,63.0,66.0,65.0,67.0,61.0,61.0,62.0,62.0,53.0,57.0,57.0,59.0,58.0,56.0,-1.0
2024-05-13,-1.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,5.0,4.0,5.0,4.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,27.0,27.0,0.0,0.0,41.0,40.0,42.0,41.0,46.0,46.0,56.0,59.0,77.0,76.0,76.0,77.0,76.0,76.0,80.0,81.0,80.0,81.0,80.0,64.0,66.0,66.0,67.0,65.0,72.0,72.0,73.0,67.0,67.0,67.0,68.0,59.0,57.0,58.0,72.0,71.0,71.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,22.0,21.0,27.0,27.0,31.0,31.0,29.0,29.0,31.0,30.0,34.0,35.0,33.0,19.0,16.0,16.0,19.0,18.0,23.0,22.0,26.0,20.0,19.0,19.0,23.0,19.0,18.0,19.0,19.0,19.0,16.0,-1.0
2024-05-11,-1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,4.0,5.0,6.0,0.0,0.0,35.0,35.0,36.0,37.0,0.0,0.0,38.0,38.0,0.0,0.0,38.0,39.0,42.0,44.0,52.0,52.0,55.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,62.0,49.0,46.0,46.0,46.0,46.0,50.0,49.0,50.0,44.0,43.0,44.0,46.0,37.0,37.0,37.0,46.0,46.0,43.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,7.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,3.0,7.0,6.0,7.0,3.0,3.0,5.0,6.0,6.0,5.0,6.0,14.0,14.0,14.0,-1.0
2024-05-09,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,6.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,2.0,5.0,4.0,4.0,5.0,6.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,11.0,0.0,0.0,8.0,8.0,16.0,15.0,21.0,18.0,23.0,23.0,24.0,24.0,25.0,27.0,27.0,28.0,27.0,28.0,28.0,29.0,27.0,12.0,14.0,16.0,15.0,12.0,18.0,17.0,19.0,15.0,15.0,15.0,14.0,5.0,2.0,3.0,3.0,3.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,4.0,6.0,10.0,9.0,0.0,0.0,0.0,0.0,10.0,12.0,12.0,12.0,0.0,0.0,8.0,7.0,8.0,8.0,18.0,14.0,15.0,15.0,15.0,15.0,13.0,14.0,12.0,13.0,13.0,14.0,14.0,15.0,13.0,0.0,2.0,2.0,4.0,5.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,17.0,17.0,18.0,-1.0,-1.0,0.0,0.0,0.0,0.0,36.0,45.0,47.0,46.0,0.0,0.0,43.0,42.0,44.0,45.0,45.0,42.0,42.0,42.0,44.0,43.0,42.0,42.0,41.0,41.0,40.0,40.0,39.0,40.0,46.0,32.0,32.0,32.0,31.0,30.0,37.0,37.0,37.0,31.0,32.0,32.0,33.0,23.0,27.0,27.0,34.0,34.0,31.0,-1.0
2024-05-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,12.0,12.0,13.0,0.0,0.0,10.0,10.0,10.0,10.0,9.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,6.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,-1.0
2024-05-04,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,9.0,10.0,12.0,12.0,0.0,0.0,8.0,8.0,8.0,8.0,7.0,3.0,9.0,9.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,8.0,14.0,14.0,18.0,19.0,0.0,0.0,0.0,0.0,23.0,24.0,24.0,25.0,0.0,0.0,22.0,22.0,23.0,24.0,31.0,28.0,28.0,28.0,29.0,28.0,27.0,27.0,25.0,26.0,25.0,25.0,25.0,26.0,21.0,6.0,6.0,6.0,7.0,5.0,9.0,8.0,10.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-05-02,-1.0,1.0,0.0,0.0,28.0,30.0,29.0,30.0,37.0,39.0,70.0,71.0,71.0,69.0,0.0,0.0,0.0,0.0,72.0,72.0,77.0,78.0,0.0,0.0,73.0,73.0,79.0,80.0,80.0,76.0,75.0,75.0,73.0,73.0,71.0,71.0,69.0,69.0,69.0,69.0,68.0,68.0,66.0,51.0,51.0,51.0,52.0,51.0,53.0,53.0,55.0,50.0,52.0,53.0,53.0,44.0,42.0,43.0,42.0,42.0,38.0,-1.0
2024-05-01,-1.0,61.0,60.0,60.0,-1.0,-1.0,43.0,43.0,47.0,48.0,53.0,53.0,60.0,59.0,0.0,0.0,0.0,0.0,60.0,62.0,62.0,62.0,0.0,0.0,60.0,63.0,64.0,65.0,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,6.0,9.0,40.0,42.0,49.0,48.0,0.0,0.0,0.0,0.0,48.0,49.0,51.0,53.0,0.0,0.0,48.0,48.0,60.0,60.0,63.0,59.0,62.0,61.0,66.0,65.0,63.0,65.0,66.0,66.0,64.0,64.0,64.0,65.0,61.0,46.0,48.0,48.0,51.0,49.0,81.0,81.0,80.0,76.0,76.0,77.0,77.0,72.0,69.0,70.0,70.0,69.0,80.0,-1.0
2024-04-29,-1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,0.0,7.0,9.0,9.0,9.0,13.0,8.0,7.0,7.0,7.0,13.0,11.0,12.0,10.0,10.0,9.0,9.0,8.0,8.0,11.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,10.0,11.0,12.0,12.0,0.0,0.0,8.0,7.0,8.0,8.0,6.0,2.0,8.0,8.0,8.0,7.0,5.0,6.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,7.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,3.0,2.0,3.0,4.0,8.0,4.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,5.0,4.0,5.0,6.0,6.0,3.0,4.0,3.0,6.0,6.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,8.0,7.0,7.0,2.0,2.0,2.0,2.0,3.0,9.0,9.0,4.0,4.0,2.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,16.0,16.0,12.0,12.0,21.0,21.0,0.0,0.0,0.0,0.0,27.0,28.0,28.0,28.0,0.0,0.0,25.0,26.0,34.0,33.0,35.0,32.0,35.0,36.0,38.0,37.0,36.0,37.0,36.0,39.0,40.0,40.0,40.0,40.0,42.0,26.0,24.0,23.0,26.0,27.0,30.0,29.0,29.0,24.0,25.0,25.0,26.0,27.0,28.0,29.0,31.0,31.0,29.0,-1.0
2024-04-24,-1.0,2.0,0.0,1.0,1.0,4.0,5.0,6.0,6.0,5.0,13.0,15.0,20.0,19.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,26.0,0.0,0.0,24.0,23.0,25.0,26.0,25.0,24.0,36.0,46.0,45.0,44.0,42.0,42.0,39.0,40.0,38.0,39.0,38.0,39.0,36.0,23.0,23.0,23.0,27.0,26.0,32.0,32.0,32.0,25.0,25.0,26.0,27.0,21.0,19.0,19.0,18.0,18.0,17.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,8.0,8.0,16.0,15.0,0.0,0.0,0.0,0.0,21.0,20.0,21.0,20.0,0.0,0.0,16.0,15.0,16.0,17.0,21.0,16.0,15.0,16.0,20.0,20.0,18.0,18.0,15.0,15.0,14.0,15.0,14.0,14.0,11.0,3.0,0.0,1.0,2.0,1.0,8.0,7.0,8.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,13.0,13.0,10.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,0.0,0.0,9.0,8.0,11.0,10.0,12.0,9.0,8.0,7.0,6.0,6.0,4.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,4.0,16.0,17.0,16.0,0.0,0.0,0.0,0.0,15.0,15.0,16.0,16.0,0.0,0.0,12.0,12.0,11.0,11.0,10.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,20.0,48.0,48.0,50.0,49.0,0.0,0.0,0.0,0.0,49.0,48.0,50.0,50.0,0.0,0.0,46.0,45.0,46.0,46.0,48.0,46.0,46.0,45.0,44.0,43.0,42.0,43.0,42.0,42.0,47.0,47.0,45.0,46.0,45.0,30.0,25.0,25.0,24.0,21.0,29.0,28.0,29.0,24.0,27.0,27.0,27.0,29.0,27.0,28.0,33.0,34.0,33.0,-1.0
2024-04-19,-1.0,31.0,33.0,35.0,-1.0,-1.0,17.0,17.0,24.0,26.0,24.0,26.0,31.0,30.0,0.0,0.0,0.0,0.0,29.0,30.0,37.0,37.0,0.0,0.0,33.0,33.0,31.0,31.0,31.0,26.0,30.0,32.0,32.0,31.0,29.0,30.0,27.0,28.0,27.0,28.0,27.0,28.0,34.0,17.0,18.0,18.0,17.0,15.0,18.0,17.0,19.0,12.0,11.0,12.0,12.0,8.0,13.0,13.0,11.0,11.0,9.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,5.0,8.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,14.0,57.0,56.0,60.0,61.0,64.0,57.0,57.0,57.0,56.0,47.0,46.0,47.0,53.0,53.0,50.0,-1.0
2024-04-17,-1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,6.0,0.0,0.0,2.0,1.0,8.0,8.0,6.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-16,-1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,134.0,134.0,130.0,130.0,132.0,130.0,0.0,0.0,0.0,0.0,131.0,132.0,135.0,134.0,0.0,0.0,131.0,130.0,130.0,130.0,129.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,129.0,-1.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,7.0,7.0,7.0,7.0,11.0,11.0,15.0,15.0,14.0,16.0,13.0,14.0,13.0,14.0,14.0,15.0,13.0,4.0,16.0,16.0,22.0,21.0,19.0,18.0,17.0,18.0,18.0,19.0,19.0,18.0,18.0,18.0,22.0,22.0,20.0,-1.0
2024-04-13,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,9.0,9.0,10.0,0.0,0.0,7.0,18.0,18.0,19.0,0.0,0.0,19.0,20.0,0.0,0.0,22.0,22.0,22.0,22.0,30.0,31.0,32.0,32.0,35.0,37.0,37.0,37.0,35.0,36.0,35.0,35.0,35.0,36.0,41.0,25.0,22.0,22.0,23.0,20.0,22.0,21.0,24.0,24.0,23.0,24.0,25.0,23.0,20.0,21.0,38.0,38.0,34.0,-1.0
