date,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Unna.in,Unna.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Soest.in,Soest.out,Lippstadt.in,Lippstadt.out,Paderborn_Hbf.in,Paderborn_Hbf.out,Altenbeken.in,Altenbeken.out,Warburg(Westf).in,Warburg(Westf).out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-08,-1.0,0.0,1.0,5.0,3.0,3.0,-1.0,0.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,-1.0
2024-05-07,-1.0,5.0,3.0,6.0,3.0,4.0,-1.0,0.0,4.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,4.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,45.0,47.0,56.0,52.0,-1.0
2024-05-06,-1.0,2.0,15.0,12.0,8.0,8.0,-1.0,0.0,12.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,12.0,14.0,14.0,14.0,13.0,11.0,11.0,10.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,5.0,5.0,2.0,-1.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,3.0,2.0,2.0,12.0,12.0,16.0,16.0,12.0,1.0,1.0,6.0,54.0,-1.0
2024-05-03,-1.0,0.0,3.0,6.0,4.0,5.0,-1.0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,4.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,10.0,9.0,9.0,10.0,9.0,9.0,5.0,7.0,20.0,19.0,16.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,14.0,9.0,10.0,-1.0,0.0,10.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,2.0,-1.0
2024-05-01,-1.0,0.0,2.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-30,-1.0,0.0,0.0,3.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,29.0,29.0,0.0,0.0,29.0,30.0,31.0,31.0,69.0,64.0,69.0,68.0,71.0,72.0,75.0,74.0,72.0,71.0,77.0,77.0,77.0,77.0,75.0,74.0,70.0,58.0,64.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,0.0,1.0,5.0,3.0,4.0,-1.0,0.0,4.0,6.0,4.0,4.0,3.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,5.0,6.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-1.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,23.0,26.0,26.0,57.0,55.0,60.0,64.0,66.0,-1.0
2024-04-26,0.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,14.0,15.0,13.0,8.0,10.0,11.0,11.0,13.0,13.0,13.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,6.0,2.0,3.0,3.0,1.0,-1.0
2024-04-25,0.0,0.0,-1.0,2.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,8.0,12.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,6.0,6.0,6.0,5.0,7.0,9.0,10.0,9.0,7.0,2.0,2.0,1.0,1.0,-1.0
2024-04-24,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,-1.0
2024-04-23,0.0,0.0,-1.0,4.0,2.0,2.0,-1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,2.0,3.0,2.0,2.0,-1.0
2024-04-22,0.0,0.0,-1.0,17.0,14.0,14.0,-1.0,0.0,14.0,8.0,5.0,6.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,-1.0
2024-04-19,0.0,0.0,-1.0,5.0,2.0,3.0,-1.0,0.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,10.0,7.0,2.0,8.0,8.0,37.0,-1.0
2024-04-18,-1.0,0.0,-1.0,9.0,6.0,7.0,-1.0,0.0,7.0,2.0,0.0,1.0,5.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,9.0,0.0,0.0,9.0,10.0,8.0,8.0,12.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,3.0,4.0,1.0,1.0,4.0,13.0,15.0,14.0,13.0,-1.0
2024-04-17,-1.0,0.0,-1.0,20.0,10.0,12.0,-1.0,0.0,13.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,7.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,11.0,11.0,14.0,15.0,12.0,11.0,10.0,9.0,3.0,-1.0
2024-04-16,-1.0,0.0,-1.0,29.0,26.0,27.0,-1.0,0.0,27.0,20.0,19.0,20.0,21.0,22.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,19.0,21.0,0.0,0.0,22.0,22.0,20.0,20.0,22.0,16.0,20.0,20.0,23.0,23.0,22.0,22.0,19.0,19.0,19.0,18.0,26.0,27.0,25.0,25.0,41.0,39.0,58.0,58.0,55.0,-1.0
2024-04-15,-1.0,0.0,-1.0,28.0,26.0,26.0,-1.0,0.0,26.0,21.0,19.0,20.0,19.0,24.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,29.0,29.0,0.0,0.0,29.0,30.0,28.0,30.0,29.0,24.0,27.0,27.0,28.0,29.0,29.0,28.0,25.0,27.0,27.0,27.0,26.0,26.0,24.0,23.0,19.0,7.0,3.0,3.0,6.0,-1.0
2024-04-14,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,-1.0
2024-04-12,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,11.0,17.0,16.0,17.0,-1.0
