date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-02,-1.0,1.0,2.0,1.0,0.0,1.0,31.0,33.0,32.0,33.0,18.0,16.0,27.0,27.0,0.0,0.0,0.0,0.0,34.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,-1.0,21.0,-1.0,1.0,10.0,27.0,1.0,1.0,19.0,21.0,13.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0,21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,2.0,3.0,17.0,19.0,28.0,28.0,0.0,0.0,0.0,0.0,33.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,2.0,2.0,1.0,0.0,2.0,0.0,-1.0,1.0,1.0,6.0,9.0,18.0,18.0,0.0,0.0,0.0,0.0,21.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,13.0,15.0,19.0,20.0,0.0,0.0,0.0,0.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,24.0,23.0,21.0,21.0,24.0,25.0,29.0,28.0,26.0,-1.0
2024-04-27,-1.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,2.0,1.0,7.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,2.0,8.0,9.0,14.0,14.0,0.0,0.0,0.0,0.0,25.0,26.0,26.0,26.0,27.0,26.0,27.0,28.0,28.0,29.0,30.0,30.0,30.0,32.0,33.0,33.0,33.0,33.0,28.0,-1.0
2024-04-25,-1.0,4.0,-1.0,10.0,13.0,14.0,4.0,21.0,55.0,56.0,60.0,62.0,77.0,76.0,0.0,0.0,0.0,0.0,81.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,4.0,-1.0,1.0,0.0,0.0,13.0,13.0,10.0,10.0,17.0,16.0,29.0,29.0,0.0,0.0,0.0,0.0,28.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,9.0,-1.0,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
