date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,6.0,14.0,13.0,19.0,-1.0
2024-04-26,-1.0,13.0,11.0,11.0,10.0,10.0,0.0,0.0,19.0,17.0,19.0,17.0,0.0,0.0,18.0,20.0,23.0,23.0,23.0,24.0,26.0,26.0,27.0,27.0,32.0,34.0,2.0,2.0,1.0,0.0,1.0,1.0,31.0,31.0,29.0,-1.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,4.0,5.0,12.0,20.0,23.0,23.0,23.0,25.0,11.0,11.0,15.0,-1.0,0.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,6.0,2.0,1.0,4.0,-1.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,8.0,9.0,7.0,7.0,12.0,13.0,15.0,14.0,23.0,23.0,19.0,18.0,17.0,-1.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,8.0,12.0,13.0,13.0,48.0,47.0,20.0,19.0,17.0,-1.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,3.0,0.0,0.0,3.0,10.0,9.0,9.0,8.0,8.0,11.0,11.0,11.0,11.0,12.0,20.0,26.0,26.0,27.0,27.0,0.0,1.0,30.0,-1.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,24.0,24.0,23.0,28.0,31.0,34.0,34.0,30.0,32.0,18.0,18.0,22.0,-1.0,0.0,0.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,1.0,2.0,11.0,10.0,4.0,3.0,2.0,-1.0,0.0,0.0
