date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-04-29,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,-1.0
2024-04-28,-1.0,2.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,1.0,7.0,4.0,5.0,1.0,1.0,0.0,4.0,1.0,28.0,35.0,37.0,42.0,41.0,44.0,44.0,46.0,47.0,49.0,48.0,48.0,47.0,46.0,-1.0
2024-04-26,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,9.0,14.0,12.0,14.0,12.0,12.0,10.0,10.0,12.0,11.0,11.0,-1.0
2024-04-25,-1.0,8.0,3.0,8.0,7.0,7.0,1.0,2.0,0.0,4.0,43.0,43.0,42.0,42.0,41.0,40.0,42.0,43.0,42.0,43.0,43.0,45.0,-1.0,-1.0,42.0,-1.0
2024-04-24,-1.0,1.0,-1.0,1.0,-1.0,6.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,1.0,6.0,5.0,5.0,-1.0
2024-04-23,-1.0,6.0,-1.0,4.0,4.0,3.0,1.0,1.0,0.0,8.0,14.0,15.0,15.0,17.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,11.0,14.0,14.0,13.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.0,21.0,21.0,30.0,30.0,33.0,35.0,37.0,35.0,35.0,35.0,35.0,35.0,33.0,33.0,39.0,39.0,40.0,-1.0
2024-04-20,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,6.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,-1.0
2024-04-19,-1.0,1.0,-1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,8.0,7.0,9.0,9.0,12.0,11.0,11.0,-1.0
2024-04-18,-1.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,18.0,17.0,18.0,18.0,21.0,21.0,19.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,16.0,16.0,14.0,14.0,16.0,16.0,15.0,-1.0
2024-04-16,-1.0,9.0,-1.0,7.0,7.0,6.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,6.0,6.0,12.0,12.0,10.0,10.0,12.0,12.0,9.0,-1.0
2024-04-15,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,-1.0
2024-04-14,-1.0,2.0,-1.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,2.0,22.0,23.0,23.0,27.0,28.0,26.0,27.0,30.0,30.0,28.0,-1.0
2024-04-13,-1.0,3.0,-1.0,2.0,-1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,6.0,8.0,6.0,5.0,7.0,7.0,8.0,8.0,6.0,6.0,9.0,7.0,7.0,-1.0
2024-04-12,-1.0,3.0,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,6.0,13.0,12.0,13.0,16.0,16.0,15.0,-1.0
2024-04-11,-1.0,16.0,16.0,12.0,12.0,11.0,19.0,19.0,16.0,16.0,32.0,33.0,35.0,47.0,50.0,50.0,52.0,52.0,57.0,57.0,55.0,55.0,-1.0,-1.0,54.0,-1.0
2024-04-10,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,3.0,8.0,7.0,13.0,14.0,15.0,17.0,14.0,13.0,13.0,13.0,12.0,11.0,10.0,13.0,13.0,13.0,12.0,-1.0
2024-04-09,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,6.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-1.0
2024-04-08,-1.0,4.0,7.0,5.0,4.0,4.0,2.0,2.0,6.0,7.0,3.0,3.0,7.0,8.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,15.0,20.0,-1.0
2024-04-07,-1.0,4.0,-1.0,4.0,4.0,15.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,4.0,3.0,3.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,6.0,-1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,1.0,-1.0,1.0,2.0,3.0,0.0,31.0,42.0,42.0,42.0,43.0,40.0,40.0,42.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,4.0,4.0,1.0,0.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,9.0,9.0,5.0,4.0,3.0,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,6.0,-1.0,2.0,-1.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,13.0,15.0,12.0,11.0,12.0,12.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,6.0,-1.0,2.0,-1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,7.0,8.0,3.0,3.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,57.0,59.0,68.0,70.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
