date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-09,-1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,12.0,10.0,8.0,4.0,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,0.0,0.0,36.0,36.0,35.0,35.0,36.0,36.0,35.0,34.0,45.0,44.0,42.0,43.0,38.0,38.0,33.0,33.0,34.0,34.0,33.0,33.0,33.0,-1.0
2024-05-07,-1.0,18.0,18.0,18.0,14.0,14.0,12.0,12.0,9.0,8.0,11.0,9.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,33.0,33.0,32.0,31.0,38.0,38.0,45.0,44.0,48.0,46.0,55.0,56.0,49.0,54.0,51.0,53.0,55.0,55.0,55.0,54.0,56.0,-1.0
2024-05-05,-1.0,0.0,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,3.0,9.0,12.0,12.0,12.0,13.0,13.0,11.0,13.0,11.0,9.0,10.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,-1.0
2024-05-04,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,16.0,16.0,13.0,13.0,16.0,18.0,20.0,21.0,27.0,26.0,22.0,23.0,19.0,20.0,18.0,18.0,18.0,18.0,24.0,24.0,21.0,-1.0
2024-05-03,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,8.0,8.0,5.0,4.0,3.0,3.0,10.0,10.0,11.0,10.0,11.0,12.0,8.0,10.0,4.0,4.0,7.0,6.0,9.0,9.0,8.0,-1.0
2024-05-02,-1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,8.0,7.0,17.0,13.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,20.0,20.0,19.0,19.0,25.0,25.0,34.0,36.0,43.0,43.0,40.0,40.0,55.0,55.0,52.0,52.0,52.0,51.0,51.0,51.0,49.0,-1.0
2024-05-01,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,24.0,23.0,20.0,20.0,17.0,18.0,16.0,15.0,25.0,24.0,24.0,24.0,23.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,5.0,1.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,19.0,19.0,20.0,21.0,31.0,31.0,32.0,30.0,38.0,37.0,37.0,37.0,29.0,29.0,28.0,28.0,32.0,31.0,33.0,33.0,30.0,-1.0
2024-04-29,-1.0,39.0,39.0,40.0,37.0,38.0,31.0,31.0,35.0,34.0,35.0,31.0,33.0,35.0,0.0,0.0,0.0,0.0,27.0,25.0,-1.0,-1.0,0.0,0.0,23.0,23.0,22.0,22.0,55.0,55.0,58.0,67.0,74.0,76.0,74.0,74.0,76.0,80.0,83.0,82.0,89.0,89.0,89.0,90.0,90.0,-1.0
2024-04-28,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,15.0,12.0,7.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,0.0,0.0,20.0,20.0,18.0,19.0,26.0,25.0,25.0,24.0,30.0,29.0,26.0,28.0,23.0,23.0,20.0,20.0,23.0,23.0,26.0,25.0,23.0,-1.0
