date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Bonn-Beuel.in,Bonn-Beuel.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-18,-1.0,8.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,8.0,6.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,8.0,11.0,12.0,0.0,0.0,16.0,16.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,18.0,-1.0
2024-05-17,-1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,9.0,9.0,8.0,9.0,9.0,5.0,6.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,4.0,3.0,6.0,5.0,12.0,11.0,0.0,0.0,17.0,16.0,19.0,19.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,0.0,0.0,23.0,-1.0
2024-05-16,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,7.0,6.0,5.0,5.0,9.0,9.0,7.0,7.0,7.0,7.0,10.0,9.0,0.0,0.0,11.0,11.0,14.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,23.0,-1.0
2024-05-15,-1.0,3.0,12.0,12.0,6.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,6.0,7.0,2.0,1.0,4.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,4.0,4.0,2.0,2.0,1.0,8.0,5.0,4.0,6.0,5.0,0.0,0.0,6.0,6.0,9.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,10.0,-1.0
2024-05-14,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,-1.0
2024-05-12,-1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,5.0,6.0,6.0,4.0,2.0,3.0,3.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,8.0,4.0,4.0,4.0,7.0,11.0,9.0,11.0,11.0,13.0,12.0,0.0,0.0,12.0,12.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,30.0,-1.0
2024-05-11,-1.0,3.0,-1.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,14.0,11.0,10.0,10.0,10.0,9.0,0.0,0.0,13.0,13.0,21.0,21.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,18.0,-1.0
2024-05-10,-1.0,8.0,6.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,7.0,2.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,9.0,6.0,8.0,8.0,10.0,10.0,0.0,0.0,10.0,10.0,18.0,18.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,33.0,-1.0
2024-05-09,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-08,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,3.0,14.0,13.0,14.0,12.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,12.0,11.0,0.0,0.0,15.0,15.0,17.0,15.0,17.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,6.0,4.0,3.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,7.0,7.0,14.0,14.0,0.0,0.0,19.0,19.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,9.0,-1.0
2024-05-06,-1.0,0.0,-1.0,0.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,5.0,3.0,3.0,1.0,2.0,10.0,8.0,18.0,18.0,23.0,22.0,0.0,0.0,22.0,22.0,23.0,22.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,11.0,-1.0
2024-05-05,-1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,12.0,12.0,13.0,13.0,14.0,13.0,11.0,20.0,19.0,24.0,23.0,0.0,0.0,21.0,21.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,4.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0,9.0,15.0,14.0,0.0,0.0,17.0,18.0,23.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,12.0,-1.0
2024-05-03,-1.0,2.0,0.0,1.0,2.0,3.0,0.0,4.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,3.0,13.0,16.0,17.0,2.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,9.0,11.0,13.0,12.0,10.0,16.0,14.0,20.0,19.0,0.0,0.0,24.0,25.0,31.0,29.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,0.0,0.0,87.0,-1.0
2024-05-02,-1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,5.0,11.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,28.0,27.0,-1.0,-1.0,0.0,0.0,0.0,0.0,16.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,-1.0
2024-04-30,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,18.0,18.0,17.0,-1.0,12.0,12.0,0.0,0.0,0.0,0.0,14.0,12.0,17.0,16.0,15.0,14.0,0.0,0.0,17.0,16.0,10.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,49.0,66.0,69.0,69.0,71.0,74.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,81.0,80.0,83.0,84.0,82.0,82.0,0.0,0.0,77.0,82.0,80.0,-1.0
2024-04-28,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,12.0,16.0,27.0,26.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,22.0,17.0,18.0,17.0,15.0,14.0,0.0,0.0,18.0,17.0,14.0,-1.0
2024-04-27,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,10.0,9.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,16.0,13.0,16.0,16.0,14.0,14.0,0.0,0.0,14.0,14.0,10.0,-1.0
2024-04-26,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,8.0,12.0,12.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,9.0,5.0,10.0,10.0,12.0,11.0,0.0,0.0,10.0,10.0,12.0,-1.0
2024-04-25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,17.0,17.0,15.0,10.0,11.0,10.0,6.0,7.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,5.0,3.0,25.0,25.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,0.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,18.0,18.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,23.0,18.0,24.0,24.0,24.0,24.0,0.0,0.0,23.0,22.0,22.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,11.0,11.0,8.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,3.0,8.0,13.0,14.0,14.0,1.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,-1.0,7.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,14.0,9.0,33.0,33.0,35.0,34.0,0.0,0.0,34.0,33.0,31.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-21,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,37.0,39.0,38.0,38.0,39.0,36.0,22.0,20.0,20.0,19.0,19.0,19.0,19.0,20.0,21.0,20.0,21.0,21.0,20.0,25.0,24.0,25.0,25.0,27.0,26.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,23.0,19.0,20.0,20.0,19.0,18.0,0.0,0.0,19.0,19.0,33.0,-1.0
2024-04-19,-1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,7.0,5.0,3.0,9.0,9.0,17.0,17.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,30.0,26.0,30.0,30.0,30.0,29.0,0.0,0.0,30.0,30.0,28.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,7.0,7.0,5.0,2.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0,10.0,12.0,12.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,23.0,19.0,19.0,18.0,33.0,33.0,0.0,0.0,19.0,19.0,29.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,7.0,9.0,10.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,9.0,14.0,15.0,15.0,13.0,12.0,0.0,0.0,15.0,16.0,11.0,-1.0
2024-04-16,-1.0,0.0,-1.0,1.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,9.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,6.0,7.0,10.0,11.0,10.0,11.0,9.0,9.0,12.0,11.0,11.0,9.0,18.0,18.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,22.0,16.0,-1.0,-1.0,-1.0,-1.0,40.0,39.0,-1.0,-1.0,49.0,-1.0
2024-04-14,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,45.0,45.0,45.0,46.0,45.0,44.0,44.0,36.0,37.0,32.0,32.0,29.0,15.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,5.0,4.0,3.0,2.0,3.0,2.0,9.0,8.0,0.0,0.0,9.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,6.0,-1.0
2024-04-13,-1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,30.0,29.0,1.0,1.0,3.0,3.0,-1.0,-1.0,87.0,91.0,-1.0,-1.0,103.0,104.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,106.0,0.0,0.0,89.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,0.0,0.0,7.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,5.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,8.0,8.0,2.0,1.0,1.0,1.0,1.0,9.0,8.0,7.0,3.0,1.0,4.0,4.0,6.0,3.0,0.0,2.0,1.0,1.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,7.0,8.0,13.0,13.0,14.0,14.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,27.0,22.0,22.0,22.0,21.0,21.0,0.0,0.0,22.0,22.0,16.0,-1.0
2024-04-10,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,1.0,19.0,20.0,20.0,19.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,21.0,16.0,18.0,17.0,17.0,15.0,0.0,0.0,16.0,16.0,14.0,-1.0
2024-04-09,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,43.0,43.0,60.0,46.0,43.0,43.0,41.0,41.0,40.0,40.0,40.0,40.0,38.0,38.0,37.0,36.0,35.0,32.0,33.0,32.0,36.0,36.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,41.0,37.0,36.0,35.0,33.0,33.0,0.0,0.0,37.0,36.0,30.0,-1.0
