date,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Dagebüll_Mole.in,Dagebüll_Mole.out
2024-05-09,-1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,15.0,16.0,20.0,21.0,24.0,24.0,26.0,26.0,28.0,29.0,22.0,-1.0
2024-05-08,-1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,10.0,11.0,11.0,12.0,15.0,15.0,11.0,15.0,15.0,-1.0
2024-05-07,-1.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,5.0,4.0,8.0,9.0,9.0,8.0,6.0,4.0,8.0,9.0,14.0,16.0,16.0,16.0,20.0,21.0,25.0,-1.0
2024-05-06,-1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,11.0,14.0,14.0,14.0,15.0,17.0,19.0,22.0,23.0,23.0,23.0,24.0,24.0,28.0,29.0,28.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,5.0,4.0,6.0,9.0,9.0,9.0,10.0,7.0,7.0,7.0,5.0,6.0,4.0,4.0,10.0,11.0,4.0,-1.0
2024-05-04,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,8.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,12.0,14.0,14.0,13.0,15.0,14.0,19.0,-1.0
2024-05-03,-1.0,24.0,0.0,0.0,24.0,25.0,29.0,29.0,29.0,29.0,29.0,31.0,30.0,29.0,30.0,30.0,32.0,33.0,33.0,33.0,36.0,36.0,41.0,42.0,43.0,43.0,53.0,57.0,59.0,60.0,59.0,59.0,63.0,62.0,62.0,63.0,62.0,-1.0
2024-05-02,-1.0,14.0,0.0,0.0,12.0,14.0,14.0,15.0,17.0,16.0,17.0,17.0,15.0,14.0,19.0,18.0,18.0,19.0,21.0,23.0,22.0,23.0,27.0,30.0,30.0,31.0,36.0,33.0,34.0,35.0,34.0,35.0,37.0,37.0,39.0,37.0,32.0,-1.0
2024-05-01,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,7.0,9.0,10.0,10.0,12.0,10.0,9.0,9.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,-1.0
2024-04-30,-1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,6.0,6.0,7.0,12.0,24.0,35.0,32.0,31.0,33.0,27.0,28.0,32.0,32.0,34.0,36.0,35.0,37.0,42.0,41.0,42.0,42.0,42.0,47.0,49.0,49.0,-1.0,49.0,38.0,-1.0
