date,Schwerin_Hbf.in,Schwerin_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)Süd.in,Frankfurt(Main)Süd.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Velgast.in,Velgast.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Rostock_Hbf.in,Rostock_Hbf.out,Bützow.in,Bützow.out,Fürth(Bay)Hbf.in,Fürth(Bay)Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-05-08,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,14.0,14.0,11.0,12.0,0.0,0.0,0.0,0.0,12.0,13.0,17.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,21.0,22.0,22.0,20.0,21.0,-1.0,-1.0,36.0,36.0,42.0,41.0,45.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-07,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,4.0,0.0,0.0,1.0,2.0,11.0,9.0,0.0,0.0,8.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,-1.0
2024-05-06,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,22.0,23.0,23.0,22.0,21.0,22.0,21.0,26.0,25.0,24.0,22.0,0.0,0.0,20.0,20.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,12.0,-1.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,8.0,10.0,-1.0,-1.0,18.0,20.0,0.0,0.0,19.0,20.0,87.0,88.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,76.0,-1.0
2024-05-04,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,-1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,6.0,6.0,-1.0,-1.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,3.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.0
2024-05-03,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,-1.0,-1.0,23.0,30.0,0.0,0.0,0.0,0.0,31.0,31.0,34.0,35.0,3.0,6.0,0.0,0.0,0.0,0.0,37.0,36.0,37.0,36.0,39.0,38.0,37.0,37.0,35.0,35.0,35.0,35.0,35.0,34.0,0.0,0.0,32.0,31.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,32.0,-1.0
2024-05-02,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,15.0,14.0,12.0,10.0,0.0,0.0,0.0,0.0,11.0,12.0,16.0,15.0,11.0,11.0,0.0,0.0,0.0,0.0,20.0,21.0,23.0,22.0,23.0,23.0,30.0,30.0,26.0,26.0,27.0,27.0,32.0,29.0,0.0,0.0,29.0,28.0,27.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,63.0,-1.0
2024-04-30,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,51.0,51.0,48.0,48.0,0.0,0.0,0.0,0.0,48.0,48.0,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,55.0,54.0,52.0,52.0,52.0,52.0,47.0,47.0,46.0,46.0,45.0,44.0,0.0,0.0,46.0,45.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,49.0,44.0,-1.0
2024-04-29,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,13.0,16.0,15.0,15.0,15.0,40.0,41.0,38.0,38.0,38.0,37.0,37.0,38.0,0.0,0.0,40.0,40.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,29.0,-1.0
2024-04-28,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,16.0,16.0,16.0,15.0,14.0,10.0,0.0,0.0,14.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
