date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Lichtenfels.in,Lichtenfels.out,Kronach.in,Kronach.out,Ludwigsstadt.in,Ludwigsstadt.out,Saalfeld(Saale).in,Saalfeld(Saale).out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_Paradies.in,Jena_Paradies.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Weißenfels.in,Weißenfels.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-04-22,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,14.0,14.0,14.0,10.0,8.0,8.0,8.0,14.0,13.0,19.0,19.0,19.0,18.0,16.0,15.0,11.0,10.0,8.0,8.0,7.0,6.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-19,-1.0,2.0,0.0,0.0,0.0,0.0,3.0,17.0,19.0,19.0,17.0,17.0,22.0,22.0,22.0,21.0,22.0,22.0,21.0,23.0,26.0,26.0,28.0,30.0,35.0,35.0,35.0,34.0,32.0,32.0,30.0,31.0,29.0,29.0,28.0,28.0,27.0,26.0,27.0,27.0,27.0,27.0,26.0,-1.0
2024-04-18,-1.0,29.0,0.0,0.0,0.0,0.0,15.0,20.0,27.0,27.0,27.0,28.0,28.0,29.0,30.0,29.0,29.0,30.0,28.0,50.0,51.0,51.0,58.0,57.0,57.0,57.0,55.0,55.0,53.0,53.0,50.0,49.0,48.0,48.0,47.0,47.0,46.0,45.0,42.0,43.0,43.0,43.0,43.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,6.0,8.0,7.0,7.0,6.0,6.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,5.0,5.0,6.0,3.0,25.0,43.0,43.0,44.0,44.0,47.0,48.0,47.0,47.0,47.0,47.0,45.0,43.0,42.0,42.0,44.0,44.0,44.0,43.0,41.0,41.0,42.0,51.0,60.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,8.0,11.0,11.0,13.0,15.0,19.0,19.0,19.0,18.0,20.0,20.0,19.0,18.0,18.0,18.0,18.0,19.0,18.0,17.0,15.0,16.0,16.0,16.0,15.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,0.0,2.0,4.0,5.0,6.0,6.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,7.0,9.0,10.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,8.0,6.0,7.0,6.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,18.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,7.0,7.0,6.0,6.0,5.0,5.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,15.0,15.0,15.0,11.0,11.0,11.0,11.0,10.0,10.0,17.0,17.0,16.0,15.0,13.0,13.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,14.0,11.0,16.0,20.0,21.0,28.0,28.0,28.0,28.0,29.0,28.0,27.0,27.0,25.0,24.0,22.0,22.0,22.0,21.0,20.0,18.0,23.0,23.0,23.0,22.0,21.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0
