date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-24,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,5.0,5.0,7.0,-1.0
2024-04-23,-1.0,18.0,18.0,19.0,19.0,20.0,17.0,18.0,15.0,15.0,17.0,17.0,19.0,23.0,19.0,20.0,0.0,0.0,19.0,19.0,18.0,17.0,17.0,16.0,18.0,18.0,16.0,17.0,16.0,-1.0
2024-04-22,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,7.0,8.0,8.0,4.0,4.0,0.0,0.0,7.0,7.0,11.0,11.0,11.0,11.0,14.0,13.0,11.0,11.0,13.0,-1.0
2024-04-21,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,9.0,10.0,0.0,0.0,0.0,0.0,17.0,16.0,20.0,20.0,18.0,18.0,22.0,-1.0
2024-04-20,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,7.0,6.0,7.0,4.0,-1.0
2024-04-18,-1.0,1.0,-1.0,1.0,-1.0,1.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,7.0,4.0,5.0,0.0,0.0,5.0,5.0,10.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,-1.0
2024-04-16,-1.0,5.0,5.0,2.0,2.0,4.0,5.0,7.0,4.0,5.0,2.0,3.0,6.0,8.0,5.0,4.0,0.0,0.0,10.0,10.0,12.0,11.0,10.0,16.0,19.0,18.0,17.0,17.0,16.0,-1.0
2024-04-15,-1.0,1.0,-1.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,6.0,8.0,7.0,0.0,0.0,9.0,10.0,10.0,9.0,10.0,10.0,14.0,14.0,13.0,12.0,16.0,-1.0
2024-04-14,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,12.0,16.0,11.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,14.0,13.0,15.0,15.0,13.0,13.0,12.0,-1.0
2024-04-12,-1.0,1.0,-1.0,2.0,-1.0,1.0,1.0,2.0,0.0,1.0,7.0,8.0,8.0,11.0,6.0,5.0,19.0,19.0,0.0,0.0,0.0,0.0,20.0,19.0,24.0,23.0,22.0,22.0,23.0,-1.0
