date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-16,-1.0,8.0,8.0,9.0,14.0,15.0,17.0,15.0,11.0,12.0,9.0,13.0,13.0,14.0,10.0,8.0,4.0,5.0,2.0,-1.0
2024-04-15,-1.0,4.0,2.0,3.0,9.0,9.0,11.0,10.0,7.0,9.0,6.0,14.0,15.0,16.0,14.0,12.0,4.0,4.0,8.0,-1.0
2024-04-14,-1.0,3.0,1.0,3.0,6.0,8.0,7.0,6.0,3.0,4.0,2.0,17.0,15.0,16.0,14.0,13.0,6.0,7.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,3.0,5.0,3.0,4.0,10.0,14.0,11.0,26.0,29.0,30.0,26.0,26.0,19.0,22.0,19.0,-1.0
2024-04-12,-1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,29.0,31.0,28.0,29.0,34.0,135.0,133.0,133.0,147.0,149.0,154.0,-1.0
2024-04-11,-1.0,1.0,0.0,1.0,4.0,5.0,8.0,6.0,1.0,3.0,2.0,4.0,8.0,10.0,8.0,6.0,1.0,2.0,0.0,-1.0
2024-04-10,-1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,-1.0
2024-04-09,-1.0,0.0,0.0,1.0,5.0,6.0,7.0,6.0,3.0,4.0,1.0,6.0,7.0,7.0,4.0,3.0,2.0,3.0,0.0,-1.0
2024-04-08,-1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,9.0,11.0,8.0,12.0,11.0,12.0,11.0,10.0,6.0,8.0,3.0,-1.0
2024-04-07,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,2.0,5.0,2.0,7.0,6.0,8.0,5.0,6.0,4.0,5.0,19.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,3.0,0.0,4.0,1.0,4.0,3.0,4.0,6.0,6.0,4.0,4.0,39.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,1.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,6.0,7.0,0.0,2.0,0.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,6.0,7.0,5.0,0.0,0.0,0.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,-1.0,12.0,12.0,11.0,5.0,7.0,8.0,12.0,17.0,17.0,15.0,14.0,13.0,14.0,9.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,8.0,5.0,6.0,5.0,6.0,4.0,3.0,0.0,2.0,0.0,-1.0
