date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-17,-1.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-16,-1.0,14.0,20.0,21.0,24.0,24.0,29.0,28.0,23.0,17.0,0.0,0.0,17.0,17.0,18.0,18.0,15.0,14.0,14.0,2.0,1.0,1.0,12.0,12.0,13.0,12.0,11.0,-1.0
2024-04-15,-1.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,4.0,4.0,2.0,-1.0
2024-04-14,-1.0,1.0,1.0,2.0,2.0,14.0,18.0,20.0,16.0,11.0,0.0,0.0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,-1.0
2024-04-13,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,54.0,54.0,54.0,54.0,54.0,-1.0
2024-04-12,-1.0,0.0,7.0,7.0,10.0,10.0,13.0,13.0,9.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,1.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,4.0,-1.0
2024-04-10,-1.0,1.0,3.0,5.0,5.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-09,-1.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,0.0,0.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,-1.0
2024-04-08,-1.0,0.0,1.0,1.0,3.0,2.0,4.0,5.0,8.0,2.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-07,-1.0,0.0,25.0,26.0,25.0,24.0,22.0,22.0,18.0,13.0,0.0,0.0,9.0,10.0,8.0,9.0,6.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-06,-1.0,1.0,8.0,10.0,20.0,20.0,17.0,27.0,24.0,28.0,0.0,0.0,56.0,57.0,56.0,57.0,52.0,53.0,54.0,41.0,43.0,43.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-03,-1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-04-02,-1.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,6.0,6.0,4.0,-1.0
2024-04-01,-1.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-1.0
