date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-01,0.0,1.0,1.0,9.0,20.0,20.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,62.0,62.0,60.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,2.0,4.0,5.0,9.0,18.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,18.0,18.0,17.0,0.0
2024-04-28,0.0,12.0,19.0,19.0,26.0,27.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,26.0,26.0,25.0,0.0
2024-04-27,0.0,1.0,19.0,30.0,46.0,46.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,79.0,84.0,84.0,82.0,0.0
2024-04-26,0.0,1.0,2.0,4.0,14.0,14.0,14.0,14.0,52.0,52.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,9.0,8.0,0.0
2024-04-24,0.0,9.0,13.0,13.0,16.0,16.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,14.0,14.0,12.0,0.0
2024-04-23,0.0,42.0,41.0,42.0,44.0,45.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,43.0,42.0,44.0,0.0
2024-04-22,0.0,1.0,4.0,4.0,8.0,7.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,6.0,5.0,0.0
2024-04-21,0.0,1.0,4.0,6.0,9.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,20.0,20.0,36.0,0.0
2024-04-20,0.0,1.0,5.0,8.0,13.0,13.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0
2024-04-19,0.0,1.0,1.0,10.0,11.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,12.0,0.0,0.0
2024-04-18,0.0,1.0,1.0,3.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,4.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,9.0,8.0,9.0,15.0,15.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,8.0,8.0,10.0,0.0
2024-04-15,0.0,1.0,3.0,4.0,10.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,18.0,17.0,17.0,0.0
2024-04-14,0.0,2.0,6.0,7.0,8.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,9.0,8.0,0.0
2024-04-13,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-04-12,0.0,1.0,0.0,1.0,17.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,17.0,0.0
2024-04-11,0.0,1.0,0.0,1.0,3.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,6.0,0.0
2024-04-10,0.0,0.0,6.0,7.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,3.0,4.0,5.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0
2024-04-08,0.0,10.0,12.0,12.0,17.0,17.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,20.0,21.0,19.0,0.0
2024-04-07,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,4.0,0.0
2024-04-06,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,55.0,55.0,55.0,54.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,13.0,12.0,11.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,16.0,16.0,14.0,0.0
2024-04-03,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,53.0,52.0,50.0,0.0
2024-04-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,4.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,41.0,41.0,40.0,0.0
