date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-02,4.0,5.0,-1.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,9.0,9.0,3.0,-1.0,0.0,0.0
2024-05-01,-1.0,8.0,-1.0,-1.0,6.0,6.0,3.0,2.0,30.0,33.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,33.0,32.0,0.0,0.0,20.0,21.0,18.0,-1.0,0.0,0.0
2024-04-30,1.0,3.0,-1.0,1.0,1.0,67.0,-1.0,-1.0,110.0,132.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,121.0,121.0,131.0,132.0,0.0,0.0,0.0,0.0,146.0,-1.0,0.0,0.0
2024-04-29,1.0,7.0,-1.0,1.0,14.0,13.0,13.0,16.0,20.0,21.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,31.0,31.0,22.0,22.0,34.0,35.0,37.0,37.0,36.0,-1.0,0.0,0.0
2024-04-28,1.0,4.0,-1.0,0.0,7.0,6.0,3.0,4.0,21.0,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,14.0,13.0,25.0,25.0,19.0,19.0,17.0,17.0,16.0,-1.0,0.0,0.0
2024-04-27,3.0,13.0,-1.0,1.0,10.0,10.0,8.0,9.0,21.0,22.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,11.0,23.0,22.0,11.0,11.0,12.0,13.0,10.0,-1.0,0.0,0.0
2024-04-25,1.0,10.0,-1.0,1.0,9.0,8.0,5.0,10.0,23.0,25.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,22.0,22.0,28.0,28.0,0.0,0.0,27.0,27.0,71.0,-1.0,0.0,0.0
2024-04-24,16.0,25.0,-1.0,14.0,36.0,35.0,34.0,36.0,79.0,93.0,87.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,101.0,101.0,95.0,97.0,110.0,111.0,119.0,119.0,116.0,-1.0,0.0,0.0
2024-04-21,2.0,6.0,-1.0,0.0,7.0,8.0,7.0,7.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.0,11.0,4.0,6.0,11.0,10.0,11.0,12.0,10.0,-1.0,0.0,0.0
2024-04-20,6.0,12.0,-1.0,12.0,12.0,11.0,10.0,10.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,6.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,0.0
