date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-15,-1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,6.0,4.0,3.0,2.0,2.0,4.0,46.0,48.0,48.0,81.0,79.0,0.0,0.0,79.0,78.0,0.0,0.0,77.0,77.0,79.0,79.0,78.0,-1.0
2024-04-13,-1.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,9.0,9.0,13.0,15.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,6.0,5.0,5.0,7.0,34.0,31.0,31.0,0.0,0.0,0.0,0.0,23.0,23.0,24.0,24.0,0.0,0.0,24.0,23.0,21.0,20.0,23.0,-1.0
2024-04-11,-1.0,6.0,5.0,5.0,4.0,5.0,5.0,3.0,7.0,9.0,13.0,15.0,14.0,13.0,12.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,10.0,11.0,16.0,15.0,0.0,0.0,20.0,20.0,25.0,24.0,25.0,-1.0
2024-04-10,-1.0,0.0,3.0,3.0,0.0,3.0,7.0,5.0,6.0,7.0,11.0,13.0,12.0,11.0,11.0,11.0,9.0,10.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,0.0,0.0,6.0,5.0,6.0,8.0,13.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,7.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,17.0,15.0,15.0,15.0,24.0,24.0,23.0,24.0,40.0,40.0
2024-04-08,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,4.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,7.0,6.0,9.0,9.0,12.0,-1.0
2024-04-07,-1.0,3.0,7.0,7.0,4.0,3.0,1.0,3.0,3.0,3.0,6.0,7.0,11.0,10.0,10.0,9.0,9.0,9.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,16.0,13.0,14.0,13.0,12.0,17.0,15.0,18.0,18.0,26.0,28.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,6.0,7.0,4.0,4.0,0.0,0.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,2.0,5.0,5.0,3.0,3.0,6.0,5.0,10.0,10.0,8.0,13.0,12.0,12.0,10.0,10.0,6.0,6.0,6.0,6.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,12.0,9.0,16.0,14.0,13.0,8.0,8.0,9.0,9.0,9.0,9.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
