date,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Witten_Hbf.in,Witten_Hbf.out,Letmathe.in,Letmathe.out,Altena(Westf).in,Altena(Westf).out,Werdohl.in,Werdohl.out,Plettenberg.in,Plettenberg.out,Finnentrop.in,Finnentrop.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Kreuztal.in,Kreuztal.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Siegen.in,Siegen.out
2024-05-20,-1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,2.0,-1.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,46.0,45.0,45.0,45.0,44.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,-1.0
2024-05-16,-1.0,10.0,0.0,0.0,12.0,14.0,16.0,16.0,18.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,17.0,17.0,18.0,19.0,18.0,18.0,18.0,-1.0
2024-05-15,-1.0,5.0,0.0,0.0,12.0,7.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,11.0,10.0,-1.0
2024-05-14,-1.0,2.0,4.0,4.0,4.0,5.0,9.0,11.0,14.0,14.0,14.0,14.0,14.0,16.0,18.0,18.0,18.0,23.0,23.0,23.0,22.0,22.0,24.0,24.0,25.0,25.0,23.0,-1.0
2024-05-13,-1.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,-1.0
2024-05-12,-1.0,0.0,2.0,1.0,4.0,4.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,14.0,15.0,15.0,14.0,-1.0
2024-05-11,-1.0,3.0,3.0,2.0,2.0,4.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,-1.0
2024-05-10,-1.0,0.0,7.0,6.0,7.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0
2024-05-09,-1.0,0.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,-1.0
2024-05-08,-1.0,1.0,7.0,6.0,11.0,13.0,16.0,19.0,26.0,26.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,34.0,35.0,37.0,37.0,38.0,40.0,36.0,-1.0
2024-05-07,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,2.0,3.0,2.0,28.0,28.0,37.0,36.0,37.0,37.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,-1.0
2024-05-05,-1.0,1.0,3.0,5.0,9.0,9.0,3.0,2.0,9.0,9.0,3.0,3.0,3.0,3.0,7.0,7.0,3.0,4.0,6.0,6.0,5.0,7.0,8.0,8.0,8.0,8.0,2.0,-1.0
2024-05-04,-1.0,0.0,5.0,3.0,2.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,-1.0
2024-05-03,-1.0,0.0,5.0,6.0,8.0,23.0,25.0,25.0,31.0,31.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,30.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-01,-1.0,1.0,6.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,0.0,3.0,2.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,-1.0
2024-04-26,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,19.0,19.0,17.0,17.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,-1.0
2024-04-25,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,0.0,5.0,3.0,8.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,-1.0
2024-04-22,-1.0,0.0,8.0,6.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-19,-1.0,1.0,8.0,6.0,2.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,10.0,10.0,10.0,-1.0
2024-04-18,-1.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,-1.0
2024-04-17,-1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-04-15,-1.0,17.0,-1.0,-1.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,-1.0
2024-04-14,-1.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,-1.0
2024-04-12,-1.0,3.0,11.0,10.0,10.0,10.0,13.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-08,0.0,0.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,-1.0
2024-04-07,-1.0,0.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0
2024-04-04,-1.0,0.0,2.0,1.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,9.0,13.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,-1.0
2024-04-01,-1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
