date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-09,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,5.0,4.0,3.0,4.0,9.0,-1.0,-1.0,59.0,59.0,58.0,59.0,-1.0,-1.0,-1.0,173.0,172.0,171.0,170.0,-1.0
2024-05-08,-1.0,4.0,4.0,5.0,5.0,7.0,5.0,8.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,6.0,7.0,4.0,3.0,1.0,1.0,3.0,-1.0
2024-05-07,-1.0,13.0,13.0,15.0,14.0,15.0,17.0,19.0,17.0,18.0,18.0,18.0,17.0,18.0,13.0,13.0,19.0,20.0,16.0,15.0,21.0,22.0,2.0,3.0,13.0,13.0,11.0,-1.0
2024-05-06,-1.0,3.0,3.0,4.0,4.0,5.0,7.0,9.0,6.0,6.0,5.0,5.0,16.0,17.0,18.0,19.0,23.0,23.0,25.0,24.0,28.0,29.0,12.0,12.0,17.0,16.0,17.0,-1.0
2024-05-05,-1.0,1.0,1.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,3.0,1.0,2.0,8.0,0.0,6.0,10.0,13.0,14.0,14.0,12.0,12.0,5.0,6.0,6.0,6.0,4.0,-1.0
2024-05-04,-1.0,1.0,0.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,8.0,10.0,9.0,6.0,5.0,8.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0
2024-05-03,-1.0,6.0,5.0,9.0,9.0,9.0,10.0,18.0,19.0,20.0,21.0,21.0,35.0,68.0,68.0,70.0,70.0,72.0,72.0,71.0,71.0,71.0,12.0,11.0,67.0,66.0,65.0,-1.0
2024-05-02,-1.0,6.0,2.0,8.0,9.0,8.0,10.0,11.0,11.0,12.0,17.0,18.0,16.0,17.0,6.0,5.0,29.0,29.0,31.0,30.0,29.0,29.0,24.0,23.0,22.0,21.0,20.0,-1.0
2024-05-01,-1.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,39.0,39.0,5.0,4.0,40.0,40.0,6.0,5.0,40.0,40.0,38.0,36.0,35.0,32.0,34.0,-1.0
2024-04-30,-1.0,8.0,9.0,10.0,10.0,12.0,13.0,14.0,13.0,14.0,14.0,14.0,17.0,18.0,16.0,18.0,20.0,21.0,32.0,32.0,31.0,31.0,27.0,26.0,18.0,18.0,16.0,-1.0
2024-04-29,-1.0,1.0,-1.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,27.0,26.0,28.0,28.0,12.0,11.0,17.0,17.0,16.0,-1.0
2024-04-28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-27,-1.0,8.0,8.0,10.0,10.0,9.0,10.0,14.0,12.0,13.0,12.0,11.0,9.0,9.0,0.0,1.0,6.0,6.0,3.0,2.0,14.0,14.0,7.0,6.0,3.0,3.0,8.0,-1.0
2024-04-26,-1.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-24,-1.0,1.0,0.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,6.0,4.0,5.0,2.0,1.0,2.0,1.0,14.0,-1.0
2024-04-23,-1.0,2.0,2.0,4.0,5.0,6.0,5.0,7.0,5.0,6.0,4.0,3.0,2.0,1.0,15.0,14.0,1.0,3.0,23.0,23.0,4.0,5.0,19.0,18.0,2.0,2.0,3.0,-1.0
2024-04-22,-1.0,3.0,4.0,6.0,8.0,9.0,11.0,19.0,-1.0,-1.0,43.0,42.0,47.0,48.0,13.0,13.0,48.0,50.0,48.0,47.0,50.0,50.0,20.0,19.0,45.0,45.0,49.0,-1.0
2024-04-21,-1.0,1.0,1.0,3.0,5.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,5.0,5.0,26.0,26.0,3.0,3.0,27.0,27.0,4.0,4.0,0.0,1.0,10.0,2.0,8.0,-1.0
2024-04-20,-1.0,2.0,3.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,2.0,5.0,4.0,4.0,34.0,34.0,3.0,2.0,30.0,32.0,3.0,3.0,18.0,18.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,11.0,10.0,9.0,9.0,4.0,3.0,3.0,3.0,3.0,-1.0
2024-04-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-17,-1.0,5.0,5.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,-1.0
