date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-24,-1.0,5.0,6.0,7.0,7.0,7.0,10.0,11.0,12.0,11.0,13.0,14.0,14.0,15.0,14.0,15.0,11.0,12.0,18.0,19.0,18.0,17.0,29.0,29.0,10.0,10.0,10.0,9.0,27.0,-1.0
2024-04-23,-1.0,10.0,6.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,5.0,6.0,15.0,16.0,16.0,15.0,29.0,28.0,23.0,23.0,19.0,19.0,19.0,18.0,39.0,-1.0
2024-04-22,-1.0,3.0,1.0,3.0,2.0,2.0,4.0,6.0,5.0,6.0,4.0,5.0,3.0,2.0,0.0,5.0,7.0,7.0,5.0,5.0,9.0,10.0,14.0,14.0,12.0,11.0,5.0,5.0,44.0,-1.0
2024-04-21,-1.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,6.0,9.0,10.0,11.0,11.0,4.0,6.0,15.0,16.0,1.0,1.0,35.0,35.0,41.0,-1.0
2024-04-20,-1.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,6.0,4.0,3.0,5.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,13.0,14.0,2.0,4.0,13.0,13.0,9.0,-1.0
2024-04-19,-1.0,28.0,27.0,28.0,27.0,27.0,30.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,29.0,29.0,2.0,3.0,28.0,29.0,30.0,31.0,31.0,32.0,25.0,26.0,25.0,24.0,31.0,-1.0
2024-04-18,-1.0,3.0,3.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,6.0,7.0,6.0,3.0,2.0,12.0,12.0,1.0,5.0,15.0,16.0,10.0,9.0,7.0,6.0,5.0,-1.0
2024-04-17,-1.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,8.0,9.0,4.0,4.0,22.0,22.0,21.0,20.0,24.0,25.0,2.0,1.0,16.0,15.0,17.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,24.0,23.0,6.0,5.0,10.0,9.0,8.0,8.0,18.0,18.0,2.0,0.0,0.0,-1.0
2024-04-15,-1.0,4.0,0.0,2.0,1.0,2.0,11.0,12.0,12.0,13.0,15.0,16.0,16.0,16.0,13.0,12.0,14.0,15.0,13.0,14.0,4.0,3.0,11.0,12.0,5.0,6.0,1.0,1.0,6.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,10.0,0.0,1.0,10.0,10.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,3.0,4.0,4.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,6.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,17.0,0.0,0.0,8.0,7.0,22.0,-1.0
2024-04-11,-1.0,36.0,35.0,36.0,37.0,37.0,38.0,38.0,40.0,40.0,39.0,40.0,39.0,38.0,37.0,37.0,8.0,8.0,48.0,48.0,21.0,20.0,58.0,59.0,10.0,9.0,57.0,55.0,56.0,-1.0
