date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-11,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,-1.0
2024-04-10,-1.0,1.0,0.0,1.0,2.0,2.0,8.0,12.0,0.0,0.0,9.0,10.0,11.0,14.0,14.0,15.0,15.0,13.0,16.0,15.0,15.0,-1.0
2024-04-09,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,10.0,9.0,1.0,1.0,1.0,-1.0
2024-04-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.0,0.0,0.0,84.0,85.0,84.0,87.0,86.0,87.0,84.0,83.0,82.0,86.0,121.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,3.0,4.0,9.0,0.0,0.0,6.0,7.0,7.0,11.0,28.0,29.0,26.0,26.0,25.0,26.0,27.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,0.0,1.0,0.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,-1.0,52.0,53.0,54.0,0.0,0.0,50.0,52.0,-1.0,-1.0,35.0,36.0,33.0,33.0,27.0,26.0,27.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,16.0,22.0,22.0,18.0,18.0,18.0,18.0,14.0,-1.0
