date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Greifswald.in,Greifswald.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Bernau(b_Berlin).in,Bernau(b_Berlin).out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-03,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,8.0,2.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,-1.0
2024-05-02,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,8.0,9.0,8.0,7.0,0.0,0.0,6.0,6.0,5.0,4.0,3.0,2.0,0.0,0.0,3.0,4.0,5.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0,7.0,8.0,9.0,3.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,3.0,3.0,3.0,5.0,6.0,4.0,12.0,11.0,11.0,4.0,4.0,6.0,6.0,11.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,21.0,21.0,21.0,27.0,28.0,27.0,29.0,36.0,37.0,35.0,35.0,35.0,36.0,26.0,-1.0
2024-04-28,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,0.0,0.0,4.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,17.0,18.0,18.0,18.0,19.0,19.0,15.0,15.0,15.0,10.0,11.0,10.0,9.0,14.0,-1.0
2024-04-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,18.0,18.0,17.0,18.0,16.0,15.0,15.0,15.0,17.0,16.0,17.0,16.0,25.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,11.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,34.0,34.0,36.0,37.0,35.0,35.0,29.0,37.0,31.0,31.0,32.0,32.0,37.0,-1.0
2024-04-23,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,45.0,38.0,38.0,39.0,42.0,43.0,38.0,40.0,42.0,42.0,37.0,39.0,40.0,-1.0,-1.0,-1.0
2024-04-22,-1.0,6.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,15.0,16.0,24.0,24.0,23.0,21.0,22.0,22.0,22.0,23.0,25.0,25.0,25.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,4.0,32.0,31.0,5.0,6.0,29.0,28.0,15.0,16.0,17.0,17.0,19.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,14.0,14.0,14.0,16.0,17.0,24.0,25.0,32.0,31.0,38.0,38.0,44.0,45.0,47.0,-1.0
2024-04-19,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,12.0,15.0,15.0,0.0,0.0,15.0,15.0,13.0,14.0,13.0,11.0,7.0,7.0,6.0,4.0,3.0,6.0,21.0,22.0,24.0,25.0,27.0,28.0,26.0,27.0,27.0,27.0,13.0,-1.0
2024-04-18,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,11.0,11.0,11.0,11.0,11.0,13.0,20.0,19.0,20.0,12.0,12.0,12.0,11.0,6.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,6.0,5.0,4.0,4.0,3.0,1.0,1.0,2.0,5.0,16.0,16.0,16.0,18.0,18.0,18.0,23.0,24.0,27.0,26.0,26.0,26.0,25.0,24.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,-1.0
