date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-04-13,-1.0,8.0,-1.0,8.0,12.0,12.0,12.0,11.0,11.0,10.0,6.0,5.0,13.0,14.0,12.0,125.0,122.0,122.0,0.0,0.0,121.0,121.0,118.0,117.0,117.0,-1.0,-1.0,-1.0
2024-04-12,-1.0,0.0,0.0,1.0,2.0,3.0,7.0,7.0,13.0,12.0,13.0,10.0,19.0,20.0,15.0,9.0,6.0,18.0,0.0,0.0,21.0,20.0,15.0,14.0,16.0,-1.0,22.0,-1.0
2024-04-11,-1.0,3.0,-1.0,3.0,1.0,5.0,3.0,4.0,7.0,6.0,3.0,3.0,5.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-10,-1.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,10.0,9.0,6.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,-1.0,4.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,3.0,5.0,4.0,3.0,4.0,8.0,7.0,9.0,18.0,18.0,16.0,9.0,8.0,8.0,0.0,0.0,7.0,8.0,2.0,2.0,2.0,-1.0,6.0,-1.0
2024-04-08,-1.0,3.0,-1.0,4.0,2.0,3.0,2.0,1.0,6.0,5.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,4.0,-1.0
2024-04-07,-1.0,1.0,-1.0,2.0,2.0,3.0,2.0,4.0,10.0,9.0,6.0,5.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,-1.0,6.0,-1.0
2024-04-06,-1.0,5.0,-1.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,0.0,28.0,32.0,32.0,32.0,25.0,24.0,24.0,0.0,0.0,22.0,23.0,16.0,16.0,15.0,-1.0,-1.0,-1.0
2024-04-05,-1.0,2.0,1.0,2.0,1.0,2.0,6.0,6.0,13.0,13.0,9.0,15.0,20.0,22.0,17.0,10.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0,5.0,-1.0
2024-04-04,-1.0,17.0,16.0,16.0,14.0,16.0,17.0,16.0,17.0,21.0,21.0,22.0,26.0,25.0,21.0,16.0,13.0,13.0,0.0,0.0,11.0,11.0,6.0,5.0,5.0,-1.0,4.0,-1.0
2024-04-03,-1.0,2.0,-1.0,3.0,3.0,4.0,3.0,3.0,13.0,13.0,16.0,20.0,19.0,21.0,19.0,14.0,10.0,11.0,0.0,0.0,10.0,25.0,25.0,25.0,27.0,-1.0,30.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,7.0,3.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-04-01,-1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,-1.0,2.0,-1.0
