date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-06,-1.0,6.0,5.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,21.0,28.0,0.0,0.0,29.0,28.0,27.0,27.0,29.0,29.0,-1.0,-1.0,45.0,45.0,45.0,-1.0
2024-05-05,-1.0,10.0,9.0,13.0,15.0,15.0,15.0,16.0,19.0,18.0,12.0,12.0,12.0,13.0,12.0,12.0,9.0,8.0,0.0,0.0,7.0,7.0,6.0,6.0,5.0,5.0,10.0,10.0,13.0,13.0,15.0,-1.0
2024-05-04,-1.0,3.0,-1.0,2.0,-1.0,1.0,0.0,1.0,26.0,27.0,16.0,17.0,35.0,35.0,18.0,21.0,15.0,15.0,0.0,0.0,14.0,13.0,12.0,14.0,14.0,13.0,15.0,15.0,13.0,13.0,16.0,-1.0
2024-05-03,-1.0,4.0,-1.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,-1.0
2024-05-01,-1.0,5.0,-1.0,5.0,4.0,2.0,2.0,2.0,0.0,21.0,1.0,1.0,19.0,20.0,6.0,8.0,4.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,-1.0
2024-04-30,-1.0,2.0,-1.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,7.0,7.0,79.0,82.0,86.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,43.0,53.0,59.0,0.0,0.0,59.0,59.0,58.0,58.0,58.0,58.0,-1.0,-1.0,60.0,60.0,65.0,-1.0
2024-04-28,-1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,12.0,1.0,1.0,10.0,9.0,2.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,-1.0
2024-04-27,-1.0,10.0,9.0,8.0,8.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,20.0,0.0,0.0,20.0,20.0,18.0,18.0,20.0,23.0,24.0,24.0,22.0,22.0,23.0,-1.0
2024-04-26,-1.0,2.0,-1.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,5.0,108.0,107.0,0.0,0.0,107.0,107.0,105.0,105.0,111.0,111.0,112.0,111.0,111.0,110.0,109.0,-1.0
2024-04-25,-1.0,1.0,-1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,4.0,7.0,-1.0
2024-04-24,-1.0,0.0,-1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,-1.0
2024-04-23,-1.0,6.0,-1.0,4.0,-1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,-1.0
2024-04-22,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,10.0,6.0,7.0,0.0,0.0,8.0,8.0,8.0,9.0,10.0,10.0,11.0,13.0,12.0,13.0,14.0,-1.0
2024-04-21,-1.0,13.0,-1.0,3.0,3.0,6.0,7.0,7.0,1.0,2.0,2.0,2.0,3.0,3.0,9.0,18.0,14.0,13.0,19.0,19.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,25.0,25.0,24.0,19.0,-1.0
2024-04-20,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,5.0,5.0,6.0,2.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,10.0,9.0,9.0,5.0,-1.0
2024-04-19,-1.0,10.0,-1.0,6.0,7.0,6.0,1.0,2.0,0.0,0.0,3.0,3.0,5.0,6.0,8.0,10.0,5.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,10.0,-1.0
