date,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-04-17,-1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,1.0,14.0,14.0,16.0,15.0,17.0,16.0,26.0,21.0,22.0,22.0,23.0,15.0,16.0,17.0,12.0,-1.0,13.0,12.0,13.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-13,-1.0,1.0,3.0,3.0,6.0,5.0,4.0,3.0,8.0,8.0,8.0,9.0,8.0,3.0,1.0,1.0,0.0,4.0,7.0,5.0,7.0,-1.0
2024-04-12,-1.0,1.0,1.0,0.0,28.0,29.0,30.0,29.0,30.0,31.0,33.0,34.0,36.0,28.0,30.0,30.0,-1.0,-1.0,11.0,11.0,11.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,2.0,2.0,11.0,9.0,8.0,8.0,8.0,8.0,7.0,2.0,4.0,5.0,6.0,6.0,8.0,7.0,7.0,-1.0
2024-04-10,-1.0,0.0,11.0,10.0,12.0,11.0,7.0,6.0,6.0,6.0,14.0,14.0,14.0,6.0,7.0,7.0,0.0,-1.0,3.0,1.0,4.0,-1.0
2024-04-09,-1.0,0.0,0.0,1.0,14.0,13.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,11.0,12.0,12.0,11.0,4.0,13.0,12.0,12.0,-1.0
2024-04-08,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-05,-1.0,0.0,1.0,1.0,1.0,1.0,7.0,6.0,9.0,8.0,3.0,6.0,6.0,0.0,4.0,4.0,3.0,5.0,3.0,3.0,6.0,-1.0
2024-04-04,-1.0,0.0,2.0,1.0,8.0,7.0,11.0,9.0,11.0,5.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-03,-1.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,8.0,8.0,8.0,-1.0
2024-04-02,-1.0,1.0,25.0,33.0,47.0,45.0,46.0,45.0,46.0,39.0,38.0,38.0,37.0,32.0,31.0,32.0,-1.0,-1.0,18.0,18.0,18.0,-1.0
2024-04-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0
