date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-20,-1.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,-1.0,-1.0,-1.0
2024-05-19,-1.0,1.0,3.0,11.0,-1.0,-1.0,40.0,41.0,13.0,14.0,7.0,1.0,0.0,-1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-18,-1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-16,-1.0,1.0,0.0,1.0,5.0,7.0,10.0,12.0,33.0,33.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,-1.0
2024-05-15,-1.0,0.0,4.0,5.0,7.0,10.0,15.0,16.0,3.0,3.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-14,-1.0,0.0,4.0,4.0,16.0,17.0,18.0,20.0,14.0,15.0,24.0,16.0,10.0,11.0,132.0,132.0,132.0,132.0,5.0,5.0,3.0,3.0,129.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,3.0,1.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,12.0,12.0,12.0,-1.0
2024-05-11,-1.0,0.0,9.0,9.0,15.0,14.0,14.0,18.0,22.0,22.0,29.0,25.0,22.0,22.0,22.0,22.0,24.0,23.0,19.0,19.0,15.0,15.0,15.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,7.0,4.0,5.0,6.0,6.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,12.0,12.0,9.0,9.0,7.0,7.0,3.0,6.0,8.0,-1.0
2024-05-08,-1.0,0.0,4.0,4.0,6.0,4.0,4.0,5.0,13.0,14.0,11.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,4.0,4.0,0.0,1.0,2.0,-1.0
2024-05-07,-1.0,0.0,8.0,9.0,13.0,11.0,15.0,16.0,6.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,-1.0
2024-05-06,-1.0,1.0,5.0,5.0,11.0,8.0,11.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-05,-1.0,3.0,56.0,57.0,62.0,62.0,61.0,66.0,65.0,65.0,64.0,55.0,46.0,45.0,44.0,45.0,42.0,41.0,41.0,40.0,38.0,38.0,38.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-03,-1.0,1.0,2.0,2.0,8.0,6.0,9.0,10.0,2.0,2.0,7.0,0.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,-1.0
2024-05-02,-1.0,0.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,-1.0
2024-05-01,-1.0,0.0,0.0,1.0,3.0,2.0,9.0,11.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,-1.0
2024-04-30,-1.0,1.0,1.0,1.0,3.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0
2024-04-28,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-27,-1.0,0.0,0.0,10.0,9.0,8.0,9.0,27.0,7.0,8.0,9.0,5.0,5.0,9.0,10.0,10.0,7.0,7.0,6.0,6.0,2.0,3.0,7.0,-1.0
2024-04-26,-1.0,0.0,1.0,2.0,6.0,6.0,6.0,8.0,5.0,5.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,-1.0
2024-04-25,-1.0,1.0,2.0,3.0,20.0,20.0,20.0,21.0,8.0,9.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,5.0,7.0,7.0,9.0,6.0,29.0,28.0,19.0,9.0,8.0,7.0,8.0,6.0,6.0,4.0,4.0,6.0,6.0,12.0,-1.0
2024-04-23,-1.0,0.0,1.0,1.0,7.0,6.0,6.0,8.0,8.0,9.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,9.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,7.0,10.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,11.0,10.0,11.0,11.0,14.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,14.0,18.0,-1.0
2024-04-19,-1.0,0.0,5.0,4.0,25.0,24.0,24.0,26.0,13.0,15.0,11.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,8.0,25.0,36.0,36.0,-1.0
2024-04-18,-1.0,1.0,3.0,3.0,16.0,14.0,16.0,16.0,26.0,27.0,22.0,14.0,6.0,6.0,6.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-17,-1.0,36.0,39.0,38.0,45.0,49.0,48.0,52.0,27.0,30.0,-1.0,-1.0,105.0,105.0,108.0,108.0,106.0,105.0,104.0,105.0,102.0,102.0,105.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,32.0,38.0,39.0,44.0,43.0,48.0,49.0,5.0,5.0,15.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,-1.0
2024-04-14,-1.0,30.0,31.0,38.0,42.0,40.0,42.0,45.0,8.0,10.0,4.0,0.0,16.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,-1.0
2024-04-13,-1.0,31.0,35.0,38.0,44.0,45.0,45.0,45.0,2.0,3.0,0.0,0.0,16.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,-1.0
2024-04-12,-1.0,31.0,38.0,38.0,51.0,49.0,50.0,50.0,35.0,35.0,29.0,20.0,11.0,11.0,10.0,11.0,8.0,7.0,6.0,7.0,4.0,5.0,7.0,-1.0
2024-04-11,-1.0,30.0,32.0,39.0,40.0,39.0,39.0,39.0,36.0,35.0,2.0,3.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,-1.0
2024-04-09,-1.0,32.0,38.0,37.0,45.0,43.0,45.0,50.0,23.0,23.0,17.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-08,-1.0,30.0,30.0,29.0,40.0,40.0,39.0,40.0,3.0,4.0,6.0,6.0,16.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,9.0,0.0,2.0,-1.0
2024-04-07,-1.0,22.0,20.0,19.0,20.0,19.0,18.0,30.0,2.0,3.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,23.0,23.0,37.0,-1.0
2024-04-06,-1.0,30.0,42.0,42.0,43.0,42.0,44.0,46.0,18.0,19.0,17.0,15.0,7.0,6.0,8.0,9.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,-1.0
2024-04-05,-1.0,0.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-04,-1.0,0.0,4.0,3.0,8.0,6.0,9.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-03,-1.0,1.0,6.0,8.0,9.0,7.0,9.0,10.0,14.0,13.0,0.0,0.0,0.0,0.0,9.0,10.0,9.0,8.0,7.0,7.0,2.0,5.0,9.0,-1.0
2024-04-02,-1.0,0.0,2.0,2.0,3.0,2.0,13.0,20.0,9.0,9.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,3.0,4.0,2.0,25.0,35.0,34.0,38.0,39.0,36.0,36.0,34.0,34.0,31.0,31.0,35.0,-1.0
