date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-15,-1.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,5.0,5.0,8.0,9.0,13.0,13.0,11.0,11.0,14.0,14.0,14.0,14.0,13.0,15.0,21.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,13.0,14.0,13.0,12.0,12.0,12.0,10.0,10.0,8.0,-1.0
2024-04-13,-1.0,10.0,10.0,10.0,3.0,3.0,0.0,1.0,3.0,13.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,14.0,16.0,14.0,15.0,16.0,19.0,18.0,18.0,15.0,-1.0
2024-04-12,-1.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,17.0,18.0,17.0,19.0,21.0,21.0,-1.0,-1.0,20.0,-1.0
2024-04-11,-1.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,9.0,10.0,7.0,-1.0
2024-04-10,-1.0,6.0,7.0,7.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,7.0,-1.0
2024-04-09,-1.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,12.0,17.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,19.0,20.0,24.0,25.0,25.0,25.0,24.0,24.0,21.0,-1.0
2024-04-08,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-07,-1.0,8.0,35.0,36.0,31.0,29.0,26.0,26.0,27.0,29.0,0.0,0.0,31.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,40.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,21.0,34.0,34.0,28.0,27.0,28.0,30.0,28.0,30.0,51.0,62.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,66.0,75.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,16.0,22.0,22.0,24.0,23.0,23.0,24.0,26.0,28.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,25.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,14.0,15.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,23.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,1.0,3.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
