source,target,sumDelay,numTrains,numDelayedTrains
Wabern (Bz Kassel),Treysa,24.0,254,57
Treysa,Marburg (Lahn),-79.0,273,66
Marburg (Lahn),Gießen,33.0,268,66
Gießen,Friedberg (Hess),-20.0,272,66
Friedberg (Hess),Frankfurt (Main) Hbf,-37.0,221,49
Frankfurt (Main) Hbf,Darmstadt Hbf,-229.0,403,170
Darmstadt Hbf,Bensheim,53.0,368,85
Bensheim,Heidelberg Hbf,54.0,230,72
Heidelberg Hbf,Wiesloch-Walldorf,128.0,309,98
Wiesloch-Walldorf,Bruchsal,17.0,135,28
Bruchsal,Karlsruhe Hbf,-4.0,301,223
Hamburg Hbf,Büchen,-178.0,457,358
Büchen,Ludwigslust,62.0,465,230
Wittenberge,Berlin-Spandau,1156.0,476,363
Berlin Südkreuz,Berlin Ostbahnhof,-889.0,102,80
Stuttgart Hbf,Heidelberg Hbf,23.0,106,56
Heidelberg Hbf,Mannheim Hbf,596.0,450,328
Mannheim Hbf,Mainz Hbf,1124.0,350,289
Mainz Hbf,Bingen (Rhein) Hbf,231.0,217,114
Bingen (Rhein) Hbf,Koblenz Hbf,-109.0,168,101
Koblenz Hbf,Köln Messe/Deutz,-816.0,258,121
Köln Messe/Deutz,Andernach,695.0,202,93
Andernach,Remagen,37.0,334,139
Remagen,Bonn Hbf,94.0,311,125
Bonn Hbf,Köln Hbf,1944.0,657,504
Köln Hbf,Wuppertal Hbf,1088.0,489,459
Hagen Hbf,Berlin Zoologischer Garten,-989.0,52,52
Berlin Zoologischer Garten,Bielefeld Hbf,830.0,50,45
Hannover Hbf,Berlin-Spandau,-263.0,374,362
Dortmund Hbf,Hamm (Westf) Hbf,2548.0,1280,1119
Bielefeld Hbf,Minden (Westf),-510.0,397,392
Minden (Westf),Hannover Hbf,1386.0,554,545
Frankfurt (Main) Hbf,Mannheim Hbf,2167.0,421,381
Mannheim Hbf,Karlsruhe Hbf,2319.0,183,131
Karlsruhe Hbf,Baden-Baden,220.0,94,48
Baden-Baden,Offenburg,-32.0,92,43
Offenburg,Freiburg (Breisgau) Hbf,2.0,17,10
Emden Hbf,Marienhafe,-9.0,91,71
Marienhafe,Norden,-23.0,90,69
Halle (Saale) Hbf,Köln Messe/Deutz,-4.0,56,4
Köln Messe/Deutz,Bonn-Beuel,20.0,202,3
Bonn-Beuel,Köthen,6.0,56,4
Köthen,Bonn Hbf,-5.0,56,4
Bonn Hbf,Koblenz Hbf,1700.0,512,368
Koblenz Hbf,Mainz Hbf,-390.0,411,277
Mainz Hbf,Frankfurt am Main Flughafen Fernbahnhof,193.0,359,232
Frankfurt (Main) Hbf,Magdeburg Hbf,1.0,17,1
Minden (Westf),Bad Oeynhausen,-97.0,198,160
Bad Oeynhausen,Herford,37.0,182,154
Herford,Bielefeld Hbf,333.0,484,401
Bielefeld Hbf,Gütersloh Hbf,-463.0,295,238
Gütersloh Hbf,Hamm (Westf) Hbf,1024.0,390,294
Hamm (Westf) Hbf,Dortmund Hbf,-1057.0,1402,1314
Dortmund Hbf,Hagen Hbf,1264.0,903,789
Wuppertal Hbf,Solingen Hbf,-63.0,459,363
Solingen Hbf,Köln Hbf,9005.0,912,777
Stuttgart Hbf,Chemnitz Hbf,-47.0,34,19
Chemnitz Hbf,Schorndorf,83.0,40,24
Schorndorf,Schwäbisch Gmünd,-26.0,111,88
Ellwangen,Dresden Hbf,-126.0,57,36
Dresden Hbf,Crailsheim,80.0,33,23
Schwerin Hbf,Hamburg Dammtor,-97.0,52,12
Hamburg-Altona,Hamburg-Harburg,-86.0,53,16
Hamburg-Harburg,Recklinghausen Hbf,504.0,50,31
Recklinghausen Hbf,Essen Hbf,54.0,259,156
Essen Hbf,Köln Messe/Deutz,-1121.0,101,65
Köln Messe/Deutz,Duisburg Hbf,1772.0,208,169
Duisburg Hbf,Düsseldorf Hbf,3323.0,1950,1537
Düsseldorf Hbf,Hamburg Hbf,-590.0,47,37
Hamburg Hbf,Bonn-Beuel,-348.0,52,31
Bonn-Beuel,Solingen Hbf,114.0,53,6
Koblenz Hbf,Bingen (Rhein) Hbf,263.0,218,178
Bingen (Rhein) Hbf,Mainz Hbf,0.0,266,183
Aschaffenburg Hbf,Ostseebad Binz,-1044.0,32,32
Stralsund Hbf,Velgast,-24.0,362,110
Velgast,Ribnitz-Damgarten West,-30.0,369,95
Ribnitz-Damgarten West,Rostock Hbf,48.0,369,120
Rostock Hbf,Bützow,-24.0,407,146
Bützow,Fürth (Bay) Hbf,121.0,55,12
Fürth (Bay) Hbf,Würzburg Hbf,1490.0,46,44
Dortmund Hbf,Köln Hbf,537.0,68,54
Essen Hbf,Solingen Hbf,-615.0,150,105
Solingen Hbf,Münster (Westf) Hbf,2486.0,175,163
Münster (Westf) Hbf,Hamburg-Harburg,-234.0,102,100
Hamburg Dammtor,Itzehoe,192.0,256,180
Itzehoe,Heide (Holst),866.0,310,227
Heide (Holst),Husum,224.0,312,227
Husum,Niebüll,209.0,313,226
Stuttgart Hbf,Vaihingen (Enz),-85.0,518,436
Vaihingen (Enz),Bruchsal,205.0,53,40
Frankfurt (Main) Hbf,Fulda,-2991.0,695,555
Fulda,Bad Hersfeld,-165.0,419,300
Bad Hersfeld,Eisenach,840.0,406,295
Gotha,Erfurt Hbf,109.0,550,425
Leipzig Hbf,Riesa,-104.0,543,456
Riesa,Dresden-Neustadt,508.0,530,499
Dresden-Neustadt,Dresden Hbf,-15.0,952,812
Köln Hbf,Köln Messe/Deutz,-131.0,361,325
Köln Messe/Deutz,Solingen Hbf,1220.0,298,142
Solingen Hbf,Düsseldorf Hbf,-6410.0,804,654
Duisburg Hbf,Wuppertal Hbf,-75.0,40,23
Wuppertal Hbf,Mülheim (Ruhr) Hbf,73.0,40,17
Mülheim (Ruhr) Hbf,Essen Hbf,-108.0,146,92
Essen Hbf,Hagen Hbf,-65.0,40,18
