source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Duisburg Hbf,Essen Hbf,347.0,-121.0,59.51414,59.0,-0.35291,0.47129,-0.18658
Essen Hbf,Eisenach,0.0,0.0,0.0,1.0,,1.0,0.0
Eisenach,Gotha,26.0,-46.0,9.5551,15.0,-0.33005,0.52123,-0.15802
Gotha,Bochum Hbf,38.0,-12.0,5.87112,1.0,-0.18182,0.63333,-0.06667
Bochum Hbf,Erfurt Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Erfurt Hbf,Köln Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Köln Hbf,Dortmund Hbf,80.0,0.0,11.87052,1.0,10.33333,0.55,4.65
Dortmund Hbf,Gera Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Gera Hbf,Hermsdorf-Klosterlausnitz,3.0,-2.0,1.15527,4.0,-0.63235,0.70435,-0.18696
Hermsdorf-Klosterlausnitz,Stadtroda,4.0,-1.0,1.24624,4.0,0.02041,0.78696,0.00435
Stadtroda,Jena-Göschwitz,2.0,-1.0,0.9457,4.0,0.2,0.80435,0.03913
Jena-Göschwitz,Weimar,2.0,-1.0,0.45721,1.0,0.90909,0.81667,0.16667
Wolfsburg Hbf,Hannover Hbf,165.0,-46.0,65.97522,34.0,1.71397,0.30114,1.19782
Hannover Hbf,Nienburg (Weser),75.0,-14.0,18.04514,9.0,2.33025,0.31646,1.59283
Nienburg (Weser),Verden (Aller),57.0,-11.0,9.41653,9.0,0.04,0.41983,0.02321
Verden (Aller),Hamburg-Harburg,18.0,-99.0,19.64826,1.0,-11.30556,0.35714,-7.26786
Hamburg-Harburg,Bremen Hbf,191.0,-15.0,43.61623,18.0,3.32277,0.16634,2.77006
Bremen Hbf,Delmenhorst,38.0,-101.0,16.16272,11.0,0.51712,0.50759,0.25464
Delmenhorst,Oldenburg (Oldb) Hbf,104.0,-8.0,15.55658,2.0,4.80851,0.21667,3.76667
Hamburg Hbf,Hamburg-Harburg,102.0,-168.0,66.8032,52.0,-5.33548,0.43149,-3.03325
Hamburg-Harburg,Hannover Hbf,111.0,-19.0,49.76792,9.0,13.38152,0.20377,10.65472
Hannover Hbf,Göttingen,91.0,-78.0,43.07842,35.0,0.38723,0.32857,0.26
Fulda,Würzburg Hbf,56.0,-74.0,29.6647,19.0,-0.06524,0.21141,-0.05145
Nürnberg Hbf,Erlangen,38.0,-39.0,14.55473,16.0,1.5734,0.34205,1.03523
Erlangen,Bamberg,40.0,-3.0,12.04023,14.0,2.45161,0.36735,1.55102
Bamberg,Lichtenfels,17.0,-4.0,7.47081,5.0,1.36441,0.21333,1.07333
Lichtenfels,Kronach,7.0,-6.0,3.05167,5.0,-0.63942,0.30667,-0.44333
Kronach,Ludwigsstadt,7.0,-5.0,2.90013,5.0,-0.1978,0.39333,-0.12
Ludwigsstadt,Saalfeld (Saale),11.0,-5.0,4.39057,5.0,-2.46639,0.20667,-1.95667
Saalfeld (Saale),Rudolstadt (Thür),3.0,-75.0,9.76025,5.0,-1.4,0.41667,-0.81667
Rudolstadt (Thür),Jena-Göschwitz,12.0,-2.0,3.29479,5.0,-0.01724,0.42,-0.01
Jena-Göschwitz,Jena Paradies,79.0,-2.0,10.46473,6.0,-0.15764,0.43454,-0.08914
Jena Paradies,Naumburg (Saale) Hbf,61.0,-4.0,10.58347,6.0,-0.25116,0.40111,-0.15042
Naumburg (Saale) Hbf,Weißenfels,6.0,-2.0,1.70835,6.0,0.20755,0.70474,0.06128
Weißenfels,Leipzig Hbf,15.0,-3.0,5.06955,6.0,0.625,0.48747,0.32033
Treuchtlingen,Nürnberg Hbf,37.0,-5.0,7.63738,3.0,-0.17857,0.30864,-0.12346
Bamberg,Coburg,10.0,-50.0,7.3594,2.0,0.01389,0.35714,0.00893
Coburg,Erfurt Hbf,211.0,-16.0,31.0612,3.0,1.42063,0.26744,1.0407
Erfurt Hbf,Leipzig Hbf,98.0,-109.0,44.59297,30.0,-1.52888,0.32521,-1.03167
Köln Hbf,Siegburg/Bonn,64.0,-70.0,25.95508,13.0,0.30317,0.39946,0.18207
Frankfurt (Main) Hbf,Friedberg (Hess),17.0,-35.0,6.76172,6.0,-0.44118,0.83962,-0.07075
Friedberg (Hess),Gießen,17.0,-2.0,6.70262,6.0,2.03333,0.83784,0.32973
Gießen,Marburg (Lahn),7.0,-2.0,4.02559,8.0,0.04545,0.83459,0.00752
Marburg (Lahn),Treysa,13.0,-4.0,5.16022,8.0,0.80435,0.82707,0.1391
Treysa,Wabern (Bz Kassel),3.0,-3.0,2.39891,6.0,-1.77778,0.80541,-0.34595
Wabern (Bz Kassel),Kassel-Wilhelmshöhe,16.0,-3.0,8.34969,5.0,3.07407,0.84302,0.48256
Hamburg-Altona,Hamburg Dammtor,59.0,-33.0,21.98726,40.0,0.34671,0.53955,0.15964
Hamburg Dammtor,Hamburg Hbf,39.0,-40.0,12.58362,45.0,0.19073,0.68436,0.0602
Hamburg Hbf,Ludwigslust,89.0,-153.0,32.58988,12.0,-3.01856,0.28676,-2.15294
Ludwigslust,Berlin-Spandau,71.0,-11.0,18.84123,4.0,-0.44444,0.22078,-0.34632
Berlin Hbf,Berlin Südkreuz,118.0,-133.0,56.02534,61.0,-0.12208,0.37791,-0.07595
Wolfsburg Hbf,Stendal Hbf,146.0,-45.0,28.54196,15.0,0.72653,0.36198,0.46354
Stendal Hbf,Berlin-Spandau,65.0,-147.0,42.90144,16.0,-2.33723,0.27657,-1.69082
Norddeich Mole,Norddeich,38.0,-26.0,8.05984,7.0,-1.7619,0.69417,-0.53883
Norddeich,Norden,35.0,-6.0,5.15011,9.0,0.28777,0.71281,0.08264
Norden,Emden Hbf,65.0,-7.0,11.81069,6.0,2.66438,0.58046,1.11782
Leer (Ostfriesl),Papenburg (Ems),18.0,-59.0,10.64364,11.0,-0.67713,0.64771,-0.23855
Papenburg (Ems),Meppen,50.0,-4.0,10.52613,10.0,1.41912,0.5286,0.66898
Meppen,Lingen (Ems),9.0,-11.0,3.89929,11.0,-0.75546,0.63823,-0.2733
Lingen (Ems),Rheine,57.0,-3.0,9.04508,10.0,1.75248,0.64747,0.6178
Rheine,Münster (Westf) Hbf,120.0,-6.0,24.07829,9.0,2.0,0.50584,0.98833
Münster (Westf) Hbf,Recklinghausen Hbf,27.0,-74.0,27.50835,13.0,-2.69492,0.33801,-1.78401
Recklinghausen Hbf,Wanne-Eickel Hbf,59.0,-38.0,11.5178,5.0,2.47436,0.71533,0.70438
Wanne-Eickel Hbf,Gelsenkirchen Hbf,30.0,-12.0,4.96885,5.0,-0.34783,0.76042,-0.08333
Gelsenkirchen Hbf,Köln Messe/Deutz,11.0,-61.0,12.85815,1.0,-12.17949,0.35,-7.91667
Köln Messe/Deutz,Bonn-Beuel,96.0,-160.0,25.82262,4.0,6.92,0.89224,0.74569
Bonn-Beuel,Oberhausen Hbf,48.0,-10.0,11.47444,2.0,10.08333,0.54717,4.56604
Oberhausen Hbf,Duisburg Hbf,68.0,-16.0,12.91334,6.0,1.34737,0.45087,0.73988
Düsseldorf Hbf,Bonn Hbf,25.0,-67.0,15.57374,1.0,-11.07407,0.1,-9.96667
Bonn Hbf,Remagen,45.0,-18.0,10.05839,8.0,2.9507,0.69593,0.89722
Remagen,Andernach,19.0,-14.0,4.57587,10.0,0.32544,0.70506,0.09599
Andernach,Koblenz Hbf,103.0,-34.0,18.97639,9.0,2.03571,0.61793,0.77778
Koblenz Hbf,Bingen (Rhein) Hbf,25.0,-56.0,10.83919,6.0,1.27717,0.48315,0.66011
Bingen (Rhein) Hbf,Mainz Hbf,212.0,-58.0,29.96679,6.0,-0.36216,0.45906,-0.19591
Mainz Hbf,Worms Hbf,11.0,-48.0,7.1538,4.0,-1.05085,0.73894,-0.27434
Worms Hbf,Mannheim Hbf,51.0,-7.0,9.72751,4.0,3.84211,0.74779,0.96903
Mannheim Hbf,Stuttgart Hbf,103.0,-114.0,41.33322,30.0,0.62614,0.19607,0.50337
Stuttgart Hbf,Köln Hbf,74.0,0.0,16.34,1.0,20.93103,0.03333,20.23333
Singen (Hohentwiel),Engen,8.0,-4.0,1.89854,4.0,1.01235,0.65086,0.35345
Engen,Tuttlingen,24.0,-3.0,3.89438,4.0,0.29358,0.53017,0.13793
Tuttlingen,Spaichingen,8.0,-3.0,2.63235,3.0,1.09859,0.59887,0.44068
Spaichingen,Rottweil,6.0,-1.0,2.10871,3.0,0.96923,0.63277,0.35593
Rottweil,Oberndorf (Neckar),4.0,-6.0,2.4034,3.0,-0.8,0.54802,-0.36158
Oberndorf (Neckar),Sulz (Neckar),9.0,-9.0,3.39028,4.0,0.66292,0.61638,0.25431
Sulz (Neckar),Horb,9.0,-1.0,2.6153,3.0,2.18519,0.38983,1.33333
Horb,Eutingen im Gäu,0.0,-22.0,4.83218,1.0,-6.46667,0.25,-4.85
Eutingen im Gäu,Bondorf (b Herrenberg),20.0,-1.0,5.14345,1.0,6.34884,0.28333,4.55
