source,target,maxDelay,minDelay,stdDev,connections,pureDelay,punctuality,avgDelay
Heidelberg Hbf,Vaihingen (Enz),92.0,-56.0,40.68807,5.0,8.39171,0.25172,6.27931
Jena-Göschwitz,Jena West,1.0,-2.0,0.83564,3.0,-0.75,0.78824,-0.15882
Jena West,Weimar,15.0,-8.0,2.48184,3.0,0.07018,0.66471,0.02353
Weimar,Erfurt Hbf,6.0,-2.0,2.39098,4.0,1.57778,0.58904,0.6484
Erfurt Hbf,Gotha,25.0,-48.0,16.86445,13.0,-1.73571,0.41094,-1.02244
Gotha,Eisenach,20.0,-3.0,5.96405,12.0,-0.24324,0.50373,-0.12072
Eisenach,Kassel-Wilhelmshöhe,93.0,-6.0,15.51037,3.0,3.70085,0.31176,2.54706
Kassel-Wilhelmshöhe,Warburg (Westf),14.0,-3.0,4.33667,2.0,1.67816,0.26891,1.22689
Warburg (Westf),Altenbeken,27.0,-1.0,4.85568,2.0,3.5,0.12605,3.05882
Altenbeken,Paderborn Hbf,6.0,-2.0,1.59936,2.0,-0.36111,0.39496,-0.21849
Paderborn Hbf,Lippstadt,9.0,-1.0,2.23084,2.0,0.60606,0.44538,0.33613
Lippstadt,Soest,17.0,-2.0,2.6727,2.0,0.62295,0.48739,0.31933
Soest,Hamm (Westf) Hbf,6.0,0.0,1.42218,1.0,2.22222,0.25,1.66667
Duisburg Hbf,Düsseldorf Flughafen,14.0,-98.0,28.01883,14.0,0.2991,0.324,0.20219
Stuttgart Hbf,Wiesloch-Walldorf,47.0,-19.0,11.93612,4.0,-0.71084,0.27193,-0.51754
Niebüll,Westerland (Sylt),95.0,-9.0,26.81369,7.0,7.5625,0.60221,3.00829
Mühlacker,Stuttgart Hbf,15.0,-1.0,3.44476,2.0,3.22222,0.625,1.20833
Mannheim Hbf,Frankfurt (Main) Hbf,81.0,-59.0,26.4367,12.0,6.13382,0.19034,4.96633
Berlin-Spandau,Erfurt Hbf,102.0,-131.0,34.54756,4.0,9.2994,0.30417,6.47083
Erfurt Hbf,Berlin Ostbahnhof,89.0,-104.0,30.9174,4.0,-9.66138,0.2125,-7.60833
Berlin Ostbahnhof,Halle (Saale) Hbf,102.0,0.0,27.48411,4.0,11.90751,0.27917,8.58333
Köln Hbf,Berlin-Spandau,102.0,-9.0,22.36646,3.0,8.51471,0.19048,6.89286
Vaihingen (Enz),Wiesloch-Walldorf,56.0,-42.0,14.35266,3.0,2.37097,0.54074,1.08889
Mainz Hbf,Wiesbaden Hbf,108.0,-8.0,30.94947,7.0,6.29078,0.46792,3.34717
Dresden-Neustadt,Elsterwerda,23.0,-9.0,7.49158,10.0,-0.15674,0.46206,-0.08432
Elsterwerda,Doberlug-Kirchhain,51.0,-45.0,10.40161,6.0,-0.93299,0.45198,-0.5113
Doberlug-Kirchhain,Berlin Südkreuz,68.0,-9.0,15.3071,6.0,4.42807,0.19944,3.54494
Berlin Gesundbrunnen,Oranienburg,32.0,-57.0,12.12143,7.0,2.57075,0.48668,1.31961
Oranienburg,Neustrelitz Hbf,8.0,-7.0,5.68699,7.0,-2.50558,0.34867,-1.63196
Neustrelitz Hbf,Waren (Müritz),52.0,-2.0,7.19506,7.0,-0.15094,0.61501,-0.05811
Waren (Müritz),Schwerin Hbf,37.0,-77.0,16.78454,3.0,-5.32407,0.39665,-3.21229
Schwerin Hbf,Rostock Hbf,73.0,-12.0,18.25612,4.0,6.45614,0.52301,3.0795
Rostock Hbf,Warnemünde,22.0,-56.0,11.38053,6.0,-2.15625,0.45609,-1.1728
Donauwörth,Nürnberg Hbf,62.0,-29.0,13.65945,4.0,1.19886,0.2605,0.88655
Nürnberg Hbf,Bamberg,94.0,-38.0,18.24948,7.0,1.63385,0.19554,1.31436
Bamberg,Erfurt Hbf,55.0,-8.0,16.97579,14.0,-1.76025,0.18299,-1.43814
Halle (Saale) Hbf,Bitterfeld,27.0,-62.0,11.96533,8.0,0.51582,0.31304,0.35435
Bitterfeld,Berlin Südkreuz,114.0,-11.0,30.84071,9.0,1.31026,0.19423,1.05577
Berlin-Spandau,Hamburg Hbf,280.0,-12.0,79.90665,14.0,6.86098,0.19363,5.53248
Köln Messe/Deutz,Siegburg/Bonn,76.0,-88.0,25.50931,6.0,-2.19192,0.44382,-1.2191
Limburg Süd,Köln Hbf,95.0,-71.0,24.29765,4.0,16.91892,0.69167,5.21667
Bochum Hbf,Solingen Hbf,90.0,-216.0,67.10445,6.0,-14.64127,0.12256,-12.8468
Solingen Hbf,Dortmund Hbf,215.0,-11.0,58.48092,8.0,18.10345,0.14706,15.44118
Hamm (Westf) Hbf,Soest,92.0,-3.0,12.38564,3.0,2.70312,0.28492,1.93296
Soest,Lippstadt,7.0,-3.0,1.99496,3.0,1.3876,0.27933,1.0
Lippstadt,Paderborn Hbf,45.0,-1.0,6.48479,3.0,2.38043,0.48603,1.22346
Paderborn Hbf,Altenbeken,7.0,-3.0,2.22543,3.0,-1.48718,0.12849,-1.29609
Altenbeken,Warburg (Westf),17.0,-2.0,3.99957,3.0,1.68182,0.50838,0.82682
Warburg (Westf),Kassel-Wilhelmshöhe,38.0,-5.0,8.81779,3.0,0.90977,0.25698,0.67598
Kassel-Wilhelmshöhe,Eisenach,91.0,-171.0,36.09526,5.0,4.76531,0.33784,3.15541
Erfurt Hbf,Weimar,7.0,-81.0,21.16704,4.0,-5.50413,0.48511,-2.83404
Weimar,Jena West,8.0,-6.0,2.18386,3.0,-0.14286,0.60227,-0.05682
Jena West,Jena-Göschwitz,5.0,-11.0,2.32165,3.0,0.04082,0.72159,0.01136
Jena-Göschwitz,Stadtroda,7.0,-3.0,1.59292,3.0,-0.89412,0.51705,-0.43182
Stadtroda,Hermsdorf-Klosterlausnitz,13.0,-3.0,2.78551,3.0,1.22078,0.5625,0.53409
Hermsdorf-Klosterlausnitz,Gera Hbf,5.0,-11.0,2.91598,3.0,-0.9878,0.53409,-0.46023
Hannover Hbf,Bielefeld Hbf,74.0,-31.0,28.51416,18.0,3.64387,0.18226,2.97975
Bielefeld Hbf,Hamm (Westf) Hbf,175.0,-128.0,59.03549,23.0,3.02832,0.22188,2.35638
Münster (Westf) Hbf,Gelsenkirchen Hbf,9.0,-83.0,22.25871,3.0,-8.65942,0.06122,-8.12925
Gelsenkirchen Hbf,Essen Hbf,107.0,-68.0,36.6761,6.0,4.51456,0.3681,2.85276
Frankfurt (Main) Hbf,Erfurt Hbf,0.0,0.0,0.0,2.0,,1.0,0.0
Büchen,Hamburg Hbf,136.0,-18.0,44.8961,4.0,8.28261,0.19298,6.68421
Berlin Südkreuz,Berlin Gesundbrunnen,25.0,-77.0,14.05384,5.0,-0.66667,0.65744,-0.22837
Münster (Westf) Hbf,Bremen Hbf,7.0,-3.0,1.18346,1.0,-0.5,0.88679,-0.0566
Bremen Hbf,Hamburg Hbf,0.0,-3.0,0.66096,1.0,-1.83333,0.88679,-0.20755
Hannover Hbf,Bremen Hbf,22.0,-4.0,18.37137,7.0,5.775,0.40299,3.44776
Berlin Hbf,Esslingen (Neckar),3.0,0.0,0.48666,1.0,3.0,0.97368,0.07895
Esslingen (Neckar),Karlsruhe Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Bruchsal,Wolfsburg Hbf,0.0,-4.0,0.7965,1.0,-1.28571,0.63158,-0.47368
Braunschweig Hbf,Stuttgart Hbf,8.0,0.0,1.826,1.0,2.44444,0.28947,1.73684
Stuttgart Hbf,Hanau Hbf,0.0,-7.0,1.47743,1.0,-2.39394,0.13158,-2.07895
Hanau Hbf,Würzburg Hbf,33.0,-8.0,7.95936,2.0,2.10909,0.43878,1.18367
Ingolstadt Hbf,Hildesheim Hbf,1.0,0.0,0.16223,1.0,1.0,0.97368,0.02632
Göttingen,Ulm Hbf,21.0,0.0,4.18831,1.0,4.15385,0.31579,2.84211
München-Pasing,Frankfurt (Main) Hbf,0.0,-27.0,7.51277,1.0,-8.7,0.21053,-6.86842
Mannheim Hbf,München Hbf,26.0,0.0,7.8561,1.0,9.64286,0.26316,7.10526
Heidelberg Hbf,Wiesloch-Walldorf,80.0,-10.0,18.29257,9.0,1.67619,0.7335,0.4467
Wiesloch-Walldorf,Stuttgart Hbf,27.0,-10.0,6.42938,4.0,0.95522,0.66832,0.31683
Duisburg Hbf,Krefeld Hbf,6.0,-15.0,2.4661,1.0,0.0,0.74,0.0
Krefeld Hbf,Viersen,13.0,-17.0,3.45708,1.0,-1.08333,0.76,-0.26
Viersen,Mönchengladbach Hbf,21.0,-59.0,10.18675,1.0,-4.46154,0.74,-1.16
Mönchengladbach Hbf,Rheydt Hbf,32.0,-75.0,14.14754,2.0,-9.375,0.85455,-1.36364
Rheydt Hbf,Erkelenz,28.0,-2.0,5.39234,2.0,6.33333,0.89091,0.69091
Erkelenz,Herzogenrath,11.0,-32.0,6.18692,1.0,-5.72727,0.78,-1.26
Herzogenrath,Geilenkirchen,54.0,-19.0,9.01763,3.0,1.63043,0.72619,0.44643
Geilenkirchen,Aachen Hbf,20.0,-4.0,4.30208,2.0,2.21429,0.87273,0.28182
Norddeich Mole,Norden,0.0,-3.0,0.47776,2.0,-2.5,0.98276,-0.0431
Ulm Hbf,Stuttgart Hbf,185.0,-20.0,44.62599,14.0,1.84932,0.19188,1.49446
Limburg Süd,Köln Messe/Deutz,60.0,-53.0,14.33533,3.0,8.66667,0.93182,0.59091
Köln Hbf,Solingen Hbf,77.0,-204.0,56.31466,22.0,-2.98479,0.36728,-1.88853
Hagen Hbf,Dortmund Hbf,60.0,-79.0,23.798,14.0,2.81215,0.29935,1.97032
Osnabrück Hbf,Bremen Hbf,88.0,-28.0,25.3642,13.0,-2.17252,0.13015,-1.88977
Göttingen,Hannover-Messe / Laatzen,7.0,-135.0,32.20726,5.0,-8.68947,0.34708,-5.67354
Hannover-Messe / Laatzen,Hannover Hbf,130.0,-44.0,42.34334,7.0,13.33617,0.42822,7.6253
Norden,Marienhafe,11.0,-2.0,2.94021,5.0,-0.51181,0.49603,-0.25794
Marienhafe,Brandenburg Hbf,7.0,-1.0,2.06522,1.0,2.33333,0.75,0.58333
Brandenburg Hbf,Potsdam Hbf,37.0,-50.0,8.82344,2.0,-0.85714,0.45312,-0.46875
Potsdam Hbf,Augustfehn,0.0,-6.0,1.72986,1.0,-3.5,0.83333,-0.58333
Delmenhorst,Berlin-Wannsee,6.0,0.0,2.13733,1.0,3.75,0.66667,1.25
Berlin-Wannsee,Verden (Aller),0.0,-6.0,2.35327,1.0,-4.25,0.66667,-1.41667
Verden (Aller),Nienburg (Weser),19.0,-2.0,3.99623,8.0,0.83019,0.625,0.31132
Nienburg (Weser),Berlin Gesundbrunnen,14.0,0.0,5.01739,1.0,8.2,0.58333,3.41667
Berlin Gesundbrunnen,Emden Hbf,2.0,-5.0,1.72328,1.0,-1.0,0.66667,-0.33333
Leer (Ostfriesl),Bremen Hbf,13.0,-2.0,3.83761,1.0,4.0,0.75,1.0
Bremen Hbf,Braunschweig Hbf,11.0,-14.0,5.50138,1.0,0.33333,0.75,0.08333
Helmstedt,Rostock Hbf,0.0,-10.0,3.13702,1.0,-4.2,0.58333,-1.75
Rostock Hbf,Riesa,4.0,-1.0,1.21543,1.0,1.5,0.83333,0.25
Riesa,Hannover Hbf,14.0,-3.0,4.87029,1.0,4.83333,0.5,2.41667
Hannover Hbf,Bützow,0.0,-6.0,2.09436,1.0,-3.0,0.58333,-1.25
Karlsruhe Hbf,Offenburg,4.0,-7.0,2.7469,1.0,0.66667,0.25,0.5
Triberg,Villingen (Schwarzw),0.0,-4.0,1.3239,2.0,-2.1875,0.72414,-0.60345
Villingen (Schwarzw),Donaueschingen,5.0,-2.0,1.00647,2.0,1.0,0.84483,0.15517
Donaueschingen,Singen (Hohentwiel),3.0,-2.0,1.42223,1.0,-1.0,0.25,-0.75
Singen (Hohentwiel),Radolfzell,8.0,-11.0,2.13116,3.0,-0.83333,0.89286,-0.08929
Nienburg (Weser),Osnabrück Hbf,30.0,-25.0,7.48443,1.0,-4.48936,0.21667,-3.51667
Osnabrück Hbf,Hannover Hbf,45.0,-7.0,12.84914,3.0,4.03185,0.12778,3.51667
Hannover Hbf,Peine,50.0,-5.0,6.97346,2.0,2.04082,0.58824,0.84034
Peine,Braunschweig Hbf,31.0,-3.0,4.55021,2.0,0.0,0.57143,0.0
Düsseldorf Hbf,Neuss Hbf,10.0,-16.0,3.10276,1.0,0.0,0.43333,0.0
Neuss Hbf,Mönchengladbach Hbf,61.0,-25.0,8.8617,1.0,1.73077,0.56667,0.75
Erkelenz,Geilenkirchen,0.0,-2.0,0.4682,1.0,-1.6,0.91667,-0.13333
Frankfurt am Main Flughafen Fernbahnhof,Montabaur,1.0,-159.0,31.74903,3.0,-14.67308,0.03704,-14.12963
Siegburg/Bonn,Köln Hbf,99.0,-67.0,35.24767,9.0,3.44787,0.20677,2.73496
Wuppertal Hbf,Düsseldorf Hbf,127.0,-128.0,61.23785,12.0,-11.66338,0.15417,-9.86528
Düsseldorf Hbf,Hagen Hbf,247.0,-24.0,41.61644,2.0,16.35088,0.05,15.53333
Köln Messe/Deutz,Wuppertal Hbf,141.0,-79.0,43.75396,7.0,9.60687,0.36867,6.06506
Hagen Hbf,Montabaur,50.0,-93.0,20.9767,3.0,-16.65217,0.87006,-2.16384
Montabaur,Düsseldorf Hbf,204.0,-17.0,39.25583,1.0,28.90698,0.28333,20.71667
Essen Hbf,Gelsenkirchen Hbf,65.0,-203.0,34.45137,1.0,-17.64103,0.35,-11.46667
Gelsenkirchen Hbf,Recklinghausen Hbf,58.0,-53.0,11.38295,2.0,2.48837,0.63248,0.91453
Recklinghausen Hbf,Bochum Hbf,202.0,-196.0,46.90017,1.0,1.63158,0.36667,1.03333
Bochum Hbf,Siegburg/Bonn,170.0,-142.0,33.70123,1.0,8.04,0.16667,6.7
Siegburg/Bonn,Dortmund Hbf,140.0,-170.0,33.7463,1.0,-6.24138,0.03333,-6.03333
Husum,Bredstedt,7.0,-4.0,1.58907,1.0,0.05556,0.7,0.01667
Bredstedt,Langenhorn (Schlesw),23.0,-23.0,6.75956,3.0,1.6044,0.49162,0.81564
Langenhorn (Schlesw),Niebüll,35.0,-11.0,6.14923,3.0,1.38596,0.68156,0.44134
Westerland (Sylt),Niebüll,21.0,-40.0,11.20276,3.0,-3.49206,0.6135,-1.34969
Niebüll,Husum,20.0,-5.0,8.63042,7.0,1.96491,0.50146,0.97959
Husum,Heide (Holst),13.0,-4.0,4.4485,7.0,1.69091,0.51895,0.81341
Heide (Holst),Itzehoe,26.0,-9.0,10.67796,5.0,1.23729,0.47085,0.65471
Itzehoe,Hamburg Dammtor,26.0,-44.0,11.98972,3.0,1.40541,0.54601,0.63804
Friedberg (Hess),Stuttgart Hbf,0.0,-56.0,12.03543,1.0,-36.0,0.90698,-3.34884
Stuttgart Hbf,Frankfurt (Main) Hbf,54.0,0.0,11.74093,1.0,34.75,0.90698,3.23256
Frankfurt (Main) Hbf,Darmstadt Hbf,16.0,-129.0,22.66489,13.0,-2.35885,0.63903,-0.85147
Darmstadt Hbf,Bensheim,21.0,-3.0,5.38126,11.0,0.81481,0.82655,0.14133
Bensheim,Heidelberg Hbf,39.0,-21.0,11.82108,7.0,2.14286,0.76471,0.5042
Rostock Hbf,Bützow,114.0,-4.0,15.43832,11.0,0.34568,0.6618,0.11691
Bützow,Ludwigslust,10.0,-125.0,20.21656,2.0,-4.73077,0.48515,-2.43564
Ludwigslust,Schwerin Hbf,147.0,-6.0,32.14062,8.0,6.38122,0.56699,2.76316
Schwerin Hbf,Hamburg Hbf,165.0,-12.0,25.95885,7.0,2.09009,0.65312,0.725
Wiesloch-Walldorf,Bruchsal,5.0,-2.0,1.91456,3.0,0.78571,0.85859,0.11111
Bruchsal,Karlsruhe-Durlach,5.0,-15.0,3.183,3.0,-2.34091,0.75281,-0.57865
Karlsruhe-Durlach,Neu-Edingen/Friedrichsfeld,0.0,-55.0,7.14125,1.0,-21.0,0.95,-1.05
Neu-Edingen/Friedrichsfeld,Karlsruhe Hbf,185.0,-2.0,42.34251,2.0,31.77419,0.66667,10.5914
Leipzig Hbf,Berlin Südkreuz,63.0,-18.0,17.67675,5.0,6.68367,0.55455,2.97727
Berlin Hbf,Hamburg Hbf,14.0,-28.0,5.70883,2.0,-2.91176,0.10526,-2.60526
Schwerin Hbf,Bützow,4.0,-17.0,4.75072,5.0,-2.97436,0.56343,-1.29851
Bützow,Rostock Hbf,18.0,-73.0,12.50872,8.0,0.29143,0.59112,0.11916
Rostock Hbf,Ribnitz-Damgarten West,14.0,-28.0,5.86182,6.0,0.24031,0.60671,0.09451
Ribnitz-Damgarten West,Velgast,11.0,-6.0,3.64131,8.0,-0.92258,0.63869,-0.33333
Velgast,Stralsund Hbf,69.0,-9.0,9.68423,7.0,-0.35965,0.69106,-0.11111
Stralsund Hbf,Bergen auf Rügen,29.0,-104.0,15.66585,9.0,-0.64804,0.65444,-0.22394
Bergen auf Rügen,Ostseebad Binz,104.0,-11.0,15.60973,9.0,-1.09375,0.69112,-0.33784
Nürnberg Hbf,Eisenach,0.0,-5.0,0.86246,1.0,-1.4,0.71698,-0.39623
Eisenach,Ansbach,12.0,0.0,1.87587,1.0,2.26087,0.56604,0.98113
Ansbach,Gotha,0.0,-13.0,2.37656,1.0,-3.29032,0.41509,-1.92453
Gotha,Crailsheim,10.0,0.0,2.4591,1.0,3.47619,0.60377,1.37736
Crailsheim,Ellwangen,17.0,-23.0,7.36018,8.0,0.43952,0.47458,0.23093
Ellwangen,Aalen Hbf,13.0,-2.0,4.24214,8.0,-0.07658,0.52966,-0.03602
Aalen Hbf,Schwäbisch Gmünd,55.0,-5.0,9.28993,8.0,0.60369,0.54025,0.27754
Schwäbisch Gmünd,Stuttgart Hbf,53.0,-7.0,15.14456,6.0,2.33333,0.20963,1.84419
Vaihingen (Enz),Mühlacker,10.0,-156.0,35.04269,8.0,-8.11078,0.29237,-5.73941
Mühlacker,Pforzheim Hbf,18.0,-2.0,2.96374,8.0,-0.28889,0.80932,-0.05508
Pforzheim Hbf,Hamburg Hbf,0.0,-26.0,4.79409,1.0,-7.7,0.81132,-1.45283
Hamburg-Altona,Karlsruhe Hbf,27.0,0.0,5.01536,1.0,4.67647,0.35849,3.0
Lüneburg,Hannover Hbf,28.0,-105.0,21.14861,6.0,-2.06356,0.33894,-1.36415
Göttingen,Frankfurt (Main) Hbf,167.0,-128.0,39.17072,2.0,7.3,0.16667,6.08333
Frankfurt (Main) Hbf,Kassel-Wilhelmshöhe,133.0,-60.0,39.0735,6.0,-2.1759,0.0753,-2.01205
Kassel-Wilhelmshöhe,Frankfurt am Main Flughafen Fernbahnhof,85.0,-169.0,34.45811,2.0,1.97297,0.075,1.825
Mannheim Hbf,Köln Hbf,0.0,-66.0,8.6243,1.0,-5.27273,0.08333,-4.83333
Köln Hbf,Frankfurt (Main) Hbf,75.0,-71.0,23.21227,2.0,10.07143,0.05882,9.47899
Koblenz Hbf,Hanau Hbf,90.0,0.0,14.45918,1.0,13.88889,0.1,12.5
Hanau Hbf,Celle,13.0,-89.0,15.05953,1.0,-13.72727,0.08333,-12.58333
Celle,Kassel-Wilhelmshöhe,173.0,0.0,25.99158,1.0,16.67391,0.23333,12.78333
Göttingen,Uelzen,273.0,-86.0,40.05964,1.0,0.06897,0.03333,0.06667
Uelzen,Heidelberg Hbf,0.0,-273.0,38.975,1.0,-15.91837,0.18333,-13.0
Heidelberg Hbf,Mainz Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Mainz Hbf,Berlin-Spandau,84.0,0.0,11.82638,1.0,61.0,0.96667,2.03333
Berlin-Spandau,Bielefeld Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Bielefeld Hbf,Berlin Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Berlin Ostbahnhof,Hannover Hbf,249.0,0.0,34.76262,1.0,17.82222,0.25,13.36667
Hannover Hbf,Lüneburg,90.0,-99.0,29.95969,4.0,-4.47799,0.23558,-3.42308
Frankfurt am Main Flughafen Fernbahnhof,Hanau Hbf,36.0,-130.0,23.32734,7.0,0.93939,0.7525,0.2325
Hanau Hbf,Fulda,45.0,-36.0,12.58777,6.0,-6.26316,0.71976,-1.75516
Freiberg (Sachs),Dresden Hbf,35.0,-6.0,5.76511,2.0,1.38333,0.4958,0.69748
Elsterwerda,Riesa,15.0,-54.0,14.22844,4.0,-3.79769,0.27311,-2.7605
Riesa,Doberlug-Kirchhain,33.0,0.0,7.06573,1.0,6.64286,0.52542,3.15254
Warnemünde,Chemnitz Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Leipzig Hbf,Lutherstadt Wittenberg Hauptbahnhof,67.0,-38.0,19.79565,15.0,0.43726,0.35062,0.28395
Lutherstadt Wittenberg Hauptbahnhof,Berlin Südkreuz,86.0,-31.0,30.06366,15.0,3.29863,0.27654,2.38642
Ludwigslust,Hamburg Hbf,155.0,-35.0,42.32672,11.0,5.70343,0.29897,3.99828
Berlin Südkreuz,Halle (Saale) Hbf,132.0,-55.0,37.0964,18.0,-0.29384,0.32516,-0.19829
Halle (Saale) Hbf,Erfurt Hbf,137.0,-23.0,47.58965,30.0,2.11792,0.3375,1.40312
Erfurt Hbf,Nürnberg Hbf,149.0,-5.0,47.89787,11.0,6.53846,0.1426,5.60606
Nürnberg Hbf,München Hbf,64.0,-94.0,43.40849,38.0,0.97948,0.20793,0.77581
Berlin Südkreuz,Bitterfeld,52.0,-9.0,16.50013,6.0,1.4106,0.16111,1.18333
Bitterfeld,Leipzig Hbf,3.0,-108.0,24.85586,4.0,-8.32955,0.11558,-7.36683
Erfurt Hbf,Bamberg,138.0,-67.0,32.50446,14.0,-2.1113,0.25587,-1.57108
Bamberg,Nürnberg Hbf,112.0,-4.0,19.83302,7.0,1.86486,0.29187,1.32057
Nürnberg Hbf,Donauwörth,96.0,-106.0,27.15251,6.0,-0.69039,0.20621,-0.54802
Donauwörth,Augsburg Hbf,40.0,-5.0,7.77532,6.0,0.89474,0.30226,0.62429
Doberlug-Kirchhain,Schwerin Hbf,8.0,-16.0,3.00657,1.0,-1.35,0.64912,-0.47368
Schwerin Hbf,Berlin Südkreuz,19.0,-6.0,4.12204,1.0,3.82051,0.31579,2.61404
Waren (Müritz),Rostock Hbf,258.0,-8.0,38.34578,4.0,3.05128,0.33333,2.03419
Koblenz Hbf,Andernach,15.0,-28.0,4.7477,3.0,0.12371,0.44886,0.06818
Bonn Hbf,Köln Messe/Deutz,160.0,-161.0,55.83158,7.0,-6.85957,0.4351,-3.875
Solingen Hbf,Wuppertal Hbf,50.0,-13.0,11.41332,8.0,-0.14559,0.37857,-0.09048
Hamm (Westf) Hbf,Gütersloh Hbf,36.0,-51.0,16.50872,11.0,0.81818,0.28261,0.58696
Gütersloh Hbf,Bielefeld Hbf,99.0,-3.0,16.98673,11.0,0.53608,0.35117,0.34783
Bielefeld Hbf,Herford,10.0,-7.0,4.69498,11.0,-0.79744,0.34783,-0.52007
Herford,Bad Oeynhausen,74.0,-3.0,13.81053,7.0,0.57511,0.35278,0.37222
Bad Oeynhausen,Minden (Westf),7.0,-3.0,2.82646,7.0,0.15957,0.47778,0.08333
Braunschweig Hbf,Magdeburg Hbf,120.0,-7.0,24.20596,8.0,2.88321,0.28084,2.07349
Leipzig Hbf,München Hbf,0.0,-125.0,19.35197,1.0,-11.25641,0.31579,-7.70175
München-Pasing,Stuttgart Hbf,0.0,0.0,0.0,1.0,,1.0,0.0
Stuttgart Hbf,Saarbrücken Hbf,13.0,0.0,1.72462,1.0,7.0,0.96491,0.24561
Saarbrücken Hbf,Riesa,129.0,0.0,21.02877,1.0,11.75,0.22807,9.07018
Köln Messe/Deutz,Esslingen (Neckar),111.0,-67.0,19.32542,2.0,-4.16514,0.07627,-3.84746
Esslingen (Neckar),Siegburg/Bonn,66.0,-111.0,19.62341,2.0,5.47191,0.24576,4.12712
Frankfurt am Main Flughafen Fernbahnhof,Heidelberg Hbf,0.0,-49.0,8.26929,1.0,-5.9,0.31034,-4.06897
Konstanz,Radolfzell,13.0,-6.0,2.72682,3.0,-0.16,0.85465,-0.02326
Radolfzell,Singen (Hohentwiel),10.0,-2.0,1.75574,3.0,0.2963,0.84302,0.04651
Horb,Bondorf (b Herrenberg),14.0,-7.0,3.80848,2.0,-1.22059,0.4188,-0.7094
Frankfurt am Main Flughafen Fernbahnhof,Mainz Hbf,9.0,-10.0,7.20658,10.0,-1.62623,0.41794,-0.94656
Mainz Hbf,Boppard Hbf,19.0,-2.0,3.30211,1.0,2.42424,0.45,1.33333
Boppard Hbf,Koblenz Hbf,25.0,-3.0,3.55807,1.0,-0.84848,0.45,-0.46667
Koblenz Hbf,Bonn-Beuel,27.0,-121.0,35.77832,8.0,-10.88235,0.34928,-7.08134
Schwerin Hbf,Büchen,5.0,-6.0,2.25366,1.0,-2.68421,0.45714,-1.45714
Saarbrücken Hbf,Homburg (Saar) Hbf,5.0,-3.0,1.32708,2.0,-0.7619,0.62832,-0.28319
Homburg (Saar) Hbf,Kaiserslautern Hbf,3.0,-4.0,1.50775,2.0,-0.3913,0.59292,-0.15929
Kaiserslautern Hbf,Neustadt (Weinstr) Hbf,6.0,-3.0,1.48802,2.0,-0.87805,0.63717,-0.31858
Neustadt (Weinstr) Hbf,Mannheim Hbf,11.0,-3.0,3.23153,2.0,2.18462,0.42478,1.25664
Mannheim Hbf,Bensheim,7.0,-135.0,25.38212,3.0,-8.68085,0.64122,-3.1145
Berlin Gesundbrunnen,Eberswalde Hbf,6.0,-12.0,2.29211,3.0,-2.14286,0.91765,-0.17647
Eberswalde Hbf,Angermünde,8.0,-3.0,2.21019,6.0,-1.22368,0.56322,-0.53448
Angermünde,Prenzlau,9.0,-3.0,2.44819,6.0,0.31818,0.68391,0.10057
Prenzlau,Pasewalk,4.0,-3.0,1.99569,7.0,-0.85315,0.64951,-0.29902
Pasewalk,Anklam,25.0,-4.0,3.93486,6.0,-0.19298,0.67241,-0.06322
Anklam,Züssow,9.0,-2.0,2.26223,7.0,0.61194,0.67157,0.20098
Züssow,Greifswald,4.0,-2.0,1.65567,7.0,-1.08152,0.54902,-0.48775
Greifswald,Stralsund Hbf,8.0,-3.0,2.97902,8.0,-0.15,0.66587,-0.05012
Berlin Hbf,Lutherstadt Wittenberg Hauptbahnhof,0.0,-50.0,16.59025,2.0,-11.18919,0.06723,-10.43697
Lutherstadt Wittenberg Hauptbahnhof,Berlin-Spandau,39.0,-66.0,12.2821,3.0,3.47059,0.90503,0.32961
Kassel-Wilhelmshöhe,Berlin Südkreuz,64.0,-82.0,31.6437,5.0,7.08718,0.34122,4.66892
Erfurt Hbf,Fulda,62.0,-43.0,22.6167,5.0,1.32353,0.19865,1.06061
Fulda,Frankfurt (Main) Hbf,180.0,-57.0,56.51888,17.0,1.90529,0.26056,1.40886
Hamburg Hbf,Berlin-Spandau,136.0,-50.0,36.94977,11.0,2.10714,0.31818,1.43669
Berlin-Spandau,Berlin Gesundbrunnen,23.0,-137.0,33.82709,4.0,-12.32773,0.48485,-6.35065
Bamberg,Erlangen,30.0,-140.0,20.43713,13.0,0.04608,0.43119,0.02621
Kassel-Wilhelmshöhe,Würzburg Hbf,125.0,-62.0,30.39724,1.0,22.30909,0.0678,20.79661
Würzburg Hbf,Ingolstadt Hbf,124.0,-99.0,27.53927,2.0,-5.01852,0.06897,-4.67241
Freiburg (Breisgau) Hbf,Offenburg,1.0,-25.0,4.55799,2.0,-3.11765,0.81111,-0.58889
Limburg Süd,Wiesbaden Hbf,9.0,-12.0,2.87978,2.0,-0.69355,0.43636,-0.39091
Wiesbaden Hbf,Mainz Hbf,16.0,-14.0,4.96919,6.0,0.95455,0.54949,0.43003
