name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Heide (Holst),Schleswig-Holstein,54.193563,9.101029,Knotenbahnhof,Regionaler Knoten,5.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,0.46667,466,0.33901,0.70601,705
Heidelberg Hbf,Baden-Württemberg,49.403567,8.675442,Knotenbahnhof,Großstadtknoten,9.0,Mannheim,Mannheim Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.09461,1239,0.54913,0.20985,2748
Helmstedt,Niedersachsen,52.222086,11.010553,Zubringerbahnhof,Regionaler Zubringer,4.0,Braunschweig / Göttingen,Hannover Hbf,regionalverband-grossraum-braunschweig,RVB,RB Nord,0.16543,721,0.32993,0.24688,1076
Herford,Nordrhein-Westfalen,52.119609,8.663643,Knotenbahnhof,Regionaler Knoten,7.0,Bielefeld,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.14627,1028,0.25561,0.1965,1381
Tuttlingen,Baden-Württemberg,47.980579,8.798542,Knotenbahnhof,Regionaler Knoten,5.0,Freiburg,Freiburg (Breisgau) Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.32102,195,0.44602,0.57949,352
Uelzen,Niedersachsen,52.969781,10.553053,Knotenbahnhof,Regionaler Knoten,7.0,Braunschweig / Göttingen,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.07304,1124,0.48369,0.14146,2177
Hildesheim Hbf,Niedersachsen,52.160626,9.953497,Knotenbahnhof,Großstadtknoten,9.0,Braunschweig / Göttingen,Hannover Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.35962,832,0.53468,0.77284,1788
Ulm Hbf,Baden-Württemberg,48.399437,9.982227,Knotenbahnhof,Großstadtknoten,12.0,Ulm,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,0.47604,3299,0.18078,0.58109,4027
Unna,Nordrhein-Westfalen,51.538982,7.692858,Knotenbahnhof,Regionaler Knoten,8.0,Dortmund,Dortmund Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.02778,150,0.47917,0.05333,288
Viersen,Nordrhein-Westfalen,51.254947,6.403896,Knotenbahnhof,Regionaler Knoten,5.0,Düsseldorf,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,0.0119,86,0.4881,0.02326,168
