date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-01,-1.0,32.0,-1.0,33.0,33.0,33.0,34.0,34.0,34.0,35.0,33.0,32.0,31.0,31.0,31.0,32.0,36.0,36.0,35.0,35.0,35.0,38.0,42.0,41.0,39.0,38.0,37.0,-1.0
2024-04-30,-1.0,2.0,1.0,2.0,10.0,10.0,11.0,11.0,10.0,11.0,12.0,11.0,17.0,18.0,15.0,16.0,20.0,20.0,22.0,25.0,24.0,24.0,18.0,18.0,19.0,18.0,18.0,-1.0
2024-04-29,-1.0,2.0,2.0,2.0,12.0,11.0,12.0,11.0,10.0,10.0,12.0,16.0,30.0,30.0,45.0,44.0,25.0,25.0,39.0,40.0,38.0,38.0,62.0,60.0,64.0,62.0,31.0,-1.0
2024-04-28,-1.0,1.0,0.0,2.0,5.0,5.0,8.0,8.0,8.0,9.0,6.0,8.0,13.0,14.0,17.0,17.0,17.0,17.0,16.0,16.0,13.0,14.0,6.0,7.0,4.0,4.0,3.0,-1.0
2024-04-27,-1.0,1.0,3.0,5.0,5.0,4.0,6.0,6.0,8.0,9.0,9.0,8.0,22.0,22.0,34.0,32.0,28.0,27.0,28.0,27.0,26.0,26.0,22.0,22.0,37.0,36.0,26.0,-1.0
2024-04-26,-1.0,4.0,4.0,6.0,10.0,19.0,19.0,20.0,20.0,21.0,20.0,20.0,17.0,16.0,6.0,7.0,14.0,15.0,13.0,12.0,11.0,12.0,1.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-25,-1.0,3.0,-1.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,4.0,14.0,13.0,12.0,12.0,18.0,16.0,12.0,12.0,6.0,5.0,2.0,1.0,3.0,-1.0
2024-04-24,-1.0,9.0,9.0,11.0,12.0,13.0,14.0,16.0,19.0,20.0,20.0,19.0,19.0,19.0,17.0,18.0,18.0,18.0,17.0,19.0,16.0,16.0,8.0,8.0,6.0,4.0,9.0,-1.0
2024-04-23,-1.0,8.0,7.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,9.0,7.0,6.0,6.0,16.0,16.0,2.0,1.0,18.0,17.0,1.0,1.0,26.0,26.0,23.0,-1.0,26.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,-1.0,-1.0,8.0,7.0,9.0,11.0,22.0,22.0,10.0,10.0,26.0,25.0,7.0,6.0,17.0,17.0,17.0,-1.0,11.0,-1.0
2024-04-21,-1.0,5.0,4.0,8.0,9.0,10.0,12.0,12.0,15.0,16.0,16.0,19.0,17.0,18.0,18.0,19.0,17.0,18.0,8.0,7.0,20.0,20.0,0.0,0.0,0.0,-1.0,9.0,-1.0
2024-04-20,-1.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,11.0,11.0,10.0,9.0,14.0,14.0,11.0,10.0,14.0,15.0,2.0,3.0,3.0,-1.0,11.0,-1.0
2024-04-19,-1.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,19.0,17.0,1.0,1.0,12.0,11.0,12.0,-1.0,9.0,-1.0
2024-04-18,-1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,13.0,12.0,1.0,5.0,9.0,8.0,3.0,3.0,0.0,0.0,2.0,-1.0,4.0,-1.0
2024-04-17,-1.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,13.0,16.0,22.0,22.0,3.0,3.0,20.0,21.0,4.0,3.0,22.0,22.0,60.0,58.0,0.0,-1.0,59.0,-1.0
2024-04-16,-1.0,1.0,1.0,6.0,8.0,9.0,31.0,32.0,35.0,40.0,49.0,47.0,46.0,48.0,4.0,3.0,49.0,49.0,3.0,2.0,53.0,53.0,0.0,0.0,4.0,-1.0,161.0,-1.0
2024-04-15,-1.0,2.0,-1.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,5.0,10.0,9.0,10.0,10.0,8.0,9.0,6.0,5.0,11.0,-1.0,6.0,-1.0
2024-04-14,-1.0,3.0,-1.0,4.0,3.0,4.0,3.0,3.0,4.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,5.0,4.0,1.0,-1.0,0.0,-1.0
2024-04-13,-1.0,2.0,-1.0,3.0,7.0,10.0,10.0,9.0,8.0,8.0,11.0,11.0,12.0,12.0,4.0,3.0,9.0,8.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-12,-1.0,3.0,3.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,40.0,40.0,140.0,139.0,3.0,3.0,136.0,135.0,2.0,1.0,132.0,132.0,125.0,124.0,15.0,-1.0,114.0,-1.0
2024-04-11,-1.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,2.0,1.0,1.0,13.0,12.0,5.0,5.0,14.0,12.0,8.0,8.0,4.0,3.0,7.0,-1.0,0.0,-1.0
2024-04-10,-1.0,7.0,7.0,9.0,8.0,8.0,7.0,6.0,5.0,6.0,4.0,3.0,0.0,2.0,5.0,4.0,2.0,2.0,8.0,6.0,1.0,1.0,0.0,0.0,2.0,-1.0,1.0,-1.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,54.0,53.0,48.0,46.0,0.0,0.0
2024-04-08,-1.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,8.0,28.0,27.0,5.0,4.0,24.0,22.0,-1.0,-1.0,57.0,56.0,44.0,43.0,40.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,7.0,7.0,15.0,14.0,12.0,13.0,12.0,12.0,9.0,26.0,48.0,49.0,36.0,37.0,46.0,47.0,44.0,-1.0,25.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,21.0,20.0,2.0,3.0,16.0,17.0,19.0,-1.0,17.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,5.0,5.0,38.0,37.0,1.0,1.0,29.0,27.0,29.0,-1.0,27.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,4.0,3.0,3.0,3.0,3.0,40.0,-1.0,-1.0,73.0,74.0,79.0,80.0,78.0,80.0,33.0,32.0,41.0,-1.0,65.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,14.0,14.0,13.0,14.0,13.0,14.0,4.0,3.0,20.0,20.0,2.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,-1.0
