date,Leipzig_Hbf.in,Leipzig_Hbf.out,Weißenfels.in,Weißenfels.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Jena_Paradies.in,Jena_Paradies.out,Jena-Göschwitz.in,Jena-Göschwitz.out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Saalfeld(Saale).in,Saalfeld(Saale).out,Ludwigsstadt.in,Ludwigsstadt.out,Kronach.in,Kronach.out,Lichtenfels.in,Lichtenfels.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ansbach.in,Ansbach.out,Crailsheim.in,Crailsheim.out,Ellwangen.in,Ellwangen.out,Aalen_Hbf.in,Aalen_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Schorndorf.in,Schorndorf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Mühlacker.in,Mühlacker.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-06,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,8.0,8.0,15.0,17.0,15.0,19.0,17.0,17.0,17.0,23.0,23.0,23.0,23.0,23.0,21.0,20.0,26.0,27.0,27.0,26.0,26.0,24.0,24.0,23.0,22.0,22.0,25.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,6.0,6.0,8.0,16.0,15.0,16.0,16.0,16.0,17.0,17.0,16.0,14.0,13.0,15.0,17.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,14.0,11.0,-1.0
2024-05-04,-1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,10.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,0.0,3.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,37.0,35.0,35.0,33.0,32.0,31.0,31.0,39.0,40.0,40.0,40.0,37.0,36.0,37.0,37.0,38.0,37.0,37.0,36.0,35.0,35.0,36.0,35.0,33.0,-1.0
2024-04-29,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0
2024-04-28,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0
2024-04-26,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,-1.0
2024-04-25,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,6.0,12.0,12.0,11.0,0.0,0.0,0.0,0.0,10.0,9.0,5.0,-1.0
2024-04-24,-1.0,1.0,3.0,2.0,1.0,38.0,38.0,37.0,37.0,37.0,36.0,37.0,35.0,34.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.0,34.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,2.0,2.0,3.0,3.0,6.0,12.0,11.0,12.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0
