date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-15,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,13.0,13.0,13.0,14.0,18.0,17.0,0.0,0.0,19.0,18.0,21.0,-1.0
2024-04-14,-1.0,10.0,-1.0,8.0,7.0,5.0,5.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,-1.0
2024-04-13,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,0.0,0.0,9.0,8.0,9.0,-1.0
2024-04-12,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,4.0,5.0,5.0,-1.0
2024-04-11,-1.0,1.0,-1.0,2.0,0.0,0.0,2.0,2.0,0.0,22.0,17.0,18.0,12.0,12.0,16.0,16.0,21.0,20.0,24.0,24.0,0.0,0.0,24.0,24.0,25.0,-1.0
2024-04-10,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,5.0,2.0,5.0,10.0,13.0,19.0,20.0,30.0,25.0,27.0,26.0,0.0,0.0,28.0,28.0,36.0,-1.0
2024-04-09,-1.0,4.0,5.0,5.0,0.0,0.0,2.0,4.0,8.0,8.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-08,-1.0,8.0,8.0,7.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,7.0,12.0,-1.0,-1.0,37.0,38.0,-1.0,-1.0,39.0,-1.0
2024-04-06,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,3.0,3.0,1.0,-1.0,6.0,6.0,0.0,0.0
2024-04-05,-1.0,6.0,6.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,3.0,3.0,14.0,-1.0,11.0,10.0,0.0,0.0
2024-04-04,-1.0,2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,2.0,13.0,11.0,18.0,18.0,17.0,-1.0,19.0,19.0,0.0,0.0
2024-04-03,-1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,3.0,3.0,9.0,10.0,10.0,9.0,15.0,-1.0,16.0,17.0,0.0,0.0
2024-04-02,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,33.0,0.0,1.0,4.0,4.0,4.0,80.0,76.0,76.0,84.0,-1.0,82.0,82.0,0.0,0.0
2024-04-01,-1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,10.0,6.0,3.0,3.0,4.0,-1.0,3.0,3.0,0.0,0.0
