date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-02,-1.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,9.0,8.0,12.0,12.0,16.0,17.0,18.0,18.0,0.0,0.0,17.0,15.0,17.0,19.0,19.0,14.0,17.0,16.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,-1.0
2024-05-01,-1.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,5.0,6.0,5.0,5.0,4.0,3.0,8.0,8.0,13.0,13.0,18.0,18.0,0.0,0.0,17.0,13.0,27.0,29.0,15.0,10.0,9.0,11.0,4.0,3.0,8.0,8.0,11.0,11.0,13.0,-1.0
2024-04-30,-1.0,1.0,4.0,2.0,2.0,2.0,5.0,10.0,9.0,9.0,8.0,8.0,39.0,46.0,53.0,53.0,55.0,56.0,56.0,56.0,0.0,0.0,57.0,55.0,55.0,57.0,61.0,56.0,54.0,53.0,41.0,41.0,42.0,42.0,39.0,39.0,44.0,-1.0
2024-04-29,-1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,7.0,8.0,19.0,20.0,20.0,21.0,0.0,0.0,24.0,23.0,15.0,16.0,16.0,12.0,9.0,8.0,0.0,1.0,1.0,2.0,9.0,9.0,8.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,7.0,6.0,6.0,7.0,0.0,0.0,4.0,3.0,2.0,1.0,5.0,2.0,14.0,15.0,17.0,16.0,13.0,14.0,15.0,15.0,14.0,-1.0
2024-04-27,-1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,8.0,9.0,9.0,9.0,0.0,0.0,7.0,6.0,2.0,3.0,11.0,6.0,9.0,8.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,13.0,12.0,26.0,26.0,49.0,49.0,53.0,54.0,0.0,0.0,52.0,47.0,70.0,71.0,79.0,73.0,76.0,80.0,76.0,77.0,72.0,74.0,71.0,71.0,69.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,14.0,16.0,17.0,0.0,0.0,15.0,15.0,13.0,14.0,13.0,8.0,9.0,11.0,5.0,6.0,1.0,2.0,0.0,-1.0,1.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,2.0,4.0,6.0,4.0,12.0,13.0,13.0,13.0,12.0,10.0,14.0,14.0,20.0,20.0,21.0,21.0,0.0,0.0,18.0,17.0,80.0,81.0,122.0,117.0,118.0,117.0,105.0,105.0,104.0,107.0,104.0,104.0,106.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,7.0,6.0,7.0,8.0,10.0,10.0,20.0,21.0,0.0,0.0,18.0,16.0,17.0,19.0,21.0,16.0,13.0,12.0,2.0,2.0,0.0,5.0,3.0,7.0,2.0,-1.0
2024-04-20,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,0.0,0.0,4.0,8.0,16.0,17.0,24.0,20.0,20.0,20.0,9.0,11.0,9.0,9.0,16.0,17.0,17.0,-1.0
2024-04-19,-1.0,0.0,4.0,4.0,12.0,15.0,15.0,14.0,10.0,11.0,9.0,12.0,25.0,23.0,25.0,25.0,27.0,27.0,26.0,27.0,0.0,0.0,26.0,25.0,19.0,20.0,34.0,28.0,33.0,32.0,16.0,16.0,17.0,17.0,29.0,-1.0,0.0,0.0
2024-04-18,-1.0,1.0,0.0,0.0,1.0,2.0,7.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,8.0,9.0,9.0,9.0,0.0,0.0,6.0,4.0,10.0,11.0,18.0,13.0,13.0,16.0,1.0,2.0,0.0,0.0,2.0,-1.0,0.0,0.0
2024-04-17,-1.0,22.0,22.0,20.0,41.0,41.0,39.0,37.0,40.0,39.0,37.0,37.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-16,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,18.0,18.0,18.0,18.0,18.0,17.0,19.0,21.0,22.0,22.0,25.0,26.0,0.0,0.0,27.0,23.0,17.0,18.0,62.0,57.0,55.0,54.0,41.0,43.0,41.0,43.0,51.0,-1.0,0.0,0.0
2024-04-15,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,0.0,0.0,6.0,9.0,16.0,19.0,25.0,24.0,26.0,25.0,21.0,21.0,24.0,24.0,42.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,4.0,12.0,11.0,8.0,10.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,0.0,0.0,6.0,2.0,2.0,1.0,3.0,5.0,4.0,3.0,1.0,2.0,13.0,14.0,18.0,-1.0,0.0,0.0
2024-04-13,-1.0,1.0,0.0,0.0,3.0,3.0,6.0,7.0,5.0,6.0,6.0,7.0,10.0,10.0,12.0,10.0,18.0,19.0,18.0,19.0,0.0,0.0,23.0,20.0,16.0,18.0,22.0,18.0,16.0,18.0,4.0,5.0,1.0,5.0,7.0,7.0,8.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,7.0,7.0,9.0,9.0,9.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,0.0,0.0,6.0,7.0,3.0,6.0,9.0,4.0,9.0,8.0,5.0,4.0,12.0,12.0,11.0,12.0,11.0,-1.0
2024-04-08,-1.0,0.0,-1.0,1.0,2.0,2.0,8.0,7.0,8.0,8.0,7.0,10.0,18.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,40.0,53.0,52.0,47.0,48.0,57.0,51.0,55.0,57.0,46.0,46.0,46.0,47.0,45.0,44.0,45.0,-1.0
2024-04-07,-1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,6.0,7.0,7.0,8.0,17.0,12.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,7.0,7.0,7.0,8.0,0.0,0.0,8.0,5.0,3.0,5.0,32.0,28.0,26.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
