date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Bitterfeld.in,Bitterfeld.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Bamberg.in,Bamberg.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-20,-1.0,1.0,0.0,-1.0,0.0,0.0,14.0,14.0,14.0,7.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,-1.0
2024-05-19,-1.0,0.0,7.0,7.0,5.0,5.0,59.0,59.0,59.0,50.0,49.0,48.0,44.0,45.0,0.0,0.0,43.0,44.0,39.0,33.0,29.0,28.0,28.0,26.0,21.0,22.0,21.0,21.0,17.0,17.0,15.0,-1.0
2024-05-17,-1.0,3.0,0.0,1.0,0.0,11.0,11.0,12.0,13.0,8.0,6.0,7.0,12.0,12.0,0.0,0.0,10.0,11.0,7.0,3.0,0.0,2.0,5.0,6.0,5.0,3.0,8.0,11.0,8.0,8.0,7.0,-1.0
2024-05-16,-1.0,3.0,0.0,0.0,0.0,1.0,36.0,36.0,34.0,30.0,29.0,30.0,38.0,39.0,0.0,0.0,38.0,38.0,35.0,35.0,36.0,36.0,41.0,41.0,39.0,38.0,38.0,38.0,34.0,34.0,33.0,-1.0
2024-05-15,-1.0,0.0,0.0,-1.0,0.0,0.0,14.0,14.0,17.0,10.0,11.0,11.0,45.0,45.0,0.0,0.0,45.0,45.0,41.0,35.0,32.0,33.0,35.0,34.0,33.0,33.0,36.0,39.0,36.0,36.0,34.0,-1.0
2024-05-14,-1.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,-1.0
2024-05-13,-1.0,1.0,0.0,-1.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,-1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,9.0,20.0,0.0,0.0,18.0,18.0,18.0,13.0,17.0,36.0,50.0,52.0,52.0,52.0,55.0,57.0,54.0,54.0,53.0,-1.0
2024-05-11,-1.0,2.0,0.0,-1.0,0.0,0.0,6.0,6.0,6.0,1.0,2.0,3.0,8.0,9.0,0.0,0.0,7.0,7.0,3.0,2.0,1.0,1.0,8.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,-1.0
2024-05-10,-1.0,12.0,9.0,8.0,8.0,20.0,28.0,29.0,29.0,21.0,20.0,20.0,22.0,24.0,0.0,0.0,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,5.0,5.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,10.0,-1.0
2024-05-08,-1.0,1.0,0.0,-1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,-1.0
2024-05-07,-1.0,10.0,12.0,12.0,14.0,13.0,6.0,5.0,5.0,2.0,0.0,0.0,6.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,-1.0
2024-05-06,-1.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,2.0,1.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,3.0,2.0,2.0,4.0,0.0,0.0,1.0,-1.0
2024-05-05,-1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,8.0,2.0,2.0,1.0,10.0,8.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,-1.0
2024-05-04,-1.0,0.0,3.0,2.0,2.0,2.0,8.0,8.0,15.0,6.0,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,16.0,9.0,11.0,11.0,12.0,9.0,9.0,8.0,9.0,7.0,7.0,4.0,-1.0
2024-05-02,-1.0,1.0,0.0,-1.0,0.0,0.0,7.0,7.0,13.0,6.0,6.0,7.0,5.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,4.0,3.0,3.0,7.0,7.0,6.0,7.0,3.0,3.0,0.0,-1.0
2024-05-01,-1.0,1.0,-1.0,1.0,-1.0,4.0,1.0,3.0,9.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,-1.0,-1.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,19.0,21.0,20.0,12.0,12.0,13.0,14.0,15.0,0.0,0.0,13.0,14.0,11.0,6.0,3.0,3.0,1.0,2.0,1.0,5.0,10.0,11.0,8.0,8.0,7.0,-1.0
2024-04-29,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,5.0,4.0,3.0,3.0,13.0,14.0,0.0,0.0,15.0,15.0,11.0,7.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,6.0,7.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,3.0,11.0,12.0,12.0,14.0,8.0,9.0,7.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-04-26,-1.0,1.0,5.0,6.0,5.0,5.0,11.0,11.0,13.0,5.0,6.0,7.0,14.0,14.0,0.0,0.0,22.0,22.0,18.0,14.0,8.0,7.0,7.0,10.0,10.0,10.0,9.0,10.0,7.0,7.0,5.0,-1.0
2024-04-25,-1.0,1.0,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-04-24,-1.0,3.0,-1.0,0.0,2.0,8.0,6.0,5.0,10.0,5.0,3.0,4.0,5.0,6.0,0.0,0.0,6.0,7.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-04-23,-1.0,25.0,24.0,24.0,28.0,27.0,29.0,29.0,29.0,22.0,21.0,22.0,19.0,21.0,0.0,0.0,27.0,28.0,24.0,17.0,15.0,16.0,15.0,13.0,14.0,14.0,16.0,18.0,20.0,18.0,19.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,6.0,0.0,0.0,7.0,7.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,3.0,-1.0
2024-04-21,-1.0,0.0,0.0,-1.0,0.0,1.0,117.0,117.0,116.0,108.0,110.0,111.0,106.0,107.0,0.0,0.0,106.0,105.0,106.0,113.0,107.0,108.0,107.0,106.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,-1.0
2024-04-20,-1.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,4.0,6.0,2.0,0.0,1.0,1.0,1.0,7.0,7.0,5.0,8.0,15.0,14.0,16.0,-1.0
2024-04-19,-1.0,3.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,1.0,1.0,3.0,20.0,21.0,0.0,0.0,21.0,22.0,18.0,14.0,9.0,10.0,7.0,5.0,5.0,5.0,7.0,8.0,17.0,18.0,16.0,-1.0
2024-04-18,-1.0,0.0,6.0,7.0,6.0,7.0,6.0,6.0,4.0,2.0,5.0,4.0,5.0,6.0,0.0,0.0,7.0,6.0,2.0,2.0,2.0,3.0,3.0,13.0,18.0,18.0,19.0,19.0,27.0,28.0,28.0,-1.0
2024-04-17,-1.0,1.0,0.0,-1.0,0.0,1.0,10.0,10.0,10.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,6.0,5.0,7.0,20.0,20.0,24.0,16.0,15.0,15.0,10.0,11.0,0.0,0.0,13.0,14.0,9.0,4.0,1.0,1.0,8.0,8.0,8.0,7.0,8.0,10.0,15.0,15.0,13.0,-1.0
2024-04-14,-1.0,1.0,0.0,-1.0,0.0,0.0,4.0,6.0,5.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,5.0,6.0,5.0,3.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,7.0,7.0,5.0,-1.0
2024-04-13,-1.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,6.0,6.0,6.0,-1.0
2024-04-12,-1.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,9.0,8.0,8.0,14.0,19.0,20.0,0.0,0.0,19.0,20.0,18.0,14.0,14.0,19.0,29.0,29.0,29.0,28.0,30.0,34.0,43.0,43.0,42.0,-1.0
2024-04-11,-1.0,0.0,0.0,-1.0,0.0,0.0,4.0,4.0,8.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,21.0,22.0,23.0,21.0,20.0,19.0,-1.0
2024-04-10,-1.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,5.0,7.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,10.0,11.0,0.0,0.0,9.0,9.0,9.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,-1.0
2024-04-08,-1.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,-1.0
2024-04-07,-1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,5.0,5.0,14.0,15.0,0.0,0.0,13.0,13.0,8.0,3.0,9.0,9.0,7.0,6.0,3.0,3.0,2.0,4.0,0.0,0.0,1.0,-1.0
2024-04-06,-1.0,14.0,11.0,11.0,10.0,10.0,32.0,32.0,32.0,23.0,23.0,23.0,18.0,18.0,0.0,0.0,16.0,31.0,38.0,35.0,33.0,34.0,32.0,32.0,30.0,29.0,27.0,27.0,25.0,25.0,23.0,-1.0
2024-04-05,-1.0,1.0,3.0,4.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0,8.0,9.0,0.0,0.0,8.0,9.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,-1.0
2024-04-04,-1.0,1.0,0.0,-1.0,0.0,2.0,8.0,7.0,8.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,-1.0,0.0,0.0,4.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,5.0,5.0,3.0,10.0,8.0,8.0,7.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,6.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
