date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-08,-1.0,4.0,4.0,4.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,10.0,6.0,5.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,8.0,7.0,6.0,4.0,3.0,6.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,14.0,12.0,12.0,12.0,8.0,7.0,6.0,6.0,17.0,12.0,10.0,10.0,8.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-06,-1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0,1.0,8.0,11.0,11.0,14.0,9.0,19.0,18.0,17.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,17.0,18.0,15.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,-1.0
2024-05-05,-1.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-04,-1.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,6.0,6.0,10.0,11.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,26.0,26.0,35.0,36.0,32.0,30.0,30.0,30.0,31.0,28.0,42.0,41.0,49.0,48.0,47.0,47.0,46.0,46.0,44.0,44.0,44.0,44.0,41.0,27.0,35.0,34.0,49.0,45.0,-1.0,-1.0,-1.0,-1.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,18.0,18.0,36.0,37.0,38.0,38.0,42.0,41.0,41.0,41.0,38.0,22.0,23.0,24.0,42.0,39.0,45.0,43.0,44.0,42.0,43.0,35.0,38.0,38.0,37.0,37.0,35.0,-1.0
2024-05-02,-1.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,6.0,7.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,9.0,8.0,14.0,15.0,20.0,18.0,20.0,20.0,21.0,20.0,18.0,92.0,97.0,98.0,97.0,97.0,97.0,98.0,94.0,79.0,78.0,78.0,77.0,74.0,81.0,79.0,79.0,73.0,71.0,67.0,69.0,69.0,69.0,69.0,69.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,5.0,5.0,7.0,5.0,5.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,-1.0
2024-04-29,-1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,5.0,1.0,1.0,18.0,16.0,-1.0,-1.0,18.0,20.0,0.0,0.0,-1.0,-1.0,18.0,17.0,16.0,15.0,21.0,21.0,27.0,24.0,27.0,27.0,27.0,27.0,25.0,26.0,24.0,25.0,23.0,23.0,23.0,24.0,26.0,11.0,8.0,7.0,7.0,6.0,12.0,10.0,9.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,-1.0
2024-04-28,-1.0,10.0,10.0,13.0,13.0,14.0,11.0,11.0,12.0,13.0,13.0,13.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,25.0,25.0,27.0,27.0,25.0,24.0,23.0,22.0,24.0,20.0,23.0,22.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,-1.0
