date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-22,-1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,10.0,8.0,8.0,8.0,8.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,3.0,2.0,3.0,6.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,9.0,10.0,10.0,7.0,17.0,16.0,15.0,16.0,10.0,12.0,9.0,9.0,12.0,12.0,18.0,18.0,25.0,-1.0
2024-04-20,-1.0,2.0,1.0,1.0,4.0,4.0,9.0,9.0,3.0,3.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,3.0,4.0,4.0,2.0,26.0,27.0,26.0,24.0,25.0,23.0,23.0,19.0,19.0,20.0,35.0,41.0,44.0,42.0,-1.0
2024-04-19,-1.0,1.0,0.0,1.0,11.0,12.0,6.0,7.0,15.0,14.0,14.0,9.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,20.0,21.0,0.0,0.0,19.0,19.0,22.0,22.0,26.0,26.0,25.0,26.0,23.0,24.0,24.0,26.0,23.0,23.0,24.0,24.0,24.0,23.0,22.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,6.0,1.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,29.0,30.0,0.0,0.0,27.0,28.0,30.0,32.0,33.0,33.0,37.0,38.0,35.0,36.0,29.0,31.0,26.0,26.0,28.0,28.0,33.0,32.0,31.0,-1.0
2024-04-17,-1.0,2.0,1.0,2.0,2.0,2.0,11.0,11.0,1.0,1.0,5.0,3.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,11.0,0.0,0.0,9.0,22.0,30.0,31.0,30.0,30.0,57.0,56.0,54.0,55.0,51.0,52.0,47.0,47.0,49.0,49.0,50.0,49.0,51.0,-1.0
2024-04-16,-1.0,25.0,24.0,24.0,29.0,30.0,33.0,33.0,13.0,18.0,16.0,10.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,26.0,26.0,0.0,0.0,24.0,23.0,23.0,23.0,27.0,27.0,28.0,26.0,23.0,25.0,21.0,25.0,22.0,22.0,28.0,28.0,30.0,30.0,29.0,-1.0
2024-04-15,-1.0,7.0,5.0,6.0,8.0,9.0,11.0,12.0,11.0,10.0,9.0,5.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,27.0,27.0,0.0,0.0,24.0,23.0,25.0,25.0,26.0,25.0,31.0,32.0,28.0,28.0,22.0,23.0,19.0,19.0,20.0,19.0,21.0,21.0,19.0,-1.0
2024-04-14,-1.0,19.0,20.0,21.0,27.0,27.0,21.0,21.0,13.0,14.0,10.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,12.0,0.0,0.0,9.0,9.0,9.0,10.0,8.0,7.0,11.0,10.0,7.0,8.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,7.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,6.0,7.0,7.0,11.0,11.0,10.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,8.0,6.0,1.0,2.0,7.0,6.0,8.0,21.0,22.0,23.0,21.0,-1.0
2024-04-11,-1.0,4.0,4.0,4.0,6.0,6.0,2.0,2.0,4.0,4.0,1.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,8.0,9.0,5.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,8.0,8.0,6.0,5.0,3.0,2.0,1.0,1.0,15.0,15.0,18.0,18.0,20.0,19.0,21.0,20.0,23.0,-1.0
2024-04-09,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,8.0,8.0,7.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,7.0,6.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,-1.0
2024-04-08,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,29.0,31.0,0.0,0.0,0.0,0.0,57.0,56.0,34.0,27.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,53.0,54.0,58.0,57.0,55.0,60.0,53.0,54.0,52.0,51.0,53.0,52.0,-1.0,52.0,-1.0,-1.0
2024-04-07,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,7.0,6.0,4.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,6.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,19.0,20.0,0.0,0.0,18.0,18.0,17.0,19.0,18.0,21.0,27.0,27.0,24.0,25.0,19.0,21.0,31.0,31.0,31.0,31.0,35.0,35.0,33.0,-1.0
2024-04-05,-1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,20.0,20.0,22.0,22.0,16.0,18.0,16.0,16.0,22.0,22.0,26.0,25.0,25.0,-1.0
2024-04-04,-1.0,1.0,0.0,0.0,2.0,1.0,5.0,5.0,7.0,6.0,11.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,6.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-03,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,13.0,14.0,8.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,7.0,0.0,0.0,12.0,12.0,13.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,7.0,8.0,4.0,4.0,6.0,6.0,12.0,12.0,13.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,9.0,12.0,8.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,8.0,7.0,9.0,9.0,13.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,5.0,5.0,9.0,10.0,6.0,6.0,22.0,21.0,18.0,19.0,12.0,12.0,9.0,9.0,10.0,17.0,18.0,18.0,16.0,-1.0
