date,Hamburg_Hbf.in,Hamburg_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-12,-1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,-1.0
2024-04-11,-1.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,6.0,6.0,18.0,18.0,17.0,17.0,20.0,20.0,19.0,19.0,18.0,18.0,19.0,-1.0
2024-04-10,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0
2024-04-09,-1.0,0.0,6.0,6.0,1.0,1.0,4.0,5.0,3.0,1.0,8.0,9.0,7.0,8.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,-1.0
2024-04-07,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,-1.0
2024-04-06,-1.0,1.0,3.0,5.0,1.0,2.0,2.0,3.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,-1.0
2024-04-05,-1.0,1.0,2.0,2.0,0.0,2.0,6.0,7.0,50.0,33.0,36.0,37.0,36.0,37.0,39.0,40.0,38.0,36.0,31.0,30.0,27.0,-1.0
2024-04-04,-1.0,0.0,1.0,2.0,-1.0,2.0,6.0,7.0,2.0,3.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,1.0,4.0,4.0,0.0,1.0,3.0,3.0,0.0,1.0,8.0,8.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,5.0,-1.0
2024-04-02,-1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
