date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-04-11,-1.0,21.0,0.0,0.0,24.0,24.0,23.0,16.0,12.0,0.0,2.0,4.0,0.0,1.0,6.0,5.0,11.0,9.0,7.0,-1.0
2024-04-10,-1.0,16.0,0.0,0.0,16.0,16.0,12.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,4.0,2.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,1.0,29.0,24.0,18.0,13.0,6.0,11.0,15.0,0.0,1.0,16.0,13.0,21.0,19.0,24.0,-1.0
2024-04-08,-1.0,41.0,41.0,41.0,45.0,45.0,41.0,34.0,42.0,27.0,70.0,71.0,29.0,28.0,70.0,67.0,70.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,6.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,2.0,2.0,12.0,4.0,1.0,1.0,0.0,1.0,5.0,5.0,2.0,5.0,17.0,16.0,17.0,-1.0
2024-04-05,-1.0,3.0,0.0,0.0,6.0,5.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,-1.0
2024-04-04,-1.0,3.0,0.0,0.0,14.0,15.0,14.0,6.0,8.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,9.0,8.0,0.0,-1.0
2024-04-03,-1.0,4.0,0.0,0.0,2.0,2.0,7.0,-1.0,0.0,1.0,2.0,19.0,0.0,0.0,21.0,18.0,21.0,-1.0,0.0,0.0
2024-04-02,-1.0,3.0,0.0,0.0,4.0,6.0,5.0,1.0,9.0,1.0,34.0,37.0,0.0,0.0,37.0,36.0,45.0,-1.0,0.0,0.0
2024-04-01,-1.0,0.0,0.0,0.0,1.0,2.0,10.0,23.0,17.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0
