date,Köln_Hbf.in,Köln_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-10,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-06,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,-1.0
2024-05-04,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-01,-1.0,0.0,6.0,6.0,6.0,7.0,5.0,5.0,0.0,0.0,4.0,-1.0
2024-04-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,1.0,2.0,4.0,4.0,7.0,5.0,5.0,3.0,3.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-27,-1.0,59.0,61.0,61.0,58.0,58.0,55.0,55.0,52.0,52.0,48.0,-1.0
2024-04-26,-1.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-11,-1.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-08,-1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,13.0,13.0,11.0,11.0,9.0,9.0,6.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-03,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,-1.0
2024-04-02,-1.0,0.0,-1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
