date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out
2024-04-24,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,-1.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,1.0,-1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-21,-1.0,0.0,-1.0,0.0,3.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,10.0,-1.0,12.0,11.0,9.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,12.0,13.0,24.0,25.0,27.0,-1.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-16,-1.0,0.0,-1.0,1.0,-1.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,0.0,-1.0,3.0,6.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,6.0,6.0,2.0,-1.0,0.0,0.0,0.0,0.0
