date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-08,-1.0,15.0,18.0,17.0,18.0,17.0,30.0,30.0,36.0,22.0,21.0,14.0,0.0,0.0,19.0,21.0,17.0,18.0,23.0,24.0,28.0,28.0,36.0,-1.0
2024-05-07,-1.0,2.0,0.0,-1.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,17.0,-1.0
2024-05-06,-1.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,-1.0,-1.0,86.0,88.0,93.0,-1.0
2024-05-05,-1.0,0.0,0.0,-1.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,8.0,10.0,10.0,7.0,-1.0
2024-05-04,-1.0,0.0,0.0,-1.0,0.0,0.0,3.0,5.0,10.0,55.0,54.0,45.0,-1.0,-1.0,10.0,8.0,-1.0,-1.0,-1.0,-1.0,95.0,94.0,-1.0,-1.0
2024-05-03,-1.0,0.0,0.0,-1.0,0.0,0.0,5.0,9.0,17.0,5.0,8.0,2.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,-1.0
2024-05-02,-1.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,5.0,8.0,5.0,5.0,6.0,7.0,8.0,9.0,3.0,-1.0
2024-05-01,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,12.0,11.0,11.0,4.0,4.0,6.0,6.0,11.0,-1.0
2024-04-30,-1.0,7.0,8.0,8.0,21.0,16.0,18.0,17.0,25.0,23.0,23.0,25.0,0.0,0.0,29.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,18.0,22.0,23.0,22.0,21.0,21.0,0.0,0.0,27.0,29.0,36.0,37.0,35.0,35.0,35.0,36.0,26.0,-1.0
2024-04-28,-1.0,4.0,0.0,2.0,2.0,2.0,19.0,20.0,19.0,18.0,18.0,18.0,0.0,0.0,19.0,15.0,15.0,15.0,10.0,11.0,10.0,9.0,14.0,-1.0
2024-04-27,-1.0,10.0,13.0,14.0,18.0,20.0,16.0,16.0,18.0,19.0,18.0,18.0,0.0,0.0,16.0,15.0,15.0,15.0,17.0,16.0,17.0,16.0,25.0,-1.0
2024-04-26,-1.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,11.0,-1.0
2024-04-25,-1.0,0.0,-1.0,3.0,3.0,3.0,4.0,3.0,8.0,11.0,10.0,11.0,0.0,0.0,11.0,12.0,15.0,19.0,17.0,17.0,16.0,15.0,18.0,-1.0
2024-04-23,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,36.0,35.0,35.0,38.0,38.0,39.0,0.0,0.0,38.0,40.0,42.0,42.0,37.0,39.0,40.0,-1.0,-1.0,-1.0
2024-04-22,-1.0,1.0,4.0,5.0,5.0,4.0,12.0,11.0,12.0,14.0,15.0,16.0,0.0,0.0,23.0,21.0,22.0,22.0,22.0,23.0,25.0,25.0,25.0,-1.0
2024-04-21,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,5.0,32.0,31.0,0.0,0.0,29.0,28.0,15.0,16.0,17.0,17.0,17.0,25.0,32.0,-1.0
2024-04-20,-1.0,0.0,5.0,6.0,5.0,4.0,11.0,11.0,16.0,14.0,14.0,14.0,0.0,0.0,24.0,25.0,32.0,31.0,38.0,38.0,44.0,45.0,47.0,-1.0
2024-04-19,-1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,6.0,0.0,0.0,24.0,25.0,27.0,28.0,26.0,27.0,27.0,27.0,13.0,-1.0
2024-04-18,-1.0,1.0,1.0,4.0,14.0,10.0,9.0,11.0,10.0,11.0,11.0,11.0,0.0,0.0,13.0,20.0,19.0,20.0,12.0,12.0,12.0,11.0,6.0,-1.0
2024-04-17,-1.0,0.0,0.0,2.0,3.0,3.0,13.0,13.0,16.0,16.0,16.0,16.0,0.0,0.0,18.0,23.0,24.0,27.0,26.0,26.0,26.0,25.0,24.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,-1.0
2024-04-15,-1.0,0.0,8.0,11.0,10.0,10.0,36.0,36.0,36.0,43.0,42.0,42.0,0.0,0.0,43.0,44.0,40.0,41.0,34.0,33.0,33.0,35.0,42.0,-1.0
2024-04-14,-1.0,0.0,6.0,6.0,6.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,12.0,11.0,12.0,13.0,24.0,26.0,-1.0
2024-04-13,-1.0,1.0,0.0,-1.0,0.0,1.0,8.0,8.0,7.0,6.0,6.0,6.0,0.0,0.0,3.0,4.0,3.0,3.0,7.0,7.0,8.0,7.0,8.0,-1.0
2024-04-12,-1.0,18.0,26.0,26.0,30.0,25.0,33.0,33.0,41.0,42.0,51.0,50.0,0.0,0.0,49.0,48.0,42.0,42.0,38.0,38.0,39.0,38.0,50.0,-1.0
2024-04-11,-1.0,1.0,4.0,5.0,4.0,3.0,10.0,10.0,9.0,8.0,7.0,7.0,0.0,0.0,14.0,3.0,13.0,13.0,8.0,9.0,13.0,12.0,6.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,12.0,12.0,14.0,15.0,18.0,18.0,12.0,-1.0
2024-04-09,-1.0,1.0,-1.0,0.0,0.0,1.0,15.0,15.0,14.0,16.0,15.0,16.0,0.0,0.0,18.0,17.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,4.0,7.0,6.0,7.0,6.0,10.0,-1.0
2024-04-07,-1.0,1.0,4.0,4.0,4.0,11.0,7.0,9.0,8.0,6.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,-1.0
2024-04-06,-1.0,18.0,20.0,35.0,36.0,34.0,40.0,40.0,40.0,41.0,41.0,42.0,0.0,0.0,45.0,46.0,65.0,66.0,61.0,62.0,61.0,63.0,60.0,-1.0
2024-04-05,-1.0,1.0,4.0,4.0,8.0,8.0,7.0,7.0,5.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,0.0,2.0,3.0,4.0,3.0,2.0,1.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,0.0,0.0,14.0,16.0,11.0,12.0,7.0,7.0,9.0,9.0,27.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,-1.0
