date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-24,-1.0,4.0,3.0,4.0,8.0,9.0,6.0,6.0,0.0,0.0,4.0,3.0,4.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,8.0,9.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,3.0,11.0,12.0,0.0,0.0,0.0,0.0,10.0,11.0,10.0,12.0,13.0,13.0,17.0,17.0,18.0,19.0,16.0,17.0,15.0,-1.0
2024-04-22,-1.0,1.0,-1.0,2.0,5.0,6.0,5.0,5.0,0.0,0.0,6.0,5.0,2.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,7.0,9.0,5.0,7.0,9.0,8.0,11.0,12.0,10.0,11.0,10.0,11.0,9.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,7.0,5.0,3.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,-1.0
2024-04-20,-1.0,30.0,30.0,29.0,32.0,32.0,40.0,41.0,0.0,0.0,36.0,37.0,35.0,35.0,39.0,38.0,0.0,0.0,0.0,0.0,40.0,41.0,37.0,38.0,35.0,35.0,34.0,35.0,33.0,33.0,33.0,34.0,33.0,-1.0
2024-04-19,-1.0,0.0,-1.0,12.0,15.0,15.0,13.0,14.0,0.0,0.0,15.0,14.0,8.0,8.0,12.0,13.0,0.0,0.0,0.0,0.0,11.0,12.0,7.0,13.0,10.0,9.0,8.0,9.0,7.0,8.0,5.0,6.0,6.0,-1.0
2024-04-18,0.0,0.0,-1.0,27.0,30.0,30.0,37.0,37.0,0.0,0.0,31.0,34.0,28.0,28.0,56.0,57.0,0.0,0.0,0.0,0.0,61.0,61.0,58.0,59.0,62.0,61.0,65.0,66.0,65.0,66.0,64.0,65.0,64.0,-1.0
2024-04-17,0.0,0.0,-1.0,49.0,49.0,49.0,53.0,54.0,0.0,0.0,55.0,56.0,50.0,49.0,51.0,50.0,0.0,0.0,0.0,0.0,49.0,50.0,45.0,45.0,43.0,47.0,51.0,52.0,55.0,56.0,56.0,57.0,56.0,-1.0
2024-04-16,0.0,0.0,-1.0,24.0,24.0,24.0,22.0,24.0,0.0,0.0,19.0,18.0,15.0,15.0,32.0,36.0,0.0,0.0,0.0,0.0,33.0,34.0,33.0,33.0,32.0,32.0,32.0,32.0,42.0,43.0,40.0,41.0,39.0,-1.0
2024-04-15,0.0,0.0,-1.0,3.0,6.0,7.0,7.0,9.0,0.0,0.0,2.0,3.0,5.0,6.0,11.0,12.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,5.0,1.0,1.0,11.0,12.0,10.0,10.0,8.0,8.0,7.0,-1.0
