date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Eisenach.in,Eisenach.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-27,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,22.0,-1.0
2024-04-26,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,5.0,6.0,5.0,-1.0
2024-04-25,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,-1.0
2024-04-23,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,-1.0
2024-04-22,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,27.0,27.0,31.0,-1.0
2024-04-21,0.0,0.0,-1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,23.0,23.0,23.0,24.0,0.0,0.0,20.0,21.0,74.0,-1.0
2024-04-20,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-19,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,0.0,0.0,-1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,34.0,27.0,27.0,26.0,30.0,0.0,0.0,38.0,40.0,21.0,-1.0
2024-04-17,0.0,0.0,-1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,39.0,26.0,28.0,29.0,27.0,0.0,0.0,22.0,22.0,21.0,-1.0
2024-04-16,0.0,0.0,-1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,23.0,21.0,21.0,0.0,0.0,19.0,19.0,5.0,-1.0
2024-04-15,0.0,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,28.0,-1.0
2024-04-14,0.0,0.0,-1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,18.0,18.0,17.0,16.0,0.0,0.0,13.0,14.0,0.0,-1.0
2024-04-13,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,6.0,46.0,45.0,0.0,0.0,45.0,44.0,28.0,-1.0
2024-04-12,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,1.0,-1.0
2024-04-11,0.0,0.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-10,0.0,0.0,-1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,26.0,25.0,22.0,21.0,0.0,0.0,19.0,20.0,1.0,-1.0
2024-04-09,0.0,0.0,-1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,37.0,31.0,31.0,31.0,30.0,0.0,0.0,32.0,34.0,22.0,-1.0
2024-04-08,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,13.0,17.0,0.0,0.0,14.0,14.0,17.0,-1.0
2024-04-07,0.0,0.0,-1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,18.0,8.0,8.0,8.0,8.0,0.0,0.0,4.0,4.0,10.0,-1.0
2024-04-06,0.0,0.0,-1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-04-04,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,20.0,-1.0
2024-04-03,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-02,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,1.0,3.0,0.0,0.0,1.0,3.0,8.0,-1.0
2024-04-01,0.0,0.0,-1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,17.0,17.0,16.0,16.0,0.0,0.0,15.0,15.0,5.0,-1.0
