date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-23,-1.0,0.0,0.0,0.0,8.0,10.0,6.0,5.0,7.0,1.0,3.0,4.0,1.0,2.0,7.0,6.0,5.0,4.0,1.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,12.0,15.0,3.0,5.0,7.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,5.0,7.0,6.0,3.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,16.0,19.0,19.0,24.0,23.0,19.0,19.0,18.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,0.0,4.0,5.0,1.0,1.0,2.0,3.0,16.0,15.0,13.0,14.0,14.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,8.0,8.0,6.0,7.0,15.0,14.0,9.0,9.0,8.0,8.0,4.0,-1.0
2024-04-17,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,14.0,13.0,11.0,12.0,8.0,7.0,7.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,17.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,7.0,20.0,21.0,17.0,19.0,18.0,16.0,13.0,12.0,8.0,8.0,7.0,-1.0
2024-04-14,-1.0,-1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,12.0,13.0,10.0,9.0,6.0,4.0,1.0,1.0,0.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0,16.0,16.0,17.0,17.0,15.0,14.0,13.0,12.0,9.0,9.0,5.0,-1.0
2024-04-10,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,9.0,9.0,7.0,7.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,31.0,30.0,35.0,17.0,20.0,20.0,21.0,22.0,21.0,20.0,15.0,15.0,10.0,10.0,7.0,-1.0
2024-04-08,-1.0,1.0,103.0,102.0,0.0,0.0,101.0,101.0,113.0,94.0,99.0,100.0,96.0,97.0,100.0,101.0,99.0,100.0,100.0,100.0,95.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,25.0,-1.0
2024-04-06,-1.0,3.0,0.0,0.0,0.0,0.0,4.0,23.0,23.0,6.0,4.0,5.0,2.0,3.0,0.0,0.0,3.0,3.0,58.0,58.0,60.0,-1.0
2024-04-05,-1.0,9.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,1.0,11.0,10.0,7.0,7.0,4.0,3.0,2.0,13.0,9.0,9.0,6.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,8.0,5.0,6.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-04-02,-1.0,3.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,1.0,9.0,10.0,7.0,8.0,10.0,9.0,6.0,5.0,6.0,6.0,4.0,-1.0
2024-04-01,-1.0,15.0,0.0,0.0,0.0,0.0,15.0,18.0,10.0,1.0,5.0,6.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,-1.0
