date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-04-19,-1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,-1.0
2024-04-17,-1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,30.0,30.0,0.0,0.0,0.0,0.0,33.0,32.0,31.0,29.0,0.0,0.0,30.0,29.0,26.0,25.0,30.0,29.0,32.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,41.0,40.0,40.0,41.0,0.0,0.0,0.0,0.0,42.0,41.0,45.0,44.0,0.0,0.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,-1.0
2024-04-15,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,19.0,17.0,59.0,0.0,0.0,0.0,0.0,60.0,60.0,96.0,95.0,0.0,0.0,101.0,102.0,100.0,100.0,100.0,100.0,100.0,-1.0
2024-04-13,-1.0,1.0,0.0,1.0,1.0,3.0,3.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,6.0,0.0,0.0,6.0,5.0,5.0,4.0,8.0,9.0,13.0,-1.0
2024-04-12,-1.0,2.0,0.0,0.0,1.0,3.0,4.0,6.0,10.0,10.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-11,-1.0,0.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,6.0,8.0,-1.0
2024-04-10,-1.0,9.0,2.0,2.0,2.0,3.0,3.0,4.0,10.0,10.0,8.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,11.0,-1.0
2024-04-09,-1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,-1.0
2024-04-08,-1.0,2.0,0.0,1.0,0.0,2.0,1.0,6.0,7.0,7.0,6.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,1.0,1.0,10.0,19.0,30.0,31.0,38.0,38.0,0.0,0.0,0.0,0.0,39.0,39.0,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,4.0,32.0,33.0,32.0,33.0,31.0,31.0,31.0,32.0,27.0,27.0,0.0,0.0,0.0,0.0,32.0,31.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,4.0,51.0,51.0,50.0,51.0,53.0,54.0,56.0,55.0,54.0,54.0,0.0,0.0,0.0,0.0,58.0,57.0,61.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,11.0,13.0,20.0,20.0,28.0,28.0,0.0,0.0,0.0,0.0,27.0,26.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,4.0,22.0,24.0,25.0,27.0,26.0,27.0,30.0,30.0,28.0,28.0,0.0,0.0,0.0,0.0,33.0,32.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
