date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Weißenfels.in,Weißenfels.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Jena_Paradies.in,Jena_Paradies.out,Jena-Göschwitz.in,Jena-Göschwitz.out
2024-04-12,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,16.0,17.0,14.0,13.0,0.0,0.0,6.0,5.0,1.0,1.0,1.0,-1.0
2024-04-11,-1.0,3.0,3.0,10.0,9.0,8.0,8.0,7.0,5.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
2024-04-10,-1.0,1.0,-1.0,6.0,-1.0,10.0,11.0,11.0,9.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,20.0,23.0,23.0,-1.0
2024-04-08,-1.0,1.0,-1.0,2.0,-1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0
2024-04-07,-1.0,9.0,8.0,16.0,16.0,11.0,12.0,13.0,11.0,6.0,7.0,8.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-05,-1.0,1.0,-1.0,4.0,-1.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,1.0,0.0,7.0,7.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-02,-1.0,1.0,-1.0,8.0,-1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-01,-1.0,1.0,0.0,9.0,8.0,4.0,10.0,11.0,9.0,11.0,11.0,11.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0
