date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Bad_Bevensen.in,Bad_Bevensen.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-06,-1.0,3.0,2.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,15.0,-1.0
2024-05-04,-1.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,10.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,-1.0
2024-05-03,-1.0,7.0,7.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,11.0,20.0,20.0,19.0,17.0,24.0,24.0,0.0,0.0,7.0,-1.0
2024-05-02,-1.0,13.0,-1.0,17.0,18.0,18.0,0.0,0.0,12.0,11.0,12.0,12.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,12.0,17.0,17.0,0.0,0.0,2.0,-1.0
2024-05-01,-1.0,4.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,3.0,3.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,12.0,11.0,28.0,33.0,39.0,0.0,0.0,17.0,-1.0
2024-04-29,-1.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,-1.0
2024-04-27,-1.0,5.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,29.0,26.0,29.0,28.0,29.0,29.0,22.0,-1.0
2024-04-26,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,11.0,7.0,14.0,24.0,0.0,0.0,9.0,-1.0
2024-04-25,-1.0,1.0,10.0,10.0,8.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,28.0,25.0,31.0,30.0,0.0,0.0,10.0,-1.0
2024-04-24,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,15.0,16.0,26.0,27.0,19.0,11.0,20.0,17.0,20.0,19.0,0.0,0.0,3.0,-1.0
2024-04-23,-1.0,12.0,11.0,11.0,19.0,19.0,0.0,0.0,12.0,12.0,11.0,11.0,9.0,6.0,5.0,6.0,1.0,1.0,0.0,1.0,43.0,48.0,48.0,57.0,57.0,57.0,0.0,0.0,34.0,-1.0
2024-04-22,-1.0,18.0,17.0,18.0,19.0,19.0,0.0,0.0,13.0,13.0,12.0,12.0,9.0,7.0,6.0,8.0,6.0,6.0,1.0,15.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,6.0,-1.0,-1.0,15.0,-1.0
2024-04-20,-1.0,16.0,16.0,15.0,15.0,14.0,0.0,0.0,9.0,8.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,-1.0
2024-04-19,-1.0,7.0,7.0,29.0,31.0,31.0,0.0,0.0,26.0,25.0,23.0,23.0,18.0,21.0,0.0,0.0,14.0,12.0,8.0,9.0,94.0,97.0,99.0,95.0,96.0,94.0,93.0,92.0,85.0,-1.0
2024-04-18,-1.0,10.0,12.0,13.0,15.0,14.0,0.0,0.0,10.0,10.0,12.0,13.0,8.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,21.0,22.0,21.0,18.0,18.0,17.0,19.0,19.0,20.0,-1.0
2024-04-16,-1.0,62.0,63.0,63.0,62.0,62.0,0.0,0.0,56.0,57.0,59.0,59.0,55.0,51.0,0.0,0.0,47.0,114.0,116.0,117.0,81.0,84.0,83.0,80.0,87.0,85.0,83.0,83.0,78.0,-1.0
2024-04-15,-1.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,230.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-14,-1.0,2.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,5.0,4.0,2.0,3.0,3.0,2.0,-1.0
2024-04-13,-1.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,16.0,15.0,12.0,18.0,17.0,19.0,19.0,13.0,-1.0
2024-04-12,-1.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,8.0,7.0,6.0,7.0,4.0,-1.0
2024-04-11,-1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,20.0,21.0,20.0,18.0,21.0,20.0,-1.0,-1.0,1.0,-1.0
2024-04-10,-1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,9.0,9.0,12.0,12.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,15.0,19.0,20.0,19.0,20.0,22.0,21.0,21.0,21.0,15.0,-1.0
2024-04-09,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,29.0,47.0,49.0,50.0,48.0,50.0,50.0,51.0,50.0,42.0,-1.0
2024-04-08,-1.0,7.0,9.0,9.0,17.0,17.0,0.0,0.0,11.0,11.0,8.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,10.0,10.0,9.0,13.0,12.0,13.0,13.0,6.0,-1.0
2024-04-07,-1.0,25.0,30.0,31.0,30.0,31.0,0.0,0.0,24.0,24.0,22.0,22.0,18.0,16.0,0.0,0.0,8.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,7.0,6.0,5.0,5.0,2.0,-1.0
2024-04-06,-1.0,3.0,8.0,14.0,19.0,18.0,0.0,0.0,11.0,11.0,12.0,12.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,36.0,31.0,38.0,-1.0,-1.0,28.0,32.0,31.0,31.0,30.0,-1.0
2024-04-05,-1.0,1.0,0.0,12.0,11.0,11.0,-1.0,-1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,-1.0
2024-04-04,-1.0,2.0,1.0,5.0,4.0,4.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,6.0,9.0,6.0,6.0,6.0,5.0,5.0,0.0,-1.0
2024-04-03,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,6.0,5.0,5.0,5.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,1.0,2.0,6.0,8.0,7.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,23.0,24.0,27.0,24.0,23.0,25.0,25.0,26.0,15.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,-1.0
