date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Bonn-Beuel.in,Bonn-Beuel.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-04-19,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,10.0,14.0,0.0,0.0,7.0,8.0,8.0,-1.0
2024-04-18,-1.0,0.0,1.0,1.0,2.0,2.0,9.0,10.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,78.0,82.0,87.0,86.0,86.0,86.0,88.0,87.0,86.0,86.0,0.0,0.0,77.0,78.0,78.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-13,-1.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,22.0,8.0,8.0,7.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,-1.0,1.0,3.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,18.0,18.0,21.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,-1.0
2024-04-11,-1.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,0.0,2.0,5.0,5.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,24.0,20.0,19.0,19.0,19.0,19.0,22.0,23.0,28.0,29.0,0.0,0.0,22.0,22.0,23.0,-1.0
2024-04-10,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,4.0,7.0,7.0,7.0,8.0,4.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,10.0,10.0,23.0,23.0,22.0,22.0,24.0,24.0,26.0,33.0,32.0,32.0,34.0,34.0,39.0,38.0,44.0,42.0,48.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,52.0,51.0,49.0,49.0,49.0,48.0,48.0,46.0,45.0,50.0,49.0,0.0,0.0,43.0,43.0,44.0,-1.0
2024-04-08,-1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,-1.0,-1.0,12.0,25.0,27.0,26.0,27.0,28.0,28.0,28.0,31.0,31.0,0.0,0.0,24.0,25.0,25.0,-1.0
2024-04-07,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,11.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
