date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-01,0.0,0.0,-1.0,1.0,0.0,1.0,12.0,13.0,1.0,4.0,22.0,22.0,9.0,9.0,0.0,0.0,7.0,7.0,5.0,-1.0
2024-04-30,0.0,0.0,-1.0,9.0,9.0,9.0,24.0,28.0,28.0,33.0,51.0,50.0,49.0,50.0,0.0,0.0,55.0,53.0,61.0,-1.0
2024-04-29,0.0,0.0,-1.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,17.0,16.0,20.0,20.0,0.0,0.0,21.0,21.0,19.0,-1.0
2024-04-28,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,13.0,0.0,2.0,0.0,0.0,13.0,12.0,0.0,-1.0
2024-04-27,0.0,0.0,-1.0,0.0,1.0,2.0,7.0,7.0,5.0,4.0,12.0,12.0,5.0,5.0,0.0,0.0,2.0,2.0,5.0,-1.0
2024-04-26,-1.0,0.0,5.0,12.0,15.0,14.0,14.0,14.0,12.0,12.0,21.0,23.0,23.0,24.0,0.0,0.0,3.0,1.0,3.0,-1.0
2024-04-25,-1.0,-1.0,-1.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,-1.0,0.0,0.0
2024-04-24,-1.0,-1.0,-1.0,0.0,8.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
2024-04-23,-1.0,-1.0,-1.0,2.0,4.0,5.0,6.0,7.0,2.0,5.0,98.0,97.0,51.0,50.0,0.0,0.0,48.0,-1.0,0.0,0.0
2024-04-21,-1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,9.0,7.0,8.0,68.0,67.0,0.0,0.0,68.0,-1.0,0.0,0.0
2024-04-20,-1.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,5.0,5.0,29.0,28.0,26.0,26.0,0.0,0.0,26.0,-1.0,0.0,0.0
2024-04-19,-1.0,1.0,1.0,2.0,1.0,1.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0,0.0,14.0,-1.0,0.0,0.0
2024-04-18,-1.0,0.0,3.0,3.0,3.0,3.0,8.0,23.0,20.0,19.0,0.0,1.0,14.0,13.0,0.0,0.0,19.0,-1.0,0.0,0.0
2024-04-17,-1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,8.0,9.0,6.0,8.0,9.0,10.0,14.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-16,-1.0,0.0,0.0,20.0,16.0,16.0,27.0,26.0,26.0,26.0,12.0,11.0,19.0,18.0,0.0,0.0,17.0,-1.0,0.0,0.0
2024-04-15,-1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,5.0,2.0,3.0,45.0,44.0,0.0,0.0,43.0,-1.0,0.0,0.0
2024-04-13,-1.0,1.0,5.0,6.0,5.0,4.0,12.0,13.0,8.0,9.0,8.0,8.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-12,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,7.0,8.0,1.0,1.0,4.0,3.0,0.0,0.0,2.0,-1.0,0.0,0.0
2024-04-11,0.0,0.0,-1.0,0.0,3.0,2.0,3.0,3.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-10,0.0,0.0,-1.0,0.0,3.0,3.0,3.0,4.0,6.0,6.0,7.0,6.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0
2024-04-09,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,17.0,38.0,32.0,32.0,0.0,0.0,31.0,31.0,0.0,-1.0
2024-04-08,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,28.0,27.0,29.0,28.0,24.0,23.0,0.0,0.0,39.0,37.0,0.0,-1.0
2024-04-07,-1.0,1.0,1.0,2.0,2.0,3.0,6.0,7.0,2.0,1.0,7.0,8.0,28.0,29.0,15.0,-1.0,32.0,-1.0,0.0,0.0
2024-04-06,-1.0,0.0,8.0,11.0,10.0,25.0,32.0,32.0,30.0,30.0,24.0,25.0,43.0,44.0,0.0,0.0,50.0,-1.0,0.0,0.0
2024-04-05,-1.0,0.0,3.0,4.0,6.0,5.0,5.0,6.0,6.0,7.0,8.0,7.0,0.0,1.0,0.0,-1.0,48.0,47.0,0.0,0.0
2024-04-04,0.0,0.0,-1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-03,0.0,0.0,-1.0,4.0,4.0,5.0,8.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-02,0.0,0.0,-1.0,8.0,7.0,7.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-01,0.0,0.0,-1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,2.0,24.0,24.0,0.0,0.0,42.0,41.0,49.0,-1.0
