date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-19,-1.0,1.0,4.0,4.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,43.0,40.0,39.0,40.0,45.0,47.0,50.0,50.0,50.0,50.0,49.0,47.0,49.0,-1.0
2024-05-18,-1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,7.0,8.0,11.0,37.0,38.0,40.0,39.0,48.0,48.0,47.0,48.0,51.0,-1.0
2024-05-15,-1.0,1.0,-1.0,2.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,5.0,6.0,6.0,11.0,11.0,9.0,8.0,3.0,2.0,1.0,1.0,7.0,-1.0
2024-05-14,-1.0,1.0,-1.0,7.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,118.0,118.0,112.0,111.0,112.0,122.0,123.0,130.0,130.0,123.0,123.0,121.0,120.0,132.0,-1.0
2024-05-13,-1.0,2.0,-1.0,11.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,2.0,2.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,2.0,3.0,7.0,-1.0
2024-05-12,-1.0,1.0,-1.0,3.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,8.0,8.0,6.0,7.0,4.0,4.0,20.0,20.0,22.0,22.0,22.0,-1.0
2024-05-11,-1.0,7.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,7.0,7.0,8.0,17.0,18.0,20.0,20.0,22.0,22.0,25.0,25.0,34.0,-1.0
2024-05-10,-1.0,1.0,-1.0,3.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,7.0,6.0,4.0,4.0,0.0,0.0,2.0,2.0,10.0,11.0,13.0,-1.0
2024-05-09,-1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,16.0,22.0,-1.0
2024-05-08,-1.0,8.0,-1.0,8.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,9.0,4.0,4.0,1.0,1.0,0.0,1.0,9.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,2.0,4.0,2.0,3.0,2.0,5.0,17.0,-1.0
2024-05-06,-1.0,9.0,-1.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,6.0,4.0,8.0,3.0,4.0,3.0,3.0,5.0,5.0,43.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,6.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,4.0,4.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,10.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-02,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,3.0,2.0,1.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,9.0,5.0,4.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,-1.0
2024-04-29,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,12.0,7.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,10.0,9.0,8.0,7.0,-1.0
2024-04-28,-1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,2.0,2.0,6.0,3.0,3.0,0.0,1.0,8.0,8.0,7.0,6.0,7.0,-1.0
2024-04-27,-1.0,1.0,10.0,10.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,16.0,15.0,16.0,18.0,24.0,24.0,25.0,29.0,30.0,30.0,31.0,41.0,-1.0
2024-04-25,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,10.0,7.0,6.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-04-24,-1.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,6.0,-1.0
2024-04-23,-1.0,10.0,9.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,12.0,11.0,10.0,11.0,10.0,-1.0
2024-04-22,-1.0,5.0,4.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,-1.0
2024-04-21,-1.0,1.0,1.0,2.0,2.0,6.0,6.0,15.0,16.0,17.0,18.0,20.0,29.0,31.0,50.0,47.0,48.0,50.0,65.0,69.0,72.0,75.0,104.0,103.0,103.0,101.0,102.0,-1.0
2024-04-20,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,12.0,13.0,15.0,24.0,26.0,22.0,22.0,20.0,21.0,23.0,32.0,35.0,-1.0
2024-04-18,-1.0,23.0,21.0,21.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,23.0,18.0,18.0,19.0,17.0,18.0,13.0,13.0,6.0,6.0,5.0,4.0,5.0,-1.0
2024-04-17,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,2.0,1.0,2.0,3.0,9.0,12.0,11.0,7.0,6.0,5.0,5.0,2.0,-1.0
2024-04-16,-1.0,6.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,5.0,2.0,2.0,4.0,5.0,6.0,7.0,2.0,-1.0
2024-04-15,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,4.0,4.0,38.0,160.0,159.0,176.0,-1.0
2024-04-14,-1.0,1.0,-1.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,5.0,2.0,2.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,4.0,7.0,-1.0
2024-04-13,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,3.0,3.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,5.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,6.0,8.0,6.0,-1.0
2024-04-10,-1.0,1.0,-1.0,6.0,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0
2024-04-08,-1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,-1.0
2024-04-07,-1.0,9.0,8.0,16.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,11.0,6.0,7.0,8.0,3.0,4.0,2.0,2.0,1.0,1.0,7.0,8.0,7.0,-1.0
2024-04-06,-1.0,1.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,-1.0,4.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,8.0,8.0,9.0,9.0,5.0,-1.0
2024-04-04,-1.0,1.0,0.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,-1.0
2024-04-03,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,6.0,3.0,8.0,5.0,6.0,11.0,11.0,12.0,19.0,19.0,-1.0
2024-04-02,-1.0,1.0,-1.0,8.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,-1.0
2024-04-01,-1.0,1.0,0.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,11.0,11.0,11.0,12.0,15.0,20.0,26.0,23.0,22.0,21.0,20.0,18.0,-1.0
